SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
RUM,USA,8.02,2025-03-25,39.80,0.64,57.08,15.304,13.058,"6,039",68.75%,94.40%  (  +2.24%),48.67%,"186,926",4,4,4,65
LULU,USA,334.90,2025-03-27,44.53,12.81,4.17,9.874,9.878,"7,309",36.44%,56.27%  (  -2.14%),75.15%,"140,955",10,4,5,88
PVH,USA,67.88,2025-03-31,38.54,2.85,0.43,10.959,13.540,288,33.73%,60.28%  (  -2.72%),86.51%,"11,479",4,4,4,80
LEVI,USA,16.00,2025-04-02,40.96,0.60,1.00,7.756,10.326,203,37.72%,47.91%  (  -1.17%),76.10%,"36,302",8,4,4,78
STZ,USA,177.78,2025-04-09,46.65,4.87,3.16,3.710,7.953,"2,573",27.83%,40.45%  (  -0.75%),85.69%,"73,931",9,4,4,70
DAL,USA,49.20,2025-04-09,39.61,2.53,0.52,6.093,9.049,"20,902",52.88%,48.22%  (  -0.45%),56.81%,"689,500",6,5,5,85
JPM,USA,246.40,2025-04-11,49.74,6.41,2.44,3.236,5.276,"29,637",28.89%,26.38%  (  -1.75%),47.64%,"652,917",9,4,5,90
PNC,USA,176.27,2025-04-15,41.24,4.17,2.06,3.861,5.773,597,23.78%,29.03%  (  +0.59%),71.15%,"37,417",7,4,4,80
FHN,USA,19.52,2025-04-16,46.88,0.61,2.01,5.189,8.162,92,34.80%,35.93%  (  -2.15%),62.98%,"33,716",4,4,5,70
CFG,USA,42.21,2025-04-16,46.32,1.24,1.48,4.379,6.839,297,26.55%,32.41%  (  -2.74%),45.14%,"59,949",4,4,4,80
PLD,USA,108.87,2025-04-16,33.60,2.86,12.61,4.365,5.609,670,25.60%,26.86%  (  -1.35%),33.34%,"52,607",6,4,4,74
REXR,USA,39.39,2025-04-16,44.44,1.04,9.63,3.774,6.646,75,24.30%,28.20%  (  -2.08%),40.35%,"7,057",7,4,4,76
HOMB,USA,28.60,2025-04-16,47.07,0.64,3.88,8.284,8.559,4,22.19%,39.85%  (  -3.13%),53.01%,"1,142",7,4,4,80
SNV,USA,48.42,2025-04-16,47.89,1.63,1.99,3.398,7.789,83,34.64%,38.89%  (  -1.01%),56.38%,"10,043",7,4,4,75
CSX,USA,29.76,2025-04-16,36.39,0.61,3.88,3.550,5.459,842,22.16%,26.48%  (  -0.45%),42.02%,"130,115",9,4,4,65
DFS,USA,169.59,2025-04-16,46.48,7.54,1.80,3.771,12.336,"2,803",48.70%,60.49%  (  +2.99%),87.53%,"33,661",5,4,4,85
EFX,USA,245.12,2025-04-16,49.91,6.43,5.38,5.463,6.811,26,24.47%,31.30%  (  -3.23%),42.86%,"5,080",5,5,5,70
LVS,USA,41.41,2025-04-16,36.62,1.40,2.62,4.343,7.292,"3,739",28.56%,39.42%  (  +0.65%),77.84%,"229,374",7,4,5,80
ABT,USA,127.48,2025-04-16,42.72,2.61,5.27,3.897,4.312,791,20.57%,23.26%  (  -1.37%),59.62%,"173,628",5,5,5,85
LBRT,USA,14.80,2025-04-16,35.25,0.62,0.56,5.345,9.811,439,36.61%,47.05%  (  -5.39%),62.12%,"17,517",7,4,4,72
FR,USA,53.47,2025-04-16,36.98,1.11,10.86,4.301,9.232,2,19.36%,27.21%  (  -7.67%),44.89%,173,5,4,4,85
RF,USA,22.15,2025-04-17,46.31,0.57,2.14,4.331,6.521,387,23.66%,30.02%  (  -1.12%),48.35%,"101,266",6,4,4,78
