SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
TXT,USA,73.19,2025-04-24,47.42,1.83,0.97,5.781,0.000,358,24.86%,29.28%  (  -1.45%),84.47%,"14,207",4,4,4,68
TME,USA,12.55,2025-03-18,49.55,0.63,2.27,10.672,10.558,"1,619",62.21%,62.88%  (  +4.75%),64.75%,"86,466",7,5,4,88
OLLI,USA,102.49,2025-03-19,48.26,3.98,2.79,9.602,10.363,"1,202",38.04%,58.54%  (  +0.68%),91.93%,"17,797",6,5,5,85
SIG,Bermuda,47.95,2025-03-19,38.48,2.70,0.30,10.865,13.282,"1,470",47.58%,80.97%  (  +5.30%),93.11%,"32,025",6,4,4,65
DRI,USA,185.99,2025-03-20,42.99,5.35,1.88,5.508,6.900,"1,107",30.01%,39.00%  (  -1.66%),83.48%,"27,355",4,4,4,78
ASO,USA,45.10,2025-03-20,34.60,2.12,0.52,9.822,10.200,821,38.92%,57.21%  (  -1.97%),90.22%,"26,281",6,5,5,60
JBL,USA,135.93,2025-03-20,34.02,4.86,0.54,9.320,8.904,721,32.96%,48.27%  (  -3.60%),77.81%,"36,446",7,5,5,80
NKE,USA,71.66,2025-03-20,36.40,2.24,2.16,8.882,9.074,"75,535",35.68%,49.49%  (  -1.71%),94.16%,"1,294,176",7,4,4,55
FDX,USA,242.20,2025-03-20,35.81,6.35,0.67,8.815,8.936,"31,237",33.52%,46.88%  (  -0.54%),63.86%,"178,803",8,4,4,60
ACN,Ireland,318.82,2025-03-20,20.55,8.08,3.00,6.067,7.171,"5,736",23.42%,40.86%  (  -1.29%),94.88%,"78,058",9,4,4,78
MNSO,USA,20.69,2025-03-21,48.25,1.07,2.62,13.083,10.150,504,62.21%,66.13%  (  -0.53%),57.05%,"19,283",7,5,4,80
CCL,Panama,19.92,2025-03-21,32.82,1.11,1.03,8.400,8.936,"53,682",46.71%,59.16%  (  -3.86%),80.00%,"1,212,008",6,4,5,75
KBH,USA,60.64,2025-03-24,41.31,2.01,0.63,8.274,11.380,307,30.94%,47.88%  (  -0.02%),82.17%,"61,813",4,4,4,80
OKLO,USA,27.72,2025-03-24,42.43,4.29,-,10.810,22.437,"54,015",130.29%,128.16%  (  -6.83%),45.72%,"349,398",7,5,4,78
RUM,USA,8.03,2025-03-26,36.61,0.78,57.11,15.304,16.189,"5,537",69.29%,101.26%  (  -0.70%),52.91%,"197,419",7,4,4,65
CNM,USA,47.68,2025-03-25,38.37,1.76,1.32,11.130,12.794,94,26.43%,53.65%  (  -6.28%),71.16%,"11,135",7,4,4,72
DLTR,USA,64.56,2025-03-26,38.11,3.26,0.44,11.142,14.877,"11,677",43.64%,74.36%  (  -1.87%),76.54%,"364,563",4,4,4,62
CHWY,USA,33.29,2025-03-26,42.71,1.88,1.19,13.550,14.195,"10,462",47.85%,70.68%  (  -1.91%),36.37%,"266,405",9,5,5,75
