SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
PGR,USA,242.01,2025-10-09,41.93,4.17,-6.65%,1.72,0.959,0.000,549,16.65%,27.06%  (  -1.03%),21.62%,"59,903",6,4,4,88,Insurance - Property & Casualty,
DAL,USA,58.62,2025-10-09,47.65,1.80,7.03%,0.62,7.592,9.746,"9,973",37.86%,48.82%  (  +0.55%),30.35%,"1,068,113",6,5,5,85,Airlines,"UAL, 0.94(6M)"
GS,USA,801.78,2025-10-14,71.20,14.56,27.18%,1.93,4.413,6.643,"6,506",22.19%,29.56%  (  +0.19%),20.84%,"304,326",8,4,4,85,Capital Markets,"MS, 0.96(6M)"
JNJ,USA,175.45,2025-10-14,49.71,2.43,10.63%,4.66,2.588,4.114,"10,034",11.58%,18.77%  (  -0.06%),27.93%,"470,323",8,4,4,88,Drug Manufacturers - General,"PFE, 0.83(6M)"
WFC,USA,83.85,2025-10-14,63.71,1.59,11.23%,2.18,4.646,6.917,"16,103",22.17%,29.63%  (  -0.31%),22.14%,"1,312,743",8,4,4,85,Banks - Diversified,
C,USA,102.04,2025-10-14,70.55,1.77,28.35%,1.11,4.159,7.218,"15,061",20.08%,30.64%  (  -0.30%),21.97%,"1,921,178",8,4,5,85,Banks - Diversified,
JPM,USA,311.30,2025-10-14,65.71,4.91,17.45%,3.07,3.907,5.734,"22,375",15.67%,25.42%  (  -0.10%),19.59%,"839,995",9,4,4,80,Banks - Diversified,"BAC, 0.85(6M)"
APLD,USA,20.01,2025-10-14,75.21,1.19,110.39%,24.29,18.065,22.643,"35,194",74.92%,109.89%  (  +1.51%),33.69%,"753,662",7,5,5,85,Information Technology Services,
BAC,USA,52.16,2025-10-15,71.22,0.82,16.03%,1.95,3.906,5.905,"35,565",17.80%,26.21%  (  -0.16%),17.34%,"2,866,428",8,5,5,80,Banks - Diversified,
PLD,USA,114.05,2025-10-15,56.59,2.28,3.79%,12.66,4.465,6.059,703,24.69%,27.12%  (  +0.32%),14.32%,"73,777",4,4,4,88,REIT - Industrial,
MS,USA,0,2025-10-15,,,,2.32,3.773,6.353,"5,273",17.57%,28.22%  (  -0.10%),16.67%,"536,001",8,4,4,85,Capital Markets,"GS, 0.96(6M)"
ASML,USA,0,2025-10-15,,,,10.48,5.966,10.283,"6,273",33.04%,42.90%  (  -0.99%),34.50%,"215,116",10,4,5,82,Semiconductor Equipment & Materials,
ELV,USA,0,2025-10-15,,,,0.38,8.071,10.146,664,29.50%,43.69%  (  -0.03%),87.59%,"74,967",6,4,4,60,Healthcare Plans,
KMI,USA,0,2025-10-15,,,,3.84,3.583,5.114,"1,690",13.86%,23.06%  (  -0.26%),15.39%,"465,132",8,4,4,85,Oil & Gas Midstream,
ABT,USA,0,2025-10-15,,,,5.45,3.642,5.422,"2,098",17.29%,24.49%  (  +0.29%),36.92%,"206,658",9,5,5,85,Medical Devices,
AA,USA,0,2025-10-15,,,,0.65,6.367,12.949,"4,485",40.94%,51.29%  (  -0.70%),19.76%,"341,987",4,4,4,65,Aluminum,
LRCX,USA,0,2025-10-15,,,,8.60,6.439,0.000,"4,033",40.08%,42.38%  (  -0.31%),21.94%,"645,311",10,5,5,85,Semiconductor Equipment & Materials,
CCI,USA,0,2025-10-15,,,,7.49,5.056,5.644,673,18.98%,25.80%  (  +0.19%),20.59%,"66,967",6,4,4,70,REIT - Specialty,
LVS,USA,0,2025-10-15,,,,3.19,5.661,0.000,"3,358",22.80%,33.55%  (  +0.79%),13.70%,"333,610",4,4,4,80,Resorts & Casinos,
CSX,USA,0,2025-10-15,,,,4.38,3.824,6.409,"1,750",23.83%,27.08%  (  +0.46%),29.87%,"510,572",10,4,4,70,Railroads,
NDAQ,USA,0,2025-10-15,,,,6.32,5.820,0.000,518,17.75%,23.07%  (  -0.14%),15.48%,"43,233",7,5,5,90,Financial Data & Stock Exchanges,
USB,USA,0,2025-10-16,,,,1.85,3.787,6.067,"3,520",20.47%,26.83%  (  -0.13%),17.68%,"274,411",5,4,4,85,Banks - Regional,
UNP,USA,0,2025-10-16,,,,5.36,3.183,0.000,945,14.35%,21.66%  (  +0.11%),18.59%,"158,796",9,4,4,88,Railroads,"NSC, 0.89(6M)"
ISRG,USA,0,2025-10-16,,,,17.08,6.488,6.726,"1,550",29.07%,32.90%  (  +0.78%),31.78%,"102,071",10,4,5,80,Medical Instruments & Supplies,
FCX,USA,0,2025-10-16,,,,2.51,3.387,0.000,"16,942",29.44%,36.92%  (  +0.54%),14.98%,"1,071,261",9,4,4,90,Copper,
BX,USA,0,2025-10-16,,,,17.76,3.895,6.889,"6,161",24.82%,30.83%  (  +0.55%),13.92%,"362,857",8,4,4,85,Asset Management,
TSM,USA,0,2025-10-16,,,,12.87,3.853,8.610,"37,179",26.37%,38.12%  (  -0.85%),20.05%,"1,829,013",10,5,5,88,Semiconductors,
TFC,USA,0,2025-10-17,,,,1.93,3.229,6.291,"1,357",19.75%,26.47%  (  -0.06%),18.30%,"209,531",8,4,4,75,Banks - Regional,
STT,USA,0,2025-10-17,,,,1.49,5.234,6.894,"2,337",18.08%,32.23%  (  +1.15%),25.95%,"112,578",4,4,4,85,Asset Management,"BK, 0.83(6M)"
FITB,USA,0,2025-10-17,,,,2.25,4.300,5.936,730,19.21%,25.94%  (  -0.56%),13.48%,"79,077",10,4,4,85,Banks - Regional,
RF,USA,0,2025-10-17,,,,2.56,4.237,6.870,"1,022",20.70%,29.45%  (  -0.12%),19.58%,"100,595",10,4,4,85,Banks - Regional,
ALLY,USA,0,2025-10-17,,,,0.88,6.507,8.191,805,20.87%,35.42%  (  -0.38%),19.74%,"129,417",6,4,4,80,Credit Services,
