SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
LEVI,USA,14.18,2025-04-07,31.94,0.76,0.89,7.756,11.979,"3,063",55.68%,70.88%  (  +12.38%),100.00%,"41,133",7,4,4,78
DAL,USA,37.15,2025-04-09,22.81,2.72,0.39,6.093,12.623,"68,727",59.02%,82.67%  (  +20.60%),100.00%,"827,819",7,5,5,85
STZ,USA,176.23,2025-04-09,42.07,4.92,3.13,3.710,8.910,"4,694",27.14%,51.27%  (  +6.29%),100.00%,"97,255",9,4,4,74
PGR,USA,258.67,2025-04-11,37.17,8.39,2.01,2.611,8.064,"7,707",38.32%,49.87%  (  +20.32%),100.00%,"41,390",8,5,5,82
BK,USA,74.01,2025-04-11,25.99,2.44,1.34,4.484,9.116,"3,908",35.55%,55.62%  (  +16.85%),100.00%,"69,247",7,4,4,88
WFC,USA,60.84,2025-04-11,25.12,2.70,1.58,4.088,8.899,"145,335",46.61%,61.30%  (  +15.68%),100.00%,"1,164,560",6,4,4,85
FAST,USA,75.02,2025-04-11,44.58,1.75,5.70,5.666,8.043,"1,443",28.85%,41.82%  (  +10.81%),100.00%,"45,402",7,4,4,75
MS,USA,99.89,2025-04-15,27.68,5.24,1.56,3.448,10.561,"53,427",52.34%,64.80%  (  +16.61%),100.00%,"620,205",5,4,4,85
JPM,USA,211.55,2025-04-11,25.97,8.03,2.10,3.236,8.573,"155,373",39.58%,53.86%  (  +16.76%),100.00%,"741,779",7,4,4,90
GS,USA,471.56,2025-04-14,26.68,23.83,1.15,3.705,11.176,"62,633",47.89%,60.58%  (  +15.83%),100.00%,"276,026",5,4,4,85
MTB,USA,156.37,2025-04-14,26.69,5.82,1.92,4.436,8.788,386,37.65%,52.07%  (  +10.12%),100.00%,"9,701",6,4,4,70
PNC,USA,152.68,2025-04-15,23.65,5.44,1.79,3.861,8.417,"3,983",37.89%,49.76%  (  +13.49%),100.00%,"42,276",9,4,4,80
C,USA,58.41,2025-04-15,23.39,2.97,0.64,3.596,11.477,"221,103",52.17%,61.79%  (  +15.15%),100.00%,"1,798,716",7,5,4,80
BAC,USA,34.24,2025-04-15,20.65,1.51,1.31,3.660,11.098,"439,959",50.36%,59.39%  (  +15.56%),100.00%,"2,714,345",7,5,5,80
JNJ,USA,154.65,2025-04-15,40.37,3.52,4.19,2.659,4.597,"63,962",29.95%,26.16%  (  +5.94%),100.00%,"486,471",9,4,4,75
UAL,USA,57.54,2025-04-15,26.42,5.45,0.33,6.531,16.003,"60,504",74.05%,98.49%  (  +16.60%),100.00%,"647,037",7,5,5,85
JBHT,USA,135.54,2025-04-15,29.22,5.59,1.12,4.498,11.105,"1,167",40.64%,61.72%  (  +15.14%),100.00%,"8,835",7,4,4,65
IBKR,USA,146.32,2025-04-15,29.56,9.62,6.59,4.558,13.710,"9,206",66.42%,75.97%  (  +20.69%),100.00%,"57,720",9,5,5,90
PLD,USA,98.95,2025-04-16,25.78,3.43,11.46,4.365,8.556,"8,021",38.25%,49.72%  (  +11.66%),100.00%,"60,763",6,4,4,74
ABT,USA,125.31,2025-04-16,39.44,3.10,5.18,3.897,6.697,"19,228",27.22%,35.62%  (  +7.76%),100.00%,"204,088",8,5,5,85
ASML,USA,611.61,2025-04-16,27.53,22.54,7.90,6.032,12.390,"30,876",44.41%,66.56%  (  +15.51%),100.00%,"153,510",8,4,4,82
FHN,USA,16.20,2025-04-16,26.17,0.82,1.67,5.189,11.467,"2,884",53.24%,60.50%  (  +14.18%),100.00%,"35,908",6,4,5,70
TRV,USA,242.76,2025-04-16,33.40,6.26,1.18,4.928,7.429,"1,422",32.01%,43.39%  (  +13.20%),100.00%,"13,221",10,4,4,85
HOMB,USA,24.87,2025-04-16,22.57,0.81,3.38,8.284,10.630,4,34.04%,60.85%  (  +6.40%),88.89%,853,7,4,4,80
SNV,USA,37.87,2025-04-16,23.71,2.13,1.56,3.398,11.479,171,56.38%,69.35%  (  +16.77%),100.00%,"11,198",4,4,4,75
FNB,USA,11.49,2025-04-16,21.60,0.49,1.61,4.130,16.425,45,44.68%,98.90%  (  +24.52%),93.30%,"4,406",5,5,5,87
CSX,USA,27.38,2025-04-16,26.65,0.72,3.55,3.550,7.340,"5,015",27.35%,45.00%  (  +15.01%),100.00%,"137,319",9,4,5,65
AA,USA,24.56,2025-04-16,23.85,1.83,0.52,4.278,16.052,"20,061",62.02%,87.42%  (  +21.38%),100.00%,"247,610",4,4,5,73
KMI,USA,25.32,2025-04-16,31.74,0.81,3.73,2.685,8.255,"18,242",36.07%,44.65%  (  +11.41%),100.00%,"542,890",9,4,4,80
LVS,USA,33.39,2025-04-16,19.45,1.61,2.12,4.343,9.301,"14,073",41.90%,64.29%  (  +14.29%),100.00%,"276,667",8,4,5,80
THC,USA,121.54,2025-04-29,39.92,5.80,0.56,9.405,15.596,927,44.94%,59.44%  (  +8.00%),100.00%,"31,163",7,5,5,85
AXP,USA,234.32,2025-04-17,26.91,10.11,2.22,4.644,11.829,"25,261",44.95%,64.52%  (  +18.56%),100.00%,"235,213",4,4,4,85
ALLY,USA,31.79,2025-04-17,31.68,1.56,0.60,6.757,14.002,"8,522",45.89%,70.79%  (  +13.93%),100.00%,"110,856",9,4,4,74
KEY,USA,13.43,2025-04-17,24.57,0.67,1.61,4.626,11.378,"7,351",47.72%,60.90%  (  +14.64%),100.00%,"164,037",6,4,4,70
HBAN,USA,12.61,2025-04-17,23.41,0.57,1.56,3.546,10.831,"1,813",46.49%,54.16%  (  +13.70%),100.00%,"70,897",8,4,4,80
RF,USA,18.65,2025-04-17,24.64,0.79,1.81,4.331,9.172,898,42.26%,55.15%  (  +14.67%),100.00%,"110,214",5,4,4,78
SCHW,USA,69.38,2025-04-21,29.73,2.50,4.98,4.958,10.700,"33,516",38.75%,53.91%  (  +13.53%),100.00%,"459,302",10,5,5,85
TSM,USA,146.76,2025-04-17,26.95,6.88,8.47,3.013,11.065,"308,632",50.83%,65.58%  (  +13.73%),100.00%,"1,761,876",10,5,5,85
BX,USA,125.43,2025-04-17,30.98,6.82,12.27,4.033,12.440,"27,923",51.23%,69.44%  (  +16.84%),100.00%,"324,027",6,4,4,88
PPG,USA,99.89,2025-04-17,27.52,3.28,1.30,3.979,8.247,"1,089",30.03%,43.57%  (  +9.01%),100.00%,"37,929",10,4,4,80
INFY,USA,16.64,2025-04-17,22.51,0.46,3.62,4.935,11.383,"4,008",27.70%,45.44%  (  +9.52%),100.00%,"71,615",9,4,4,88
ALK,USA,44.35,2025-04-17,25.05,2.86,0.46,7.083,19.881,"5,260",56.27%,78.55%  (  +14.78%),100.00%,"118,123",8,5,5,85
BANC,USA,12.30,2025-04-22,26.70,0.57,1.10,9.683,15.790,"3,391",42.97%,63.57%  (  +16.44%),100.00%,"27,098",6,4,4,70
WAL,USA,61.18,2025-04-17,24.57,3.94,1.35,6.749,18.393,"4,389",62.54%,79.38%  (  +20.07%),100.00%,"31,238",6,5,5,75
CADE,USA,26.23,2025-04-21,21.87,1.10,1.63,10.654,18.123,8,39.17%,71.16%  (  +2.58%),100.00%,"1,509",9,4,4,80
ELS,USA,66.30,2025-04-28,45.17,1.58,8.62,5.467,9.029,1,20.62%,34.25%  (  +3.77%),85.46%,"2,033",6,4,4,72
PHM,USA,101.37,2025-04-22,44.41,3.81,1.14,5.017,9.618,"2,464",34.97%,50.23%  (  +6.69%),100.00%,"40,277",7,4,4,78
RTX,USA,118.93,2025-04-22,28.74,3.17,1.97,4.344,8.484,"16,155",34.64%,47.27%  (  +16.40%),100.00%,"189,578",9,4,4,82
GE,USA,167.81,2025-04-22,25.77,7.17,3.93,5.726,13.057,"38,336",45.99%,62.47%  (  +19.21%),100.00%,"219,479",9,5,5,85
SYF,USA,43.66,2025-04-22,24.81,2.76,0.82,6.952,16.918,"3,856",60.20%,68.27%  (  +12.56%),100.00%,"59,117",9,4,5,65
DHR,USA,183.65,2025-04-22,24.83,5.99,5.50,4.766,10.451,"19,127",31.63%,50.30%  (  +10.46%),100.00%,"113,081",8,5,5,70
EFX,USA,215.05,2025-04-16,28.23,7.47,4.72,5.463,14.075,"1,698",36.98%,52.88%  (  +10.48%),100.00%,"6,198",6,5,5,70
GPC,USA,117.20,2025-04-22,42.05,2.98,0.69,6.353,11.701,416,25.36%,43.01%  (  +7.56%),100.00%,"17,327",9,4,4,65
IRDM,USA,24.30,2025-04-22,26.82,1.08,3.18,11.000,17.491,295,40.90%,67.28%  (  +5.96%),86.82%,"25,721",7,5,4,80
DGX,USA,165.81,2025-04-22,44.90,4.04,1.87,5.881,8.930,"1,191",22.67%,34.46%  (  +6.11%),100.00%,"13,801",5,4,4,85
VZ,USA,43.18,2025-04-28,45.87,1.10,1.35,3.918,7.057,"137,347",35.33%,33.85%  (  +7.42%),100.00%,"1,133,728",7,4,4,80
ONB,USA,17.67,2025-04-22,22.66,0.83,1.91,7.597,19.506,5,50.04%,76.97%  (  +8.42%),100.00%,"5,197",10,5,5,80
LMT,USA,437.42,2025-04-22,40.23,12.10,1.45,3.733,6.949,"8,168",28.53%,36.74%  (  +7.59%),100.00%,"104,773",7,4,4,85
NOC,USA,490.78,2025-04-22,47.98,12.36,1.73,3.919,9.042,"1,431",27.64%,38.44%  (  +10.13%),100.00%,"30,466",8,4,4,85
EQT,USA,46.05,2025-04-22,34.00,2.35,5.28,4.425,13.887,"60,086",54.14%,65.93%  (  +18.05%),100.00%,"256,489",9,4,4,85
ISRG,USA,456.78,2025-04-22,31.20,19.43,19.65,5.903,13.019,"21,719",45.07%,60.36%  (  +17.42%),100.00%,"84,063",7,4,5,75
CB,Switzerland,281.05,2025-04-22,40.04,6.82,2.02,4.872,9.174,"1,455",29.98%,34.20%  (  +9.98%),100.00%,"33,125",6,4,4,85
EWBC,USA,73.44,2025-04-22,23.35,3.84,2.29,7.216,14.573,768,53.77%,59.94%  (  +11.60%),100.00%,"3,579",5,5,5,85
COF,USA,150.92,2025-04-22,30.90,8.76,1.09,4.511,14.408,"14,818",55.72%,67.98%  (  +15.56%),100.00%,"201,365",9,5,4,70
SAP,USA,251.88,2025-04-22,33.40,7.05,7.96,11.932,11.399,976,35.60%,45.78%  (  +6.55%),100.00%,"26,743",9,5,5,88
BKR,USA,35.51,2025-04-22,25.67,1.75,1.26,6.602,15.378,"4,825",54.21%,60.64%  (  +19.01%),100.00%,"136,746",7,5,5,90
ADC,USA,74.59,2025-04-22,44.63,1.46,12.97,4.757,7.841,45,16.90%,27.82%  (  +3.16%),81.57%,"4,033",10,5,4,80
OMC,USA,73.23,2025-04-15,29.99,2.27,0.92,3.757,7.752,580,32.03%,43.41%  (  +7.27%),100.00%,"11,635",10,4,4,88
NFLX,USA,859.86,2025-04-17,34.80,35.59,9.49,8.223,12.924,"175,671",45.92%,65.33%  (  +11.95%),100.00%,"505,928",5,4,4,80
TMO,USA,440.55,2025-04-23,18.25,13.75,3.88,4.079,9.138,"11,154",27.57%,50.14%  (  +11.46%),100.00%,"49,643",7,5,5,79
NSC,USA,211.68,2025-04-23,27.66,6.33,3.95,4.122,9.400,390,31.74%,47.76%  (  +12.31%),100.00%,"17,522",8,4,4,80
BA,USA,137.65,2025-04-23,25.97,7.78,1.56,5.109,14.788,"285,391",57.81%,71.84%  (  +23.04%),100.00%,"1,096,442",8,4,4,50
TEL,Ireland,122.38,2025-04-23,22.54,4.55,2.30,5.615,12.190,"1,823",38.21%,46.61%  (  +9.68%),100.00%,"9,572",9,4,4,75
BSX,USA,90.28,2025-04-23,29.05,2.99,7.97,5.753,10.309,"38,578",38.42%,49.30%  (  +14.40%),100.00%,"229,176",10,5,5,88
GD,USA,253.53,2025-04-23,37.97,6.10,1.43,3.427,9.144,"2,198",29.15%,41.93%  (  +12.43%),100.00%,"41,610",4,4,4,0
DFS,USA,147.00,2025-04-23,35.34,9.27,1.56,3.771,17.736,"21,800",62.69%,87.02%  (  +24.70%),100.00%,"48,307",6,4,4,85
NOW,USA,724.02,2025-04-23,28.91,35.23,13.66,6.608,12.798,"10,920",49.08%,67.79%  (  +13.33%),100.00%,"99,444",7,5,5,88
KNX,USA,38.79,2025-04-23,23.06,1.86,0.85,7.766,15.669,"20,544",44.10%,64.82%  (  +20.71%),100.00%,"27,775",5,4,4,70
FE,USA,39.69,2025-04-24,49.19,0.89,1.69,4.037,9.460,"1,222",40.76%,33.48%  (  +8.00%),100.00%,"71,126",9,4,4,75
NEM,USA,44.40,2025-04-23,40.45,1.64,2.69,4.950,9.725,"67,937",38.96%,55.77%  (  +13.46%),100.00%,"877,279",5,4,4,65
LRCX,USA,59.63,2025-04-23,23.70,3.56,4.72,3.717,14.275,"65,621",58.75%,74.20%  (  +12.10%),100.00%,"569,267",7,5,5,82
EPRT,USA,30.86,2025-04-23,37.71,0.79,13.48,7.567,10.297,11,22.92%,43.69%  (  +11.90%),61.02%,989,6,4,4,80
SLM,USA,25.53,2025-04-23,29.44,1.29,1.77,8.187,14.401,"1,419",41.36%,59.48%  (  +14.27%),95.93%,"47,312",10,5,5,78
ETR,USA,79.18,2025-04-23,35.82,2.23,2.89,2.705,9.668,"3,253",32.54%,38.12%  (  +10.91%),100.00%,"36,160",5,4,4,85
STX,Ireland,66.30,2025-04-22,15.26,3.84,1.75,7.174,13.417,"14,677",61.51%,80.92%  (  +17.48%),100.00%,"128,364",5,4,4,82
VRT,USA,58.46,2025-04-23,28.03,7.01,2.78,10.541,22.242,"48,889",97.35%,118.19%  (  +28.11%),100.00%,"590,751",8,5,5,90
