SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
NRG,USA,109.58,2025-05-06,63.14,5.14,18.85%,0.79,8.608,9.162,915,70.08%,49.21%  (  +1.03%),39.40%,"54,449",9,4,4,80
CVX,USA,136.06,2025-05-02,38.34,4.41,-10.16%,1.23,2.334,3.058,"46,099",46.59%,32.31%  (  +3.24%),39.37%,"657,305",5,4,4,85
DD,USA,65.99,2025-05-02,49.64,2.83,-16.30%,2.23,5.627,6.202,"1,426",69.82%,42.28%  (  -2.77%),48.69%,"117,980",7,5,4,80
ETN,Ireland,294.37,2025-05-02,58.35,12.96,-7.37%,4.64,6.359,5.459,"2,472",57.31%,42.49%  (  -0.73%),45.00%,"105,497",8,5,4,85
CNK,USA,29.91,2025-05-02,69.81,0.87,5.66%,1.16,8.146,7.332,675,32.14%,38.70%  (  -0.57%),28.46%,"111,117",10,5,5,80
APO,USA,136.48,2025-05-02,54.87,7.11,-3.71%,2.96,5.452,6.632,"8,429",79.88%,46.37%  (  +0.03%),38.27%,"371,242",5,5,5,88
FLR,USA,34.89,2025-05-02,48.89,1.64,-24.94%,0.36,9.717,11.602,"1,713",59.31%,59.21%  (  +0.58%),63.39%,"84,906",10,4,4,78
CI,USA,340.04,2025-05-02,63.66,8.37,5.45%,0.38,4.835,4.570,"1,096",24.12%,32.09%  (  -0.69%),53.14%,"74,015",8,5,5,75
XOM,USA,105.63,2025-05-02,44.21,3.24,-7.09%,1.34,2.212,3.159,"40,899",39.81%,31.55%  (  +4.20%),44.49%,"985,427",5,4,5,85
SHEL,USA,64.48,2025-05-02,45.19,1.68,-4.30%,0.68,2.353,3.272,"8,206",44.54%,25.36%  (  -0.57%),33.96%,"226,794",6,5,5,
GT,USA,10.88,2025-05-05,61.57,0.51,17.87%,0.16,11.221,11.719,"4,938",76.27%,59.17%  (  -1.09%),59.65%,"182,892",9,5,4,65
BNTX,USA,104.15,2025-05-05,52.47,6.86,-1.98%,8.39,8.206,10.295,595,73.50%,56.10%  (  +0.56%),67.22%,"51,421",8,5,5,55
ARES,USA,152.53,2025-05-05,55.99,7.76,-5.55%,11.82,6.110,8.148,937,80.22%,44.84%  (  -0.38%),43.28%,"26,265",6,5,5,85
CRBG,USA,29.63,2025-05-05,51.51,1.41,-2.16%,0.87,7.108,7.722,"1,084",67.17%,41.28%  (  -0.95%),37.04%,"21,074",9,5,4,80
NBIX,USA,107.69,2025-05-05,56.13,4.04,-14.23%,4.52,9.456,12.294,550,50.66%,57.01%  (  +2.78%),47.93%,"17,878",10,5,5,80
MAT,USA,15.89,2025-05-05,43.37,0.76,-15.56%,0.95,8.642,10.069,"3,437",68.59%,50.95%  (  -0.31%),52.39%,"27,168",9,4,4,85
WMB,USA,58.57,2025-05-05,51.61,2.02,11.25%,6.65,3.528,4.911,"4,263",37.33%,31.23%  (  -0.58%),35.79%,"222,235",9,4,5,85
VRTX,USA,509.50,2025-05-05,62.19,14.43,8.08%,11.92,4.643,5.275,"2,272",22.68%,32.63%  (  -0.04%),42.38%,"34,603",6,4,5,80
CRH,Ireland,95.42,2025-05-05,60.19,3.75,2.69%,1.82,6.680,7.118,"1,477",54.25%,38.90%  (  -3.21%),42.35%,"57,790",,5,5,85
CTRA,USA,24.56,2025-05-05,37.82,0.90,-4.48%,3.44,3.849,5.213,"1,032",41.40%,48.05%  (  +16.84%),72.03%,"112,837",4,5,5,90
FANG,USA,132.01,2025-05-05,43.07,6.37,-22.86%,3.51,4.640,8.209,"2,989",77.91%,47.59%  (  +1.90%),55.64%,"64,364",10,5,5,80
MPLX,USA,50.93,2025-05-06,48.36,1.53,6.85%,4.68,3.979,5.304,"3,070",33.12%,26.88%  (  +1.67%),40.64%,"117,009",10,4,4,91
ZTS,USA,156.40,2025-05-06,52.99,4.63,-10.20%,7.54,7.280,7.129,"1,962",32.99%,36.34%  (  +1.76%),61.89%,"42,317",9,5,4,90
FIS,USA,78.88,2025-05-06,60.36,2.64,-1.15%,4.10,6.237,5.729,853,43.99%,32.58%  (  -1.99%),46.00%,"60,380",7,4,4,70
MPC,USA,137.41,2025-05-06,53.61,5.64,-10.45%,0.31,5.076,6.188,"3,008",62.84%,40.76%  (  +2.10%),38.36%,"68,989",9,4,4,75
KBR,USA,52.81,2025-05-06,57.67,1.60,-11.52%,0.88,7.599,8.780,753,46.59%,48.30%  (  +6.92%),70.11%,"20,067",5,5,5,85
WEC,USA,109.52,2025-05-06,58.54,2.24,12.02%,4.06,4.022,4.124,"1,324",18.93%,21.54%  (  -0.35%),32.59%,"15,193",9,4,4,80
CEG,USA,223.44,2025-05-06,55.03,12.26,-5.24%,2.97,8.708,9.491,"4,058",79.42%,58.19%  (  -0.70%),40.89%,"179,958",6,4,5,0
GENI,Guernsey,10.79,2025-05-06,60.27,0.53,27.27%,5.46,16.481,14.597,515,60.61%,66.62%  (  -0.90%),43.32%,"51,393",9,5,5,85
ARMK,USA,33.43,2025-05-06,50.99,1.14,-9.01%,0.51,6.384,7.008,"1,294",47.95%,35.10%  (  -1.64%),46.51%,"6,781",7,5,5,80
BALL,USA,51.94,2025-05-06,59.74,1.54,-10.62%,1.24,6.609,7.028,"3,435",36.11%,35.65%  (  -0.25%),54.29%,"57,442",6,4,4,65
AEP,USA,108.34,2025-05-06,57.40,2.52,8.61%,3.03,3.941,4.338,"3,078",23.97%,23.56%  (  +1.01%),40.15%,"78,105",10,4,4,75
DUK,USA,122.02,2025-05-06,57.01,2.56,6.94%,3.12,3.493,4.282,"3,917",22.61%,20.98%  (  +0.08%),40.81%,"138,009",9,4,4,85
WYNN,USA,80.31,2025-05-06,52.83,3.20,-6.24%,1.20,6.117,7.649,"8,243",61.22%,44.59%  (  +1.76%),38.90%,"234,052",5,5,5,75
SRPT,USA,62.40,2025-05-06,46.94,3.77,-45.33%,3.22,8.883,9.770,"1,057",82.06%,68.58%  (  +3.52%),31.58%,"72,737",9,5,5,85
IFF,USA,78.46,2025-05-06,58.05,2.20,-12.99%,1.75,7.591,8.029,"3,624",41.11%,39.23%  (  -1.14%),63.35%,"25,674",9,4,4,65
MOS,USA,30.40,2025-05-06,71.76,1.12,13.95%,0.87,5.852,6.618,"8,173",49.34%,40.46%  (  +1.31%),40.18%,"202,840",9,4,4,75
ANET,USA,82.27,2025-05-06,58.54,4.36,-13.25%,14.75,9.228,11.177,"15,061",69.43%,58.14%  (  -5.85%),51.29%,"496,846",10,5,5,80
TEM,USA,51.67,2025-05-06,55.39,4.69,2.93%,12.89,9.696,15.980,"19,579",110.72%,100.11%  (  -1.74%),43.91%,"256,312",8,4,5,75
ET,USA,16.54,2025-05-06,41.55,0.69,-6.61%,0.69,3.393,5.505,"54,446",47.48%,33.18%  (  +1.70%),41.78%,"1,030,591",6,5,5,88
EA,USA,145.09,2025-05-06,54.54,3.39,0.19%,5.15,5.281,7.206,"4,535",29.12%,35.22%  (  +0.35%),54.42%,"141,444",6,4,4,70
AMD,USA,97.35,2025-05-06,52.43,5.43,-25.05%,6.11,8.559,10.239,"243,014",90.96%,59.40%  (  +1.42%),47.35%,"3,646,762",9,4,4,85
UBER,USA,81.01,2025-05-07,64.66,3.37,13.33%,3.85,8.400,8.455,"74,967",52.58%,46.04%  (  -0.36%),41.52%,"1,423,389",9,5,5,88
EMR,USA,105.11,2025-05-07,50.62,4.02,-8.69%,3.38,5.581,6.760,623,53.98%,41.92%  (  +4.44%),58.23%,"75,091",7,4,4,85
DIS,USA,90.95,2025-05-07,49.85,3.16,-9.16%,1.79,7.050,7.432,"29,186",54.66%,40.03%  (  -0.47%),56.57%,"886,312",7,5,5,88
BXSL,USA,29.30,2025-05-07,45.14,0.91,-6.19%,5.03,5.157,4.873,613,43.30%,27.16%  (  +0.21%),36.67%,"13,654",8,4,5,82
JCI,Ireland,83.90,2025-05-07,60.72,2.82,7.64%,2.16,6.318,7.151,"2,001",49.94%,40.41%  (  +1.82%),54.31%,"91,319",6,4,4,86
