SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
DLTR,USA,67.14,2025-03-26,46.93,3.14,0.46,11.142,12.515,"87,330",45.91%,67.15%  (  -1.41%),65.84%,"333,999",6,4,4,62
CHWY,USA,33.61,2025-03-26,46.57,1.66,1.20,13.550,10.069,"81,629",48.90%,56.27%  (  -3.19%),19.79%,"265,246",10,5,4,75
JEF,USA,61.70,2025-03-26,49.18,2.20,1.20,6.434,8.428,"1,876",39.75%,40.51%  (  +1.10%),65.81%,"22,049",5,5,4,
LULU,USA,337.35,2025-03-27,46.11,12.82,4.20,9.874,9.323,"16,396",36.71%,54.09%  (  -1.03%),69.96%,"152,341",10,4,5,88
PVH,USA,66.78,2025-03-31,37.77,2.97,0.42,10.959,13.103,406,37.54%,60.53%  (  +1.75%),87.16%,"11,833",4,4,5,80
LEVI,USA,16.09,2025-04-02,42.00,0.60,1.00,7.756,10.255,746,37.74%,46.98%  (  -0.58%),73.18%,"36,713",9,4,4,78
STZ,USA,178.36,2025-04-09,47.68,4.84,3.17,3.710,8.241,"4,340",27.32%,40.60%  (  +0.44%),86.16%,"77,672",9,4,4,70
DAL,USA,48.67,2025-04-09,38.28,2.47,0.51,6.093,8.894,"27,517",52.66%,47.26%  (  -0.97%),54.21%,"709,020",6,5,5,85
PNC,USA,176.88,2025-04-15,42.58,4.00,2.06,3.861,5.568,"1,515",23.70%,26.11%  (  +0.01%),50.47%,"38,610",8,4,4,80
JNJ,USA,161.02,2025-04-15,47.29,2.53,4.37,2.659,3.894,"43,666",15.90%,17.27%  (  +1.08%),42.74%,"394,120",8,4,4,78
ACI,USA,20.81,2025-04-28,47.76,0.51,0.15,6.681,5.766,"2,383",30.29%,33.85%  (  +4.16%),24.32%,"119,361",10,4,4,80
CFG,USA,42.27,2025-04-16,46.72,1.21,1.48,4.379,6.506,902,26.69%,32.22%  (  +1.11%),44.15%,"60,646",4,4,4,80
FHN,USA,19.77,2025-04-16,49.72,0.60,2.03,5.189,7.587,759,35.27%,36.00%  (  -0.40%),63.26%,"34,919",4,4,4,70
PLD,USA,109.23,2025-04-16,35.79,2.84,12.65,4.365,5.895,"1,865",25.42%,25.94%  (  -0.87%),27.33%,"53,613",6,4,4,74
SNV,USA,48.63,2025-04-16,48.80,1.59,2.00,3.398,7.557,181,35.49%,36.70%  (  +0.59%),52.50%,"10,137",7,4,4,75
AA,USA,33.71,2025-04-16,48.25,1.52,0.71,4.278,10.914,"14,856",48.09%,53.89%  (  +2.26%),68.01%,"225,429",4,4,5,73
HOMB,USA,28.49,2025-04-16,45.92,0.63,3.87,8.284,8.962,3,22.29%,40.98%  (  +1.12%),54.93%,606,7,4,4,80
CSX,USA,29.53,2025-04-16,34.94,0.59,3.85,3.550,5.390,"1,185",21.80%,25.06%  (  -0.06%),36.10%,"134,219",9,4,4,65
REXR,USA,39.61,2025-04-16,46.29,1.09,9.68,3.774,6.186,109,25.24%,33.45%  (  +4.63%),57.73%,"7,553",7,4,4,76
EFX,USA,243.32,2025-04-16,47.80,6.27,5.35,5.463,6.515,24,23.97%,30.63%  (  -0.09%),39.06%,"5,116",5,5,5,70
FR,USA,54.10,2025-04-16,42.20,1.10,10.99,4.301,7.861,1,19.83%,35.60%  (  +5.15%),65.48%,178,5,4,4,85
LVS,USA,40.27,2025-04-16,32.52,1.42,2.55,4.343,7.039,"13,414",28.41%,37.01%  (  -3.10%),67.05%,"239,915",7,4,5,80
ABT,USA,125.60,2025-04-16,38.46,2.73,5.19,3.897,4.955,"24,731",20.05%,22.69%  (  +1.89%),56.00%,"175,274",5,5,5,85
DFS,USA,169.66,2025-04-16,46.57,7.23,1.80,3.771,12.683,"17,244",48.66%,62.97%  (  +3.49%),92.83%,"33,111",5,4,4,85
AXP,USA,279.28,2025-04-17,48.97,7.67,2.64,4.644,6.380,"6,718",30.53%,30.66%  (  +0.16%),61.18%,"214,795",6,4,4,85
HBAN,USA,15.32,2025-04-18,47.67,0.40,1.89,3.546,9.303,"2,758",26.22%,30.97%  (  +2.57%),56.49%,"67,959",4,4,4,80
GPC,USA,117.89,2025-04-17,41.55,3.01,0.70,6.353,8.949,"2,451",26.81%,30.15%  (  +4.09%),62.45%,"16,355",8,4,5,67
ISRG,USA,519.81,2025-04-17,47.54,17.95,22.30,5.903,8.599,"10,030",37.98%,36.16%  (  +1.62%),74.67%,"64,968",9,4,5,82
BX,USA,151.21,2025-04-17,48.31,5.31,14.79,4.033,8.075,"10,767",37.03%,35.36%  (  -0.05%),44.86%,"284,452",7,4,4,88
KNX,USA,44.30,2025-04-23,30.09,1.51,0.97,7.766,10.948,833,25.74%,33.42%  (  +0.12%),51.15%,"26,160",5,4,4,70
PPG,USA,111.74,2025-04-17,44.37,2.63,1.46,3.979,6.585,509,24.27%,29.31%  (  +2.87%),88.15%,"36,900",9,4,4,80
TSM,USA,180.90,2025-04-17,47.84,6.01,10.42,3.013,9.176,"80,774",40.12%,39.70%  (  -0.75%),29.47%,"1,542,283",9,5,5,85
ALK,USA,53.83,2025-04-17,34.12,2.74,0.56,7.083,14.119,"1,774",52.47%,50.56%  (  +0.98%),61.77%,"98,761",9,5,5,85
UNP,USA,235.79,2025-04-24,41.78,4.24,5.93,3.214,5.513,"3,624",18.87%,21.86%  (  -0.83%),53.68%,"96,089",9,4,4,88
INFY,USA,18.83,2025-04-17,38.92,0.40,4.09,4.935,8.099,"1,176",19.77%,30.12%  (  -1.20%),60.16%,"71,736",7,4,4,88
ELS,USA,66.85,2025-04-28,45.72,1.39,8.69,5.467,0.000,70,19.21%,32.36%  (  +9.18%),79.51%,197,7,4,4,80
FNB,USA,13.92,2025-04-16,46.73,0.35,1.94,4.130,11.876,57,27.23%,75.97%  (  +14.88%),68.83%,"4,285",6,5,5,87
DGX,USA,165.66,2025-04-22,44.01,3.86,1.86,5.881,7.275,740,22.22%,21.92%  (  +0.48%),45.90%,"11,428",4,4,4,85
PHM,USA,105.32,2025-04-22,49.46,3.22,1.19,5.017,8.832,949,27.64%,37.72%  (  -0.32%),69.25%,"36,659",7,4,4,78
OMC,USA,80.39,2025-04-15,43.71,2.09,1.01,3.757,5.061,605,24.45%,28.50%  (  +1.40%),70.10%,"8,742",10,4,4,88
IBKR,USA,179.40,2025-04-15,43.49,8.59,8.07,4.558,7.999,"3,233",58.17%,40.13%  (  +0.25%),49.74%,"46,701",8,5,5,90
WFRD,Ireland,54.82,2025-04-22,42.69,2.45,0.72,9.903,15.049,234,57.08%,46.37%  (  -1.40%),47.70%,"3,396",7,5,4,70
LMT,USA,442.07,2025-04-22,40.97,12.99,1.46,3.733,6.401,"12,354",27.45%,26.63%  (  -0.25%),94.15%,"101,470",7,4,4,85
UAL,USA,78.90,2025-04-15,42.56,4.84,0.45,6.531,12.995,"28,526",59.68%,58.56%  (  -0.08%),73.89%,"601,520",8,5,5,85
CMG,USA,49.51,2025-04-23,40.81,1.55,5.93,8.148,9.508,"37,903",32.93%,40.16%  (  +0.09%),59.34%,"912,035",6,5,5,85
MAT,USA,19.68,2025-04-22,41.64,0.54,1.21,8.642,10.544,522,24.17%,29.30%  (  +0.98%),28.00%,"11,188",10,4,4,80
PTC,USA,162.80,2025-05-07,48.63,3.71,8.47,6.793,0.000,61,20.51%,23.92%  (  -0.79%),27.40%,"8,168",7,4,5,75
NOW,USA,861.38,2025-04-23,44.95,31.89,16.15,6.608,9.368,"6,364",42.03%,39.11%  (  +1.40%),70.97%,"86,139",7,5,5,88
ETR,USA,82.92,2025-04-23,47.44,2.03,3.01,2.705,7.569,"7,275",28.86%,23.46%  (  +1.87%),50.59%,"27,938",7,4,4,85
TMO,USA,514.34,2025-04-23,40.53,11.38,4.53,4.079,6.504,"4,096",18.22%,26.66%  (  +1.97%),73.16%,"37,426",8,5,5,79
HAS,USA,61.04,2025-04-23,47.32,1.69,2.06,9.114,10.157,558,43.38%,28.83%  (  +0.52%),25.84%,"38,146",10,5,5,68
NSC,USA,234.00,2025-04-23,42.40,5.06,4.37,4.122,5.748,539,21.19%,24.60%  (  +1.10%),45.25%,"16,007",9,4,4,80
META,USA,626.31,2025-04-23,49.33,23.61,9.65,8.394,8.167,"470,550",36.55%,34.66%  (  -0.71%),33.18%,"1,935,330",10,5,5,85
LRCX,USA,77.67,2025-04-23,48.84,3.03,6.15,3.717,10.196,"25,743",45.92%,40.71%  (  -1.44%),38.07%,"497,763",7,5,5,82
STX,Ireland,87.96,2025-04-22,38.92,2.80,2.32,7.174,9.663,"7,059",32.70%,41.06%  (  +1.93%),65.42%,"105,336",4,4,4,82
RJF,USA,145.71,2025-04-23,46.43,3.99,1.94,6.159,9.025,180,28.08%,27.70%  (  -0.11%),53.64%,"11,051",6,4,4,80
