SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
OKLO,USA,27.16,2025-03-24,42.72,3.65,-,10.810,14.612,"36,439",126.23%,107.99%  (  -0.78%),29.94%,"354,258",8,5,4,78
KBH,USA,59.75,2025-03-24,39.72,1.94,0.62,8.274,9.371,"8,671",30.16%,43.38%  (  -0.39%),64.08%,"67,431",5,4,4,80
CNM,USA,48.27,2025-03-25,43.02,1.57,1.34,11.130,11.706,165,26.93%,51.88%  (  -3.98%),66.35%,"12,840",4,5,4,72
RUM,USA,7.74,2025-03-25,35.86,0.66,55.05,15.304,12.277,"5,701",66.96%,92.16%  (  +0.75%),47.28%,"202,163",5,4,4,65
DLTR,USA,66.75,2025-03-26,45.56,3.06,0.46,11.142,13.602,"19,883",43.50%,70.43%  (  +0.14%),70.71%,"391,205",6,4,4,62
CHWY,USA,33.86,2025-03-26,47.61,1.77,1.21,13.550,11.583,"50,282",50.21%,63.44%  (  -3.79%),28.05%,"260,329",10,5,5,75
JEF,USA,59.37,2025-03-26,41.40,2.22,1.16,6.434,9.138,609,37.04%,42.14%  (  -3.00%),70.98%,"34,859",5,5,4,
LULU,USA,322.62,2025-03-27,35.76,12.82,4.02,9.874,10.253,"18,474",35.08%,58.41%  (  -0.43%),80.22%,"179,570",9,4,5,88
BRZE,USA,37.03,2025-03-27,49.70,1.80,6.79,16.016,15.853,"1,843",52.14%,74.55%  (  +5.31%),81.07%,"12,973",5,5,5,78
LEVI,USA,16.05,2025-04-02,41.39,0.62,1.00,7.756,11.060,541,38.55%,49.08%  (  +1.34%),79.75%,"38,866",7,4,4,78
STZ,USA,177.42,2025-04-09,46.03,5.08,3.15,3.710,8.536,"2,929",28.09%,41.20%  (  +0.30%),88.15%,"89,078",9,4,4,70
