SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
PPG,USA,107.11,2025-04-17,34.54,2.78,1.40,3.979,6.427,63,24.41%,31.29%  (  +1.16%),100.00%,"37,416",10,4,4,80
CADE,USA,29.95,2025-04-21,37.73,0.85,1.85,10.654,9.596,1,25.62%,39.31%  (  -3.50%),50.15%,"1,503",10,4,4,80
ELS,USA,67.03,2025-04-28,48.30,1.40,8.71,5.467,8.284,1,18.94%,28.76%  (  -3.59%),68.24%,229,6,4,4,70
DHR,USA,201.86,2025-04-22,35.49,4.97,6.05,4.766,7.655,"3,969",22.20%,34.91%  (  +2.07%),100.00%,"101,530",8,5,5,70
PHM,USA,101.68,2025-04-22,41.17,3.12,1.14,5.017,8.796,263,28.58%,40.90%  (  +0.98%),90.24%,"38,420",6,4,4,78
GE,USA,197.40,2025-04-22,44.96,5.43,4.63,5.726,8.424,"2,838",29.17%,38.34%  (  +0.55%),76.25%,"202,966",10,5,5,85
STLD,USA,123.22,2025-04-22,43.44,4.04,1.05,5.917,10.452,800,32.87%,37.63%  (  +2.08%),50.51%,"36,046",10,5,5,78
BKR,USA,43.33,2025-04-22,46.70,1.19,1.54,6.602,9.806,264,27.91%,33.97%  (  +1.56%),72.32%,"133,174",9,5,5,90
EWBC,USA,88.50,2025-04-22,41.06,2.50,2.75,7.216,11.030,21,28.57%,38.33%  (  +3.57%),83.04%,"2,619",7,5,5,85
SAP,USA,263.57,2025-04-22,41.79,6.43,8.32,11.932,10.041,141,32.84%,35.01%  (  +0.95%),83.88%,"25,160",9,5,5,90
COF,USA,175.25,2025-04-22,44.78,6.60,1.25,4.511,9.741,"1,136",42.24%,45.63%  (  +0.23%),87.95%,"183,003",10,4,4,70
NFLX,USA,904.34,2025-04-17,41.68,33.25,9.95,8.223,11.467,"29,584",43.31%,51.75%  (  +1.47%),100.00%,"444,298",6,4,4,83
UAL,USA,65.85,2025-04-15,29.74,4.75,0.38,6.531,13.795,"16,073",61.40%,67.27%  (  +0.29%),97.75%,"612,206",8,5,5,85
LMT,USA,449.59,2025-04-22,47.11,11.82,1.49,3.733,6.237,"1,763",25.74%,29.19%  (  +0.52%),100.00%,"96,997",6,4,4,85
WFRD,Ireland,53.01,2025-04-22,39.40,2.45,0.70,9.903,15.819,19,49.45%,54.88%  (  +3.38%),75.41%,"3,630",8,5,4,70
WAB,USA,179.82,2025-04-23,41.31,4.57,2.96,5.413,9.313,20,24.88%,33.59%  (  +3.58%),100.00%,"3,756",4,5,5,75
TMHC,USA,59.60,2025-04-23,44.41,1.83,0.74,7.838,11.369,9,28.72%,36.62%  (  +2.22%),64.75%,"2,650",7,5,5,82
