SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
WGS,USA,112.49,2025-04-30,64.57,7.76,67.33%,10.51,24.432,20.404,"7,713",75.05%,108.65%  (  +2.49%),44.59%,"20,113",7,4,4,75
NCLH,Bermuda,17.44,2025-04-30,46.92,1.09,-21.06%,0.82,8.334,9.371,"22,183",83.75%,64.09%  (  +1.29%),45.52%,"469,189",10,4,4,78
GEHC,USA,68.07,2025-04-30,46.92,3.24,-18.34%,1.58,6.499,7.629,"4,102",71.37%,48.67%  (  +3.28%),57.69%,"116,089",9,5,5,70
HUM,USA,263.20,2025-04-30,46.72,12.14,-10.34%,0.27,6.711,10.313,"9,365",52.29%,64.49%  (  -1.80%),57.20%,"147,615",7,4,4,68
WDC,USA,40.91,2025-04-30,56.83,2.10,-14.53%,0.91,5.834,7.766,"10,457",85.22%,55.96%  (  +3.36%),53.73%,"326,624",10,5,5,68
HES,USA,133.84,2025-04-30,45.28,4.89,-5.02%,3.21,2.678,3.194,806,54.40%,33.27%  (  -2.13%),38.99%,"95,817",7,4,5,0
IP,USA,47.48,2025-04-30,45.14,2.10,-7.82%,1.35,4.634,5.860,"1,250",54.45%,42.70%  (  +2.12%),47.22%,"66,768",8,4,4,75
PEG,USA,80.90,2025-04-30,46.97,2.25,-3.71%,3.93,4.810,5.192,724,28.47%,26.51%  (  -1.23%),39.87%,"32,924",10,4,4,70
AER,Netherlands,104.02,2025-04-30,60.09,3.56,8.04%,2.53,6.045,6.007,"1,898",47.98%,30.70%  (  -1.67%),34.46%,"20,739",8,5,5,80
GTES,UK,18.05,2025-04-30,50.95,0.93,-5.94%,1.36,7.436,9.695,"6,158",68.56%,52.92%  (  -3.09%),53.52%,"26,944",6,5,5,78
XPO,USA,97.53,2025-04-30,45.48,6.87,-20.60%,1.42,11.486,13.077,"1,321",79.17%,64.45%  (  -0.10%),51.42%,"21,093",6,5,5,78
VICI,USA,32.24,2025-04-30,53.53,0.84,2.34%,8.85,4.331,3.596,769,27.60%,23.68%  (  +0.96%),33.77%,"69,340",8,5,5,82
META,USA,549.74,2025-04-30,49.78,27.00,-4.93%,8.44,8.394,8.147,"251,192",64.30%,49.20%  (  +0.60%),55.65%,"1,966,629",10,5,5,85
NLY,USA,19.49,2025-04-30,53.43,0.63,-2.20%,1.83,2.212,3.091,"6,623",39.82%,24.06%  (  -3.14%),25.94%,"135,763",8,5,5,65
PTC,USA,151.83,2025-04-30,51.49,5.40,-13.76%,7.90,6.793,7.736,"4,396",43.83%,38.09%  (  +0.90%),49.23%,"6,810",7,4,5,80
ALGN,USA,181.09,2025-04-30,60.59,8.01,-15.03%,3.32,11.439,11.681,"1,900",54.02%,65.28%  (  +6.86%),68.02%,"33,941",5,4,5,75
AMCR,Jersey,9.63,2025-04-30,53.13,0.27,-6.05%,1.03,6.080,6.926,543,32.98%,41.93%  (  +13.13%),74.67%,"55,376",10,4,4,75
GH,USA,47.99,2025-04-30,59.92,2.94,40.36%,8.01,12.709,15.201,"4,893",57.62%,75.56%  (  +1.97%),51.24%,"37,245",7,5,5,78
QCOM,USA,147.62,2025-04-30,53.09,6.42,-9.93%,4.01,7.159,6.742,"19,719",65.43%,43.85%  (  +1.18%),40.77%,"524,215",9,4,4,85
CHRW,USA,89.08,2025-04-30,39.23,2.93,-12.27%,0.59,7.939,8.700,843,37.01%,43.21%  (  +3.09%),63.45%,"32,395",7,4,4,70
WAY,USA,36.64,2025-04-30,47.91,1.71,13.34%,6.69,10.295,14.875,"2,601",39.09%,68.92%  (  -5.46%),87.34%,"29,660",6,5,5,80
CFLT,USA,24.09,2025-04-30,53.77,1.55,-5.58%,8.67,19.345,19.213,"3,089",76.30%,90.81%  (  +0.33%),71.86%,"216,618",5,4,4,78
SFM,USA,169.76,2025-04-30,69.24,6.25,30.68%,2.16,10.223,11.609,"1,527",34.45%,56.56%  (  +1.40%),70.58%,"21,431",10,4,4,80
AR,USA,35.93,2025-04-30,51.36,2.01,10.78%,2.58,5.087,6.913,"4,183",72.36%,49.71%  (  -2.43%),39.93%,"198,385",7,4,4,80
FMC,USA,41.59,2025-04-30,59.93,1.64,-21.98%,1.22,9.621,11.509,"1,998",53.22%,56.53%  (  -0.85%),56.29%,"66,953",10,4,4,62
MSFT,USA,391.16,2025-04-30,55.55,12.11,-5.74%,11.11,4.911,4.819,"126,706",39.40%,31.71%  (  +0.68%),45.34%,"1,915,157",10,5,5,85
