SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
STZ,USA,171.93,2025-07-01,34.10,4.29,-18.06%,3.00,4.822,8.172,"10,483",23.40%,36.42%  (  -0.97%),52.24%,"98,288",8,4,4,75,Beverages - Brewers,
JEF,USA,52.41,2025-07-01,59.56,1.71,-17.15%,1.11,6.905,11.001,"1,372",36.49%,37.78%  (  -0.23%),28.62%,"46,397",9,4,4,0,Capital Markets,
PGR,USA,279.32,2025-07-10,48.62,6.02,8.18%,2.09,2.117,0.000,"1,102",20.24%,23.77%  (  +0.87%),13.03%,"59,260",8,4,4,80,Insurance - Property & Casualty,
DAL,USA,50.95,2025-07-10,62.41,1.73,-5.10%,0.54,7.622,0.000,"59,447",41.81%,42.30%  (  +0.52%),22.70%,"843,158",7,5,5,78,Airlines,"UAL, 0.94(6M)"
C,USA,78.26,2025-07-15,69.55,1.70,12.35%,0.87,3.872,0.000,"110,574",23.64%,24.86%  (  -2.06%),9.71%,"1,937,191",4,4,5,85,Banks - Diversified,
BK,USA,90.32,2025-07-15,65.24,1.57,13.63%,1.62,4.597,0.000,974,13.67%,20.02%  (  -2.31%),12.04%,"73,591",5,4,4,88,Banks - Diversified,"STT, 0.83(6M)"
STT,USA,98.62,2025-07-15,65.60,1.99,6.63%,1.32,5.123,0.000,"1,042",17.01%,27.44%  (  +0.04%),17.62%,"34,408",6,4,4,70,Asset Management,"BK, 0.83(6M)"
WFC,USA,76.33,2025-07-15,62.47,1.78,10.53%,2.00,4.664,0.000,"62,686",20.20%,24.65%  (  -2.01%),11.05%,"1,474,121",7,4,4,78,Banks - Diversified,
JPM,USA,265.73,2025-07-15,60.95,4.82,10.53%,2.59,3.712,0.000,"52,584",15.94%,19.72%  (  -1.92%),6.34%,"836,368",6,4,4,88,Banks - Diversified,"BAC, 0.85(6M)"
GS,USA,614.00,2025-07-16,62.47,14.73,9.31%,1.50,4.520,0.000,"28,555",22.26%,25.59%  (  -1.31%),12.88%,"272,719",7,4,4,75,Capital Markets,"MS, 0.96(6M)"
MS,USA,131.82,2025-07-16,65.21,2.98,9.22%,1.99,3.772,0.000,"16,363",22.75%,25.49%  (  -0.73%),13.11%,"651,968",9,4,4,80,Capital Markets,"GS, 0.96(6M)"
JNJ,USA,155.03,2025-07-16,53.52,2.47,-0.93%,4.18,2.634,0.000,"44,593",17.54%,17.80%  (  -0.66%),22.87%,"482,918",7,4,4,85,Drug Manufacturers - General,"PFE, 0.83(6M)"
PNC,USA,178.63,2025-07-16,61.91,3.58,-3.33%,2.11,3.948,0.000,"2,237",23.24%,21.59%  (  -1.48%),7.34%,"46,334",8,4,4,82,Banks - Regional,
CFG,USA,41.37,2025-07-16,59.26,1.04,-2.80%,1.47,4.430,0.000,"2,451",29.43%,31.43%  (  +0.07%),20.30%,"54,073",5,4,4,80,Banks - Regional,
BAC,USA,44.97,2025-07-16,66.06,0.91,5.04%,1.71,3.880,0.000,"162,737",19.27%,22.67%  (  -1.54%),8.97%,"3,035,299",9,5,5,85,Banks - Diversified,
ALLY,USA,36.30,2025-07-16,60.66,1.04,0.56%,0.71,6.819,0.000,"1,523",31.42%,29.35%  (  -1.90%),5.44%,"104,311",6,4,4,70,Credit Services,
NFLX,USA,1241.47,2025-07-16,69.87,26.42,37.02%,13.25,8.268,0.000,"140,911",20.18%,25.62%  (  -1.29%),8.57%,"605,381",7,5,5,88,Entertainment,
KMI,USA,28.14,2025-07-16,55.12,0.58,7.55%,4.04,3.613,0.000,"10,867",20.07%,24.16%  (  -0.46%),27.18%,"526,180",6,4,4,80,Oil & Gas Midstream,
BKR,USA,37.90,2025-07-16,53.89,1.00,-5.58%,1.35,7.460,0.000,936,20.08%,31.05%  (  -0.85%),20.97%,"144,140",4,5,5,72,Oil & Gas Equipment & Services,
LVS,USA,40.22,2025-07-16,50.18,1.24,-10.13%,2.54,6.058,0.000,"11,180",31.96%,37.35%  (  +0.78%),20.35%,"311,445",6,5,5,0,Resorts & Casinos,
ASML,USA,753.02,2025-07-16,59.49,17.68,2.73%,8.99,6.120,0.000,"8,695",26.90%,31.26%  (  -0.95%),4.60%,"155,802",5,4,4,82,Semiconductor Equipment & Materials,
CSX,USA,32.23,2025-07-16,68.36,0.61,-0.29%,4.24,4.578,0.000,"16,137",22.14%,24.49%  (  +0.36%),19.92%,"311,743",6,4,4,60,Railroads,
UAL,USA,84.23,2025-07-16,63.81,3.53,6.08%,0.48,8.707,0.000,"25,342",44.76%,48.66%  (  +0.21%),23.54%,"707,539",7,5,5,85,Airlines,"DAL, 0.94(6M)
RCL, 0.94(12M)"
NDAQ,USA,85.61,2025-07-16,75.17,1.38,11.12%,6.29,5.897,0.000,"1,714",13.00%,18.22%  (  -1.14%),5.90%,"35,412",5,4,4,92,Financial Data & Stock Exchanges,
FITB,USA,39.41,2025-07-17,60.30,0.87,-5.64%,1.92,4.432,0.000,551,25.98%,27.94%  (  +0.32%),18.18%,"72,817",9,4,4,80,Banks - Regional,
USB,USA,44.77,2025-07-17,61.92,0.92,-2.39%,1.66,3.900,0.000,"16,991",22.90%,24.76%  (  -0.26%),12.98%,"255,611",9,4,5,75,Banks - Regional,
NEM,USA,52.36,2025-07-17,48.34,1.57,9.82%,2.99,5.503,0.000,"47,548",37.06%,32.77%  (  -1.24%),16.87%,"1,020,168",10,4,4,85,Gold,
UNP,USA,223.43,2025-07-17,51.51,4.02,-5.33%,5.51,3.215,0.000,"4,241",24.05%,21.54%  (  +0.04%),18.18%,"118,001",7,4,4,68,Railroads,"NSC, 0.89(6M)"
COF,USA,198.14,2025-07-17,60.27,5.67,12.80%,2.35,5.428,0.000,"18,839",32.77%,30.87%  (  -0.34%),14.83%,"192,345",9,5,5,78,Credit Services,"AXP, 0.82(6M)"
ABT,USA,133.58,2025-07-17,54.22,2.43,9.05%,5.49,3.858,0.000,"6,550",16.50%,21.26%  (  +1.41%),25.58%,"202,001",8,5,5,88,Medical Devices,
TSM,USA,205.18,2025-07-17,70.40,5.06,10.22%,11.00,3.882,0.000,"104,098",29.47%,32.02%  (  -1.30%),1.79%,"1,939,659",8,5,5,79,Semiconductors,
BX,USA,140.45,2025-07-17,52.66,3.85,-10.63%,13.49,3.978,0.000,"13,558",30.03%,31.16%  (  -1.60%),14.59%,"360,464",5,4,4,80,Asset Management,
ALK,USA,52.50,2025-07-17,56.17,1.92,-1.98%,0.50,8.682,0.000,"1,156",36.65%,45.62%  (  -0.47%),25.04%,"87,464",8,5,5,70,Airlines,
THC,USA,171.46,2025-07-17,70.21,4.89,18.52%,0.78,10.520,0.000,"1,741",37.57%,38.57%  (  +1.03%),28.21%,"44,234",10,5,5,80,Medical Care Facilities,
FCX,USA,41.48,2025-07-17,65.13,1.31,1.89%,2.43,3.874,0.000,"43,624",28.61%,38.59%  (  -1.13%),18.39%,"1,139,347",7,4,4,85,Copper,
STX,Ireland,126.97,2025-07-17,82.48,3.60,30.09%,3.16,6.988,0.000,"9,330",41.91%,31.33%  (  -1.29%),9.32%,"170,721",7,4,4,77,Computer Hardware,
HAL,USA,20.52,2025-07-17,50.34,0.70,-22.35%,0.78,4.452,0.000,"42,495",32.98%,37.12%  (  -2.73%),29.88%,"565,165",6,4,4,70,Oil & Gas Equipment & Services,
KVUE,USA,21.73,2025-07-17,34.35,0.62,-3.97%,2.73,5.431,0.000,"18,087",30.06%,25.31%  (  +0.13%),22.96%,"477,853",9,4,4,66,Household & Personal Products,
NUE,USA,121.57,2025-07-17,59.58,4.39,-8.36%,0.92,5.258,0.000,"7,103",38.00%,38.03%  (  -1.76%),31.41%,"146,231",10,5,4,85,Steel,
ISRG,USA,557.08,2025-07-17,60.04,11.63,5.93%,22.91,6.379,0.000,"2,977",18.17%,26.32%  (  -0.17%),17.97%,"90,168",8,5,5,80,Medical Instruments & Supplies,
HBAN,USA,16.22,2025-07-18,63.25,0.37,3.49%,1.98,4.013,0.000,"1,223",25.81%,26.18%  (  -2.86%),13.18%,"72,910",7,4,4,85,Banks - Regional,
TFC,USA,40.66,2025-07-18,57.83,0.91,-5.24%,2.21,3.580,0.000,"9,462",26.09%,24.65%  (  -0.34%),12.47%,"231,706",7,4,4,60,Banks - Regional,
RF,USA,22.05,2025-07-18,57.90,0.54,-4.38%,2.12,4.289,0.000,"1,353",27.79%,28.29%  (  -1.64%),17.05%,"110,602",8,4,4,76,Banks - Regional,
SLB,,33.87,2025-07-18,46.81,1.00,-15.32%,1.28,3.439,0.000,"35,070",26.44%,32.61%  (  -2.63%),24.28%,"748,614",8,5,5,65,Oil & Gas Equipment & Services,
AXP,USA,302.47,2025-07-18,65.59,6.31,7.02%,2.81,4.528,0.000,"24,433",24.18%,24.13%  (  -0.06%),9.51%,"211,164",7,4,4,78,Credit Services,"COF, 0.82(6M)"
VZ,USA,43.80,2025-07-21,52.56,0.71,3.20%,1.36,4.111,0.000,"54,542",19.02%,19.89%  (  -0.39%),24.34%,"1,158,559",8,4,4,85,Telecom Services,"T, 0.88(6M)"
NXPI,Netherlands,207.68,2025-07-21,58.12,7.67,-3.80%,4.26,6.662,0.000,"5,338",44.79%,37.92%  (  -1.02%),18.54%,"56,485",8,5,5,70,Semiconductors,
IBN,USA,34.18,2025-07-21,57.11,0.47,12.31%,3.50,4.065,0.000,570,21.74%,16.36%  (  -1.26%),18.83%,"100,019",7,4,4,0,Banks - Regional,
PLD,USA,108.79,2025-07-21,55.01,2.52,-4.99%,12.33,4.653,0.000,"1,124",22.06%,27.28%  (  -1.24%),14.74%,"75,204",5,4,4,65,REIT - Industrial,
GM,USA,47.47,2025-07-22,46.69,1.31,-4.00%,0.24,6.006,0.000,"25,987",29.15%,31.57%  (  -0.73%),20.50%,"722,004",7,4,4,70,Auto Manufacturers,"TSLA, 0.83(6M)"
GE,USA,255.63,2025-07-22,85.05,5.13,33.67%,6.87,5.941,0.000,"58,531",15.24%,33.97%  (  +0.61%),26.20%,"407,559",7,5,5,85,Aerospace & Defense,"MMM, 0.8(6M)"
PM,USA,181.73,2025-07-22,67.48,3.24,29.60%,7.41,4.186,0.000,"6,456",18.15%,22.30%  (  -0.08%),26.93%,"267,576",9,5,5,88,Tobacco,
PHM,USA,100.23,2025-07-22,49.23,2.69,-14.38%,1.12,5.330,0.000,572,28.46%,32.09%  (  -1.75%),15.64%,"40,728",8,4,4,79,Residential Construction,
KEY,USA,16.33,2025-07-22,60.37,0.41,-2.83%,1.93,4.358,0.000,"2,843",27.78%,25.85%  (  -5.16%),6.34%,"186,604",5,4,5,75,Banks - Regional,
SAP,USA,309.80,2025-07-22,67.39,5.25,20.81%,9.58,12.280,0.000,"3,099",21.88%,24.40%  (  -1.02%),13.63%,"35,012",10,5,5,88,Software - Application,
FHN,USA,20.39,2025-07-22,61.68,0.49,7.94%,2.10,5.216,0.000,"1,929",24.12%,31.80%  (  -0.68%),19.59%,"49,746",6,4,4,60,Banks - Regional,
IBKR,USA,211.83,2025-07-22,66.98,5.93,20.92%,9.40,6.230,0.000,"11,685",26.72%,38.50%  (  -0.97%),28.86%,"71,260",10,5,5,92,Capital Markets,
SCHW,USA,88.25,2025-07-22,63.53,1.50,16.04%,6.12,4.887,0.000,"12,880",12.41%,22.33%  (  -1.01%),1.10%,"539,147",7,5,5,85,Capital Markets,"AMTD, 0.84(6M)"
09:20:36 AM,,,,,,,,,,,,,,,,,,,,
