SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
SIG,Bermuda,48.57,2025-03-19,40.44,2.54,0.31,10.865,13.119,"12,226",47.60%,77.45%  (  +2.32%),86.40%,"34,090",6,4,4,65
OLLI,USA,99.85,2025-03-19,43.64,3.96,2.71,9.602,9.687,"9,399",37.54%,57.32%  (  +0.50%),88.28%,"19,249",6,5,5,85
ASO,USA,46.53,2025-03-20,40.76,2.05,0.53,9.822,9.514,861,38.51%,56.27%  (  +1.09%),87.53%,"25,939",6,5,5,60
JBL,USA,135.35,2025-03-20,35.14,4.78,0.54,9.320,8.588,962,33.64%,47.04%  (  -0.08%),74.26%,"37,580",7,5,5,80
DRI,USA,188.36,2025-03-20,46.10,5.04,1.91,5.508,6.383,"2,563",29.69%,36.87%  (  -0.09%),75.66%,"28,295",4,4,4,78
NKE,USA,73.39,2025-03-20,43.03,2.19,2.21,8.882,8.366,"50,114",36.46%,47.37%  (  +0.94%),87.50%,"1,272,422",7,4,4,55
FDX,USA,245.94,2025-03-20,40.88,6.07,0.68,8.815,8.710,"8,879",27.47%,46.28%  (  +0.38%),62.55%,"171,507",7,4,4,60
ACN,Ireland,323.58,2025-03-20,28.38,7.94,3.05,6.067,6.743,"3,556",24.17%,39.16%  (  +0.20%),88.13%,"77,651",10,4,4,78
CCL,Panama,20.00,2025-03-21,36.25,1.10,1.03,8.400,8.967,"38,287",49.91%,59.97%  (  +3.50%),82.37%,"1,210,483",6,4,5,80
OKLO,USA,26.31,2025-03-24,40.69,4.00,-,10.810,20.377,"21,753",126.58%,123.54%  (  +1.54%),42.10%,"324,388",7,5,4,78
KBH,USA,60.23,2025-03-24,40.03,1.89,0.62,8.274,10.123,227,29.71%,44.69%  (  -0.41%),69.35%,"61,964",4,4,4,80
CNM,USA,47.75,2025-03-25,38.99,1.65,1.32,11.130,12.685,17,26.53%,54.66%  (  +2.44%),73.92%,"11,214",6,4,4,72
RUM,USA,7.70,2025-03-25,34.79,0.73,54.80,15.304,13.977,"1,123",69.32%,99.51%  (  -1.26%),51.83%,"197,778",6,4,4,65
DLTR,USA,65.10,2025-03-26,40.04,3.03,0.45,11.142,14.463,"5,175",43.69%,74.03%  (  -0.34%),76.06%,"356,200",5,4,4,62
CHWY,USA,31.87,2025-03-26,38.23,1.83,1.14,13.550,13.110,"12,070",48.09%,69.80%  (  +1.47%),35.36%,"250,583",9,5,5,75
JEF,USA,58.35,2025-03-26,37.83,2.31,1.14,6.434,10.207,383,37.48%,43.96%  (  -0.51%),76.74%,"34,070",5,5,4,
LULU,USA,322.40,2025-03-27,33.76,13.06,4.02,9.874,11.172,"5,556",34.68%,60.03%  (  +2.45%),84.07%,"172,698",9,4,5,88
LW,USA,52.76,2025-04-03,46.12,2.05,1.19,10.078,14.942,896,39.14%,65.34%  (  +1.94%),89.05%,"114,709",4,4,4,50
LEVI,USA,15.82,2025-04-02,37.28,0.64,0.98,7.756,11.694,505,38.84%,51.40%  (  +1.53%),87.00%,"38,121",6,4,4,78
STZ,USA,179.87,2025-04-09,49.43,5.42,3.19,3.710,9.086,"1,870",28.36%,42.12%  (  +1.25%),91.16%,"87,157",9,4,4,70
DAL,USA,45.96,2025-04-09,27.56,2.76,0.48,6.093,10.865,"32,529",50.41%,53.34%  (  +1.70%),70.75%,"888,157",5,5,5,80
BK,USA,82.52,2025-04-11,44.07,2.09,1.49,4.484,6.805,710,23.81%,31.16%  (  +0.31%),73.66%,"77,912",5,4,4,85
JPM,USA,234.39,2025-04-11,34.62,6.53,2.32,3.236,6.659,"55,443",28.44%,31.11%  (  +1.19%),69.42%,"782,683",6,4,5,88
WFC,USA,70.94,2025-04-11,41.43,2.26,1.85,4.088,8.739,"39,613",31.98%,37.13%  (  +0.76%),68.72%,"1,183,067",7,4,4,80
STT,USA,88.13,2025-04-11,36.19,2.45,1.20,5.230,7.717,556,25.53%,33.62%  (  -0.02%),79.33%,"33,062",5,4,4,85
MTB,USA,174.14,2025-04-14,33.32,4.59,2.14,4.436,7.719,53,21.84%,33.30%  (  -1.04%),76.07%,"10,062",5,4,4,70
GS,USA,550.20,2025-04-21,37.54,18.89,1.36,3.705,0.000,"22,817",33.78%,37.05%  (  +2.39%),81.85%,"258,495",5,4,4,82
C,USA,70.18,2025-04-15,38.08,2.35,0.77,3.596,8.250,"43,859",34.16%,35.80%  (  +1.74%),68.52%,"1,803,960",4,5,5,85
BAC,USA,41.55,2025-04-15,40.67,1.21,1.59,3.660,7.369,"81,204",30.43%,32.35%  (  +1.25%),79.16%,"2,737,640",8,5,5,80
PNC,USA,172.68,2025-04-15,33.17,4.51,2.02,3.861,6.923,631,24.15%,30.00%  (  +1.67%),78.04%,"47,460",8,4,4,80
USB,USA,42.37,2025-04-16,35.32,1.15,1.56,3.938,7.425,"4,098",24.99%,32.27%  (  +0.83%),52.08%,"229,792",4,4,5,82
FHN,USA,18.83,2025-04-16,38.50,0.65,1.97,5.189,8.903,158,34.84%,39.22%  (  -0.44%),75.24%,"34,693",6,4,5,70
CFG,USA,40.88,2025-04-16,35.33,1.31,1.44,4.379,9.034,"1,293",26.48%,38.13%  (  +7.30%),74.40%,"71,207",5,4,4,80
THC,USA,125.62,2025-04-29,45.76,5.58,0.58,9.405,0.000,342,46.22%,43.54%  (  +0.32%),51.51%,"30,014",5,5,5,85
LVS,USA,43.25,2025-04-16,43.91,1.44,2.74,4.343,8.940,"9,309",28.83%,38.46%  (  +0.80%),73.55%,"364,217",6,4,5,80
EFX,USA,235.93,2025-04-16,39.06,6.78,5.15,5.463,8.224,103,33.80%,36.38%  (  +2.53%),71.67%,"6,037",5,5,5,70
SNV,USA,46.56,2025-04-16,37.66,1.68,1.91,3.398,8.959,100,33.98%,39.40%  (  +3.14%),58.22%,"10,556",8,4,4,75
AA,USA,33.94,2025-04-16,49.58,1.62,0.71,4.278,12.524,"9,285",49.46%,54.64%  (  +2.18%),71.43%,"256,304",4,4,5,73
DFS,USA,158.74,2025-04-16,36.34,8.14,1.69,3.771,14.404,"6,436",47.07%,61.57%  (  -4.77%),89.85%,"45,745",7,4,4,85
STLD,USA,126.74,2025-04-22,48.78,4.59,1.09,5.917,0.000,"1,305",34.32%,37.68%  (  +0.02%),50.73%,"55,006",10,4,5,80
LBRT,USA,14.60,2025-04-16,30.45,0.71,0.55,5.345,11.958,272,37.67%,52.09%  (  +2.75%),85.74%,"30,226",7,4,4,72
ABT,USA,126.36,2025-04-16,38.26,2.99,5.22,3.897,6.076,"14,089",22.91%,26.13%  (  +1.52%),78.04%,"181,600",6,5,5,85
FR,USA,55.12,2025-04-16,46.86,1.13,11.20,4.301,9.095,400,19.32%,40.31%  (  +0.91%),77.07%,868,6,4,4,85
NDAQ,USA,75.10,2025-04-24,41.80,1.85,5.84,5.387,0.000,646,25.18%,25.17%  (  -1.38%),51.66%,"41,731",9,4,4,85
RF,USA,21.49,2025-04-17,34.78,0.60,2.08,4.331,7.796,224,23.35%,34.10%  (  +1.00%),68.57%,"104,390",6,4,4,78
ALLY,USA,34.71,2025-04-17,43.64,1.21,0.65,6.757,9.649,"3,113",29.56%,42.95%  (  +2.65%),73.76%,"125,106",9,4,4,70
KEY,USA,15.84,2025-04-17,41.29,0.52,1.91,4.626,9.085,"2,131",29.74%,36.07%  (  +1.53%),52.72%,"206,253",7,4,4,70
HBAN,USA,14.72,2025-04-18,35.99,0.44,1.81,3.546,0.000,567,25.42%,32.80%  (  +3.02%),66.01%,"76,597",8,4,4,80
AXP,USA,262.10,2025-04-18,32.37,8.14,2.48,4.644,0.000,"5,620",28.09%,35.68%  (  +1.51%),84.42%,"223,667",8,4,4,85
TFC,USA,40.76,2025-04-28,33.41,1.19,2.17,3.911,0.000,"2,651",24.64%,32.52%  (  +0.53%),60.78%,"227,105",6,4,4,70
FITB,USA,38.81,2025-04-18,34.74,1.08,1.87,4.115,0.000,219,23.30%,32.07%  (  +0.95%),68.94%,"84,645",6,4,4,80
BX,USA,145.91,2025-04-17,41.06,5.75,14.27,4.033,10.363,"6,152",36.55%,40.54%  (  +2.19%),65.01%,"311,148",6,4,4,88
PNR,Ireland,87.25,2025-04-22,36.50,2.34,3.52,6.385,0.000,"2,144",24.07%,28.91%  (  +1.03%),56.14%,"13,005",5,4,4,79
KNX,USA,46.28,2025-04-23,33.71,1.60,1.01,7.766,0.000,310,25.79%,36.10%  (  +2.11%),63.95%,"27,608",6,4,4,70
INFY,USA,18.45,2025-04-17,23.85,0.39,4.01,4.935,9.624,240,17.47%,32.94%  (  +1.61%),73.55%,"86,457",8,4,4,88
NUE,USA,130.10,2025-04-28,47.05,4.52,0.98,5.085,0.000,"7,115",36.31%,41.17%  (  -0.19%),73.76%,"149,082",9,4,4,80
ISRG,USA,482.07,2025-04-17,30.77,19.78,20.59,5.903,10.534,"4,101",36.53%,34.53%  (  -1.60%),68.05%,"82,820",9,4,5,80
IRDM,USA,27.37,2025-04-17,36.84,1.08,3.59,11.000,22.113,280,52.88%,43.98%  (  +1.14%),25.96%,"24,932",9,5,4,85
BANC,USA,13.97,2025-04-22,42.65,0.50,1.25,9.683,0.000,"1,157",36.21%,38.99%  (  +0.50%),40.55%,"24,189",7,5,5,70
TSM,USA,173.01,2025-04-17,39.21,6.79,9.97,3.013,11.333,"89,979",40.46%,45.86%  (  +2.08%),50.85%,"1,719,446",10,5,5,85
PPG,USA,113.53,2025-04-17,47.32,2.76,1.48,3.979,6.795,462,24.84%,28.66%  (  +2.35%),84.18%,"42,101",10,4,4,80
ALK,USA,52.76,2025-04-17,27.70,3.20,0.55,7.083,16.796,"1,528",50.96%,56.48%  (  +2.53%),78.91%,"156,911",10,5,5,85
UNP,USA,237.27,2025-04-24,42.12,4.72,5.97,3.214,0.000,875,19.02%,22.27%  (  +1.24%),57.13%,"105,814",9,4,4,88
WAL,USA,75.15,2025-04-17,36.30,3.14,1.65,6.749,17.786,471,39.85%,45.75%  (  +1.27%),65.25%,"40,430",7,5,5,75
HOMB,USA,28.41,2025-04-17,42.10,0.64,3.85,8.284,9.567,1,22.16%,50.15%  (  +5.95%),70.61%,"1,247",7,4,4,80
FNB,USA,13.62,2025-04-16,38.21,0.37,1.90,4.130,14.892,30,27.42%,42.68%  (  -39.78%),33.29%,"4,303",6,5,5,87
PHM,USA,103.59,2025-04-22,44.50,3.07,1.17,5.017,0.000,"1,387",27.57%,37.45%  (  +1.15%),67.45%,"42,128",8,4,4,78
SAP,USA,270.59,2025-04-28,47.86,7.28,8.54,11.932,0.000,466,32.39%,29.56%  (  +0.32%),55.55%,"33,743",9,5,5,88
BKR,USA,43.62,2025-04-22,49.50,1.35,1.55,6.602,0.000,"1,517",29.96%,32.88%  (  +1.39%),65.80%,"138,034",7,5,5,88
EWBC,USA,88.26,2025-04-22,38.64,2.57,2.74,7.216,0.000,2,27.05%,33.14%  (  -1.39%),60.07%,"3,325",5,5,5,80
OMC,USA,81.43,2025-04-15,45.49,2.29,1.02,3.757,7.004,286,24.37%,30.58%  (  -0.08%),81.67%,"18,172",10,4,4,88
NFLX,USA,929.81,2025-04-17,46.83,35.46,10.23,8.223,12.011,"93,553",40.36%,44.99%  (  +2.55%),80.15%,"529,578",9,4,4,85
CSX,USA,30.22,2025-04-16,38.70,0.68,3.94,3.550,6.112,"1,335",22.23%,26.91%  (  +0.51%),43.83%,"134,230",9,4,4,65
PLD,USA,112.38,2025-04-16,38.07,2.97,13.02,4.365,6.941,817,23.83%,28.93%  (  +1.70%),46.94%,"57,446",4,4,4,74
UAL,USA,71.50,2025-04-15,28.71,5.22,0.41,6.531,14.789,"19,991",54.32%,64.17%  (  -2.44%),89.27%,"748,451",8,5,5,85
IBKR,USA,171.85,2025-04-15,36.13,9.49,7.73,4.558,10.858,"1,635",58.76%,46.81%  (  +2.00%),67.35%,"61,637",8,5,5,88
WFRD,Ireland,53.90,2025-04-22,37.31,2.84,0.71,9.903,0.000,91,56.90%,51.84%  (  +2.86%),65.50%,"4,299",9,5,4,70
GEV,USA,317.73,2025-04-24,47.55,21.43,2.51,8.763,0.000,"6,953",61.69%,57.61%  (  +2.22%),61.95%,"150,039",7,5,5,80
IBM,USA,246.82,2025-04-23,45.93,7.18,3.65,6.193,0.000,"17,102",26.92%,28.18%  (  +1.80%),52.35%,"323,672",8,4,4,85
MTH,USA,70.15,2025-04-23,39.63,2.42,0.79,5.638,0.000,161,33.97%,42.43%  (  +5.46%),63.86%,"5,986",5,4,4,75
TEL,Ireland,146.73,2025-04-23,47.03,3.78,2.76,5.615,0.000,121,25.97%,26.68%  (  +0.15%),61.75%,"11,883",10,4,4,75
RJF,USA,143.38,2025-04-23,38.97,4.10,1.91,6.159,0.000,845,26.27%,30.76%  (  -2.00%),68.25%,"12,114",6,4,4,80
TMO,USA,520.33,2025-04-23,43.49,12.15,4.58,4.079,0.000,"1,103",20.98%,24.89%  (  +0.21%),60.80%,"49,866",8,5,5,79
HAS,USA,60.07,2025-04-23,42.70,1.78,2.03,9.114,0.000,"1,017",44.03%,28.08%  (  -3.95%),23.12%,"37,917",9,5,5,68
MAT,USA,20.00,2025-04-22,43.76,0.56,1.23,8.642,0.000,169,47.54%,28.16%  (  +1.70%),24.63%,"20,033",10,4,4,80
APH,USA,64.01,2025-04-23,45.41,2.16,5.09,7.267,0.000,"1,916",31.03%,34.70%  (  -0.16%),65.86%,"77,457",7,5,4,85
META,USA,579.94,2025-04-23,33.55,24.74,8.93,8.394,0.000,"426,183",33.97%,38.33%  (  +2.13%),46.10%,"2,015,108",9,5,5,85
TMHC,USA,58.74,2025-04-29,38.89,1.91,0.73,7.838,0.000,53,30.48%,38.56%  (  -4.02%),70.65%,"3,047",7,5,5,82
WSC,USA,30.16,2025-05-01,39.61,1.43,2.31,8.934,0.000,427,50.72%,47.94%  (  -0.75%),53.90%,"288,612",8,4,4,65
VRT,USA,84.95,2025-04-23,40.69,7.14,4.04,10.541,0.000,"18,813",78.10%,67.12%  (  +1.55%),47.76%,"610,393",6,5,5,90
ETR,USA,83.29,2025-04-23,49.65,2.24,3.02,2.705,0.000,"1,162",28.60%,26.38%  (  +0.43%),66.09%,"40,835",6,4,4,85
STX,Ireland,88.69,2025-04-22,39.65,3.13,2.34,7.174,0.000,"2,485",33.51%,36.13%  (  +0.71%),44.06%,"115,710",4,4,4,82
NSC,USA,234.42,2025-04-23,40.72,5.66,4.38,4.122,0.000,166,21.59%,25.40%  (  +0.91%),49.85%,"18,937",8,4,4,80
