SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,IV,IvRank,Iv %ile,OI,Scr,Rank,Rank+,Er #
LEGN,USA,35.26,2025-03-11,47.30,1.83,12.44,10.361,12.135,127,71.86%  (  +5.42%),51.71%,44.81%,"8,837",8,5,5,70
FERG,USA,168.19,2025-03-11,38.11,4.84,1.13,6.293,8.086,"4,419",42.62%  (  -0.64%),97.35%,26.19%,"9,807",,5,5,75
DKS,USA,214.26,2025-03-11,37.92,8.22,1.30,9.679,10.072,"7,455",55.84%  (  -0.68%),82.92%,29.88%,"59,653",8,5,4,88
VIK,Bermuda,43.61,2025-03-11,34.57,2.14,3.69,8.021,11.672,586,58.25%  (  +6.12%),100.00%,36.96%,"13,514",5,4,5,75
S,USA,19.84,2025-03-12,29.69,0.94,8.28,15.492,15.285,"5,351",76.73%  (  +1.25%),70.03%,35.98%,"183,834",5,4,4,75
DOCU,USA,79.83,2025-03-13,30.54,3.43,5.54,11.115,11.798,"5,203",63.36%  (  -0.46%),97.19%,29.77%,"111,833",7,4,5,85
RBRK,USA,57.35,2025-03-13,31.22,4.26,13.22,13.880,22.404,"1,651",102.59%  (  +1.78%),94.39%,53.96%,"36,989",6,5,5,75
SMTC,USA,33.50,2025-03-13,34.06,3.69,3.39,18.656,17.861,"1,857",93.37%  (  -6.89%),76.55%,149.64%,"70,600",4,5,5,65
OLLI,USA,103.03,2025-03-19,47.50,4.09,2.80,9.602,11.795,683,57.35%  (  +0.67%),100.00%,35.29%,"15,107",6,4,4,85
SIG,Bermuda,50.30,2025-03-19,38.83,2.85,0.32,10.865,14.747,"1,674",79.85%  (  +3.98%),90.98%,44.33%,"29,122",6,4,4,65
JBL,USA,139.95,2025-03-20,28.30,4.75,0.56,9.320,10.239,"1,303",49.44%  (  -1.61%),94.58%,35.09%,"36,919",8,5,5,80
ASO,USA,49.24,2025-03-20,41.01,1.92,0.56,9.822,10.047,935,56.79%  (  +1.22%),93.05%,28.58%,"23,512",7,4,4,60
MU,USA,92.96,2025-03-20,47.55,5.10,3.56,11.304,13.551,"158,111",68.41%  (  -3.24%),85.73%,64.32%,"1,823,329",7,5,5,68
FDX,USA,253.92,2025-03-20,43.61,6.54,0.70,8.815,8.683,"6,108",44.22%  (  -0.25%),58.05%,34.44%,"182,964",8,4,4,60
ACN,Ireland,342.18,2025-03-20,28.52,8.11,3.23,6.067,7.456,"1,915",37.72%  (  +0.09%),85.67%,24.92%,"73,970",10,4,4,78
MNSO,USA,19.89,2025-03-21,40.43,1.01,2.52,13.083,11.690,988,65.37%  (  +1.66%),55.49%,56.23%,"18,215",9,5,4,80
OKLO,USA,26.27,2025-03-24,36.02,4.85,-,10.810,28.190,"48,066",136.91%  (  +2.22%),52.56%,153.97%,"351,977",7,5,4,78
CNM,USA,47.87,2025-03-18,29.49,1.60,1.32,11.130,8.675,225,52.20%  (  -1.02%),67.23%,22.57%,"10,063",6,4,4,72
DLTR,USA,68.99,2025-03-26,41.21,3.05,0.48,11.142,15.461,"19,516",72.81%  (  unch),74.30%,35.98%,"355,185",6,4,4,62
CHWY,USA,33.32,2025-03-26,39.02,1.92,1.19,13.550,15.959,"39,594",73.99%  (  +7.70%),40.17%,43.59%,"273,294",9,5,5,75
BRZE,USA,33.74,2025-03-27,29.06,1.82,6.19,16.016,18.864,109,66.05%  (  -5.43%),64.63%,47.94%,"11,152",5,5,5,78
RUM,USA,8.38,2025-03-26,33.14,0.87,59.60,15.304,18.031,"13,438",104.15%  (  +7.48%),54.70%,64.76%,"195,305",7,4,4,65
LULU,USA,344.36,2025-03-20,31.86,13.57,4.29,9.874,7.448,"10,914",59.99%  (  -0.27%),91.51%,30.10%,"176,966",9,4,5,88
JEF,USA,56.25,2025-03-26,20.80,2.48,1.09,6.434,11.905,"1,614",44.06%  (  +2.22%),99.17%,32.27%,"29,538",8,5,4,0
CCL,Panama,20.64,2025-03-26,27.98,1.11,1.07,8.400,12.596,"100,880",57.92%  (  -2.57%),91.03%,47.74%,"1,191,414",7,4,4,75
