SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
PNC,USA,155.32,2025-04-15,36.86,7.15,-16.10%,1.81,3.861,4.562,"5,868",45.26%,37.50%  (  -7.80%),52.36%,"43,360",9,4,4,85
BAC,USA,36.67,2025-04-15,38.11,1.88,-13.76%,1.40,3.660,4.677,"261,893",53.57%,39.59%  (  -7.26%),49.63%,"2,979,449",7,5,5,80
JNJ,USA,154.36,2025-04-15,45.35,4.44,-1.44%,4.19,2.659,2.698,"80,019",30.87%,22.72%  (  -5.21%),45.04%,"500,712",9,4,4,75
C,USA,63.22,2025-04-15,40.57,3.68,-7.05%,0.70,3.596,4.911,"193,119",60.10%,42.57%  (  -10.31%),47.31%,"1,882,135",6,5,4,80
UAL,USA,65.69,2025-04-15,43.48,6.41,-11.07%,0.38,6.531,8.936,"31,835",108.06%,74.80%  (  -6.19%),59.51%,"674,346",6,5,4,85
JBHT,USA,137.82,2025-04-15,42.19,7.04,-18.37%,1.14,4.498,6.278,914,51.89%,46.16%  (  -8.16%),59.28%,"9,771",7,4,4,65
OMC,USA,76.54,2025-04-15,46.11,2.99,-16.97%,0.96,3.757,4.735,768,41.72%,39.83%  (  -2.66%),72.59%,"13,148",10,4,4,88
ABT,USA,127.96,2025-04-16,48.81,3.72,8.74%,5.29,3.897,4.424,"10,161",28.50%,31.04%  (  -5.51%),59.83%,"195,817",8,5,5,85
FHN,USA,17.26,2025-04-16,40.98,1.01,-5.68%,1.77,5.189,6.083,"2,598",61.74%,47.74%  (  -7.35%),58.16%,"41,521",10,5,5,70
ASML,USA,672.87,2025-04-16,48.92,32.98,-13.36%,8.66,6.032,7.434,"16,579",61.86%,51.48%  (  -4.49%),51.66%,"156,951",7,4,4,85
PLD,USA,98.30,2025-04-16,39.01,4.64,-16.19%,11.11,4.365,6.105,"1,310",50.90%,41.86%  (  -7.55%),53.88%,"79,700",4,4,4,80
TRV,USA,250.84,2025-04-16,48.42,7.70,4.65%,1.22,4.928,4.804,716,33.79%,30.34%  (  -9.60%),41.90%,"14,924",10,4,4,85
CFG,USA,35.59,2025-04-16,37.84,2.12,-16.54%,1.25,4.379,5.703,"7,447",59.65%,46.01%  (  -9.21%),58.10%,"65,959",6,4,4,78
KMI,USA,26.80,2025-04-16,48.03,1.04,7.54%,3.95,2.685,4.944,"9,804",36.81%,36.41%  (  -6.28%),63.53%,"543,478",10,4,4,80
AA,USA,25.01,2025-04-16,36.32,2.21,-31.28%,0.53,4.278,9.456,"17,589",79.83%,75.47%  (  -10.62%),59.22%,"283,847",4,4,4,75
CSX,USA,28.27,2025-04-16,42.90,0.96,-14.59%,3.66,3.550,4.408,"8,636",36.14%,38.90%  (  +1.22%),64.44%,"148,673",9,4,5,65
FNB,USA,12.06,2025-04-16,38.76,0.64,-17.54%,1.68,4.130,7.461,"1,000",53.91%,74.79%  (  +5.87%),67.56%,"5,432",7,5,4,85
LVS,USA,32.12,2025-04-16,29.67,1.86,-28.79%,2.01,4.343,5.185,"28,730",52.98%,59.91%  (  -10.26%),66.65%,"304,311",6,4,5,72
TFC,USA,36.18,2025-04-17,37.46,1.86,-16.62%,1.93,3.911,4.892,"6,661",53.36%,41.99%  (  -8.46%),51.90%,"256,039",6,4,4,65
KEY,USA,14.06,2025-04-17,39.44,0.83,-16.10%,1.68,4.626,6.081,"14,872",57.04%,50.66%  (  -7.15%),61.79%,"240,806",8,4,4,70
FITB,USA,34.60,2025-04-17,37.01,1.78,-17.93%,1.66,4.115,4.768,668,49.23%,44.23%  (  -6.38%),60.93%,"74,231",5,4,4,80
RF,USA,19.27,2025-04-17,38.28,1.02,-16.46%,1.86,4.331,5.453,"1,952",51.35%,43.94%  (  -6.63%),57.54%,"111,842",6,4,4,70
STT,USA,80.91,2025-04-17,40.22,3.91,-10.24%,1.10,5.230,5.799,"1,519",50.83%,40.36%  (  -8.78%),45.21%,"34,501",6,4,4,85
ALLY,USA,32.21,2025-04-17,40.81,1.94,-14.16%,0.60,6.757,8.149,"4,881",54.60%,53.93%  (  -10.58%),58.57%,"113,811",7,4,4,74
HBAN,USA,13.15,2025-04-17,38.57,0.74,-14.83%,1.62,3.546,5.891,976,56.59%,44.76%  (  -9.46%),67.80%,"72,823",8,4,4,80
AXP,USA,255.38,2025-04-17,45.93,13.36,-7.18%,2.41,4.644,5.218,"8,210",60.98%,41.93%  (  -9.44%),49.01%,"232,033",6,4,4,85
WAL,USA,63.93,2025-04-17,36.38,4.85,-21.95%,1.41,6.749,14.807,"2,108",73.49%,63.56%  (  -8.53%),64.94%,"40,489",7,5,5,75
TSM,USA,155.84,2025-04-17,42.20,8.91,-15.42%,8.98,3.013,6.962,"200,680",59.77%,51.78%  (  -2.07%),48.81%,"1,909,478",10,5,5,85
BX,USA,130.47,2025-04-17,42.59,8.72,-16.39%,12.76,4.033,5.855,"7,655",68.61%,52.67%  (  -7.31%),57.48%,"323,504",6,4,4,88
AGNC,USA,8.44,2025-04-21,30.99,0.38,-14.81%,1.58,4.125,5.450,"17,768",37.71%,38.04%  (  -7.08%),69.08%,"827,439",5,4,4,65
