SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
LULU,USA,337.35,2025-03-27,46.11,12.82,4.20,9.874,9.324,"16,396",36.81%,54.09%  (  -1.03%),69.96%,"152,341",9,4,5,88
LEVI,USA,16.09,2025-04-02,42.00,0.60,1.00,7.756,10.343,746,37.74%,46.98%  (  -0.58%),73.18%,"36,713",9,4,4,78
STZ,USA,178.36,2025-04-09,47.68,4.84,3.17,3.710,8.164,"4,340",27.29%,40.60%  (  +0.44%),86.16%,"77,672",9,4,4,72
DAL,USA,48.67,2025-04-09,38.28,2.47,0.51,6.093,8.839,"27,517",52.69%,47.26%  (  -0.97%),54.21%,"709,020",6,5,5,85
JNJ,USA,161.02,2025-04-15,47.29,2.53,4.37,2.659,3.745,"43,666",15.59%,17.27%  (  +1.08%),42.74%,"394,120",9,4,4,78
PNC,USA,176.88,2025-04-15,42.58,4.00,2.06,3.861,5.500,"1,515",23.70%,26.11%  (  +0.01%),50.47%,"38,610",8,4,4,80
ACI,USA,20.81,2025-04-15,47.76,0.51,0.15,6.681,5.762,"2,383",30.74%,33.85%  (  +4.16%),24.32%,"119,361",10,4,4,80
IBKR,USA,179.40,2025-04-15,43.49,8.59,8.07,4.558,8.090,"3,233",58.08%,40.13%  (  +0.25%),49.74%,"46,701",8,5,5,90
PLD,USA,109.23,2025-04-16,35.79,2.84,12.34,4.365,5.800,"1,865",24.63%,25.94%  (  -0.87%),27.33%,"53,613",4,4,4,74
FHN,USA,19.77,2025-04-16,49.72,0.60,2.03,5.189,7.487,759,35.27%,36.00%  (  -0.40%),63.26%,"34,919",4,4,4,70
CFG,USA,42.27,2025-04-16,46.72,1.21,1.48,4.379,6.410,902,26.71%,32.22%  (  +1.11%),44.15%,"60,646",4,4,4,80
SNV,USA,48.63,2025-04-16,48.80,1.59,2.00,3.398,7.489,181,35.29%,36.70%  (  +0.59%),52.50%,"10,137",7,4,4,75
AA,USA,33.71,2025-04-16,48.25,1.52,0.71,4.278,10.728,"14,856",48.07%,53.89%  (  +2.26%),68.01%,"225,429",4,4,5,73
CSX,USA,29.53,2025-04-16,34.94,0.59,3.85,3.550,5.446,"1,185",21.97%,25.06%  (  -0.06%),36.10%,"134,219",10,4,4,65
HOMB,USA,28.49,2025-04-16,45.92,0.63,3.87,8.284,8.813,3,22.29%,40.98%  (  +1.12%),54.93%,606,7,4,4,80
REXR,USA,39.61,2025-04-16,46.29,1.09,9.68,3.774,6.113,109,25.24%,33.45%  (  +4.63%),57.73%,"7,553",7,4,4,76
EFX,USA,243.32,2025-04-16,47.80,6.27,5.35,5.463,6.470,24,23.97%,30.63%  (  -0.09%),39.06%,"5,116",7,5,5,70
FR,USA,54.10,2025-04-16,42.20,1.10,10.99,4.301,7.795,1,19.83%,35.60%  (  +5.15%),65.48%,178,5,4,4,85
ABT,USA,125.60,2025-04-16,38.46,2.73,5.19,3.897,4.946,"24,731",20.05%,22.69%  (  +1.89%),56.00%,"175,274",6,5,5,85
LVS,USA,40.27,2025-04-16,32.52,1.42,2.55,4.343,6.993,"13,414",28.30%,37.01%  (  -3.10%),67.05%,"239,915",7,4,5,80
DFS,USA,169.66,2025-04-16,46.57,7.23,1.80,3.771,12.532,"17,244",48.66%,62.97%  (  +3.49%),92.83%,"33,111",5,4,4,85
HBAN,USA,15.32,2025-04-18,47.67,0.40,1.89,3.546,9.133,"2,758",26.08%,30.97%  (  +2.57%),56.49%,"67,959",6,4,4,80
AXP,USA,279.28,2025-04-17,48.97,7.67,2.64,4.644,6.342,"6,718",30.59%,30.66%  (  +0.16%),61.18%,"214,795",6,4,4,85
AUB,USA,32.34,2025-04-22,36.00,0.88,2.16,15.462,16.154,3,23.10%,71.43%  (  +21.84%),94.88%,558,7,4,4,75
KNX,USA,44.30,2025-04-23,30.09,1.51,0.97,7.766,10.884,833,25.74%,33.42%  (  +0.12%),51.15%,"26,160",5,4,4,70
UNP,USA,235.79,2025-04-24,41.78,4.24,5.88,3.214,5.549,"3,624",18.40%,21.86%  (  -0.83%),53.68%,"96,089",9,4,4,88
BX,USA,151.21,2025-04-17,48.31,5.31,14.79,4.033,8.198,"10,767",36.62%,35.36%  (  -0.05%),44.86%,"284,452",7,4,4,88
TSM,USA,180.90,2025-04-17,47.84,6.01,10.42,3.013,9.268,"80,774",40.04%,39.70%  (  -0.75%),29.47%,"1,542,283",9,5,5,85
PPG,USA,111.74,2025-04-17,44.37,2.63,1.46,3.979,6.531,509,24.27%,29.31%  (  +2.87%),88.15%,"36,900",10,4,4,80
ISRG,USA,519.81,2025-04-17,47.54,17.95,22.30,5.903,8.712,"10,030",38.04%,36.16%  (  +1.62%),74.67%,"64,968",9,4,5,75
GPC,USA,117.89,2025-04-17,41.55,3.01,0.70,6.353,8.880,"2,451",26.81%,30.15%  (  +4.09%),62.45%,"16,355",8,4,5,68
ALK,USA,53.83,2025-04-17,34.12,2.74,0.56,7.083,13.969,"1,774",52.34%,50.56%  (  +0.98%),61.77%,"98,761",9,5,5,85
INFY,USA,18.83,2025-04-17,38.92,0.40,4.09,4.935,8.129,"1,176",19.57%,30.12%  (  -1.20%),60.16%,"71,736",7,4,4,88
CADE,USA,31.15,2025-04-28,47.09,0.89,1.93,10.654,13.599,5,26.81%,43.58%  (  -2.87%),58.90%,"1,494",8,4,4,80
FNB,USA,13.92,2025-04-16,46.73,0.35,1.94,4.130,11.667,57,27.23%,75.97%  (  +14.88%),68.83%,"4,285",6,5,5,87
ELS,USA,66.85,2025-04-28,45.72,1.39,8.69,5.467,0.000,70,19.21%,32.36%  (  +9.18%),79.51%,197,6,4,4,84
PHM,USA,105.32,2025-04-22,49.46,3.22,1.19,5.017,8.690,949,27.58%,37.72%  (  -0.32%),69.25%,"36,659",7,4,4,78
DGX,USA,165.66,2025-04-22,44.01,3.86,1.86,5.881,7.209,740,22.06%,21.92%  (  +0.48%),45.90%,"11,428",4,4,4,85
WFRD,Ireland,54.82,2025-04-22,42.69,2.45,0.72,9.903,14.392,234,57.08%,46.37%  (  -1.40%),47.70%,"3,396",8,5,4,70
OMC,USA,80.39,2025-04-15,43.71,2.09,1.01,3.757,5.201,605,24.48%,28.50%  (  +1.40%),70.10%,"8,742",10,4,4,88
LMT,USA,442.07,2025-04-22,40.97,12.99,1.46,3.733,6.260,"12,354",27.49%,26.63%  (  -0.25%),94.15%,"101,470",7,4,4,85
UAL,USA,78.90,2025-04-15,42.56,4.84,0.45,6.531,13.035,"28,526",59.59%,58.56%  (  -0.08%),73.89%,"601,520",9,5,5,85
CMG,USA,49.51,2025-04-23,40.81,1.55,5.93,8.148,9.438,"37,903",32.30%,40.16%  (  +0.09%),59.34%,"912,035",7,5,5,85
VRT,USA,91.58,2025-04-23,47.89,6.42,4.35,10.541,17.575,"22,437",79.27%,67.45%  (  +1.18%),48.47%,"507,360",8,5,5,90
NSC,USA,234.00,2025-04-23,42.40,5.06,4.37,4.122,5.786,539,21.19%,24.60%  (  +1.10%),45.25%,"16,007",9,4,4,80
PTC,USA,162.80,2025-05-07,48.63,3.71,8.47,6.793,0.000,61,20.52%,23.92%  (  -0.79%),27.40%,"8,168",7,4,5,75
TMHC,USA,60.82,2025-04-29,49.44,1.93,0.76,7.838,0.000,18,29.84%,34.50%  (  +1.30%),58.28%,"2,631",7,5,5,82
NOW,USA,861.38,2025-04-23,44.95,31.89,16.25,6.608,9.476,"6,364",41.99%,39.11%  (  +1.40%),70.97%,"86,139",7,5,5,88
RJF,USA,145.71,2025-04-23,46.43,3.99,1.94,6.159,8.927,180,28.08%,27.70%  (  -0.11%),53.64%,"11,051",6,4,4,80
HAS,USA,61.04,2025-04-23,47.32,1.69,2.06,9.114,10.040,558,43.27%,28.83%  (  +0.52%),25.84%,"38,146",10,5,5,68
ETR,USA,82.92,2025-04-23,47.44,2.03,3.01,2.705,7.478,"7,275",28.85%,23.46%  (  +1.87%),50.59%,"27,938",7,4,4,85
TMO,USA,514.34,2025-04-23,40.53,11.38,4.53,4.079,6.497,"4,096",18.22%,26.66%  (  +1.97%),73.16%,"37,426",8,5,5,79
LRCX,USA,77.67,2025-04-23,48.84,3.03,6.15,3.717,10.240,"25,743",45.91%,40.71%  (  -1.44%),38.07%,"497,763",6,5,5,82
ALKS,Ireland,33.88,2025-05-07,48.79,1.02,3.54,9.416,0.000,"1,018",34.59%,40.81%  (  +4.94%),68.11%,"4,563",9,4,4,82
MAT,USA,19.68,2025-04-22,41.64,0.54,1.18,8.642,10.417,522,24.17%,29.30%  (  +0.98%),28.00%,"11,188",10,4,4,80
AMGN,USA,306.86,2025-05-01,46.90,6.90,4.96,4.789,0.000,"17,539",21.71%,22.21%  (  +1.29%),10.83%,"159,223",5,4,4,85
STX,Ireland,87.96,2025-04-22,38.92,2.80,2.32,7.174,9.699,"7,059",32.68%,41.06%  (  +1.93%),65.42%,"105,336",4,4,4,82
WSC,USA,29.87,2025-05-01,41.05,1.29,2.29,8.934,0.000,93,50.88%,43.52%  (  +5.81%),42.83%,"142,225",8,4,4,65
BG,Switzerland,73.45,2025-04-23,48.31,1.97,-,6.216,9.274,453,23.00%,27.58%  (  +0.61%),44.19%,"51,163",4,4,4,65
META,USA,626.31,2025-04-23,49.33,23.61,9.65,8.394,8.191,"470,550",36.48%,34.66%  (  -0.71%),33.18%,"1,935,330",10,5,5,84
BMY,USA,59.19,2025-04-24,48.76,1.54,2.49,4.518,7.876,"59,262",27.25%,31.44%  (  +2.16%),68.47%,"510,143",9,4,4,75
SNY,USA,55.45,2025-04-24,43.56,1.04,3.05,6.438,9.000,"5,588",22.25%,26.98%  (  +2.85%),41.87%,"31,161",4,4,4,80
VLY,USA,9.11,2025-04-24,47.99,0.27,1.43,10.783,10.868,"1,197",29.37%,37.34%  (  +2.23%),23.03%,"16,347",10,4,4,75
MRK,USA,87.87,2025-04-24,34.29,2.32,3.47,4.285,8.148,"126,641",25.06%,33.70%  (  +4.24%),100.00%,"568,220",8,4,4,75
