SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,IV,IvRank,Iv %ile,OI,Scr,Rank,Rank+,Er #
C,USA,68.40,2025-04-15,26.70,2.49,0.75,3.596,0.000,"89,328",38.00%  (  +0.81%),96.70%,31.69%,"1,861,725",4,5,5,85
BAC,USA,40.77,2025-04-15,27.69,1.21,1.56,3.660,0.000,"94,730",33.38%  (  +1.37%),87.84%,26.85%,"2,706,652",7,5,5,82
PNC,USA,176.09,2025-04-15,26.79,4.45,2.06,3.861,0.000,497,29.68%  (  +2.21%),76.24%,21.72%,"49,143",8,4,4,80
CFG,USA,40.78,2025-04-16,26.45,1.39,1.43,4.379,0.000,"1,405",39.00%  (  +1.63%),83.32%,24.56%,"67,316",5,4,4,80
SNV,USA,45.36,2025-04-16,20.67,1.66,1.86,3.398,0.000,"1,140",42.43%  (  +0.72%),69.13%,26.55%,"10,219",9,4,4,75
ASML,USA,720.77,2025-04-16,47.79,23.88,9.15,6.032,0.000,"7,641",42.28%  (  +0.07%),57.84%,40.05%,"163,055",7,4,4,88
LVS,USA,44.11,2025-04-16,47.08,1.48,2.80,4.343,0.000,"3,406",38.65%  (  +2.44%),74.39%,42.88%,"341,724",5,4,5,80
THC,USA,123.62,2025-04-16,38.52,5.62,0.57,9.405,0.000,269,44.93%  (  -0.37%),55.98%,44.26%,"27,671",6,5,5,85
STLD,USA,123.44,2025-04-16,38.83,4.46,1.06,5.917,0.000,198,41.46%  (  +1.54%),69.77%,31.98%,"43,486",9,4,4,78
DFS,USA,165.22,2025-04-16,29.25,6.95,1.76,3.771,0.000,725,54.40%  (  +2.32%),90.87%,34.29%,"41,373",6,4,4,80
NDAQ,USA,73.62,2025-04-16,29.47,1.97,5.72,5.387,0.000,"3,560",28.53%  (  +1.78%),100.00%,23.30%,"39,105",8,4,4,77
KMI,USA,25.64,2025-04-16,35.19,0.77,3.78,2.685,0.000,"5,531",34.06%  (  +2.26%),100.00%,34.56%,"592,447",9,4,4,80
AA,USA,32.20,2025-04-16,37.81,1.52,0.68,4.278,0.000,"5,415",54.15%  (  +1.49%),69.21%,46.85%,"264,154",4,4,5,73
BKR,USA,42.02,2025-04-16,35.10,1.30,1.49,6.602,0.000,"2,542",34.90%  (  +0.04%),84.59%,31.17%,"132,496",9,5,5,88
