SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
PVH,USA,66.91,2025-03-31,38.22,2.77,0.42,10.959,12.940,50,37.18%,61.26%  (  +0.46%),89.01%,"12,268",4,4,4,80
LEVI,USA,16.06,2025-04-07,41.71,0.55,1.00,7.756,10.569,157,37.11%,48.28%  (  -0.34%),77.25%,"39,021",8,4,4,78
DAL,USA,47.26,2025-04-09,35.45,2.36,0.50,6.093,8.964,"7,211",51.61%,49.53%  (  +0.51%),60.38%,"728,514",6,5,5,85
WFC,USA,73.22,2025-04-11,49.07,2.04,1.89,4.088,6.861,"11,606",32.21%,32.86%  (  +0.47%),52.37%,"1,087,828",7,4,4,85
MS,USA,119.47,2025-04-15,43.63,4.02,1.86,3.448,6.707,"10,688",39.71%,32.88%  (  +0.13%),56.29%,"532,497",4,4,4,85
MTB,USA,182.17,2025-04-14,49.15,4.21,2.23,4.436,6.824,2,22.23%,32.20%  (  -0.35%),69.57%,"9,390",5,4,4,70
GS,USA,564.09,2025-04-21,44.15,18.24,1.39,3.705,7.172,"18,094",34.90%,31.96%  (  -0.11%),60.25%,"255,052",7,4,4,85
C,USA,72.64,2025-04-15,46.98,2.16,0.80,3.596,6.711,"33,265",33.87%,32.39%  (  -0.33%),53.46%,"1,676,728",5,5,5,80
PNC,USA,176.34,2025-04-15,41.60,3.86,2.06,3.861,5.720,243,23.01%,27.16%  (  +0.69%),57.92%,"40,598",8,4,4,80
IBKR,USA,171.36,2025-04-15,38.53,8.31,7.71,4.558,8.842,"1,670",56.79%,43.89%  (  +0.09%),59.64%,"50,173",8,5,5,90
CFG,USA,41.94,2025-04-16,44.66,1.17,1.47,4.379,6.533,54,26.19%,32.48%  (  -0.81%),45.47%,"60,538",4,4,4,80
FHN,USA,19.60,2025-04-16,47.81,0.57,2.02,5.189,7.622,36,34.76%,36.96%  (  +0.16%),66.82%,"35,501",4,4,4,70
PLD,USA,111.91,2025-04-16,42.99,2.70,12.97,4.365,5.513,67,25.22%,26.68%  (  +0.15%),32.15%,"55,384",4,4,4,74
SNV,USA,48.31,2025-04-16,47.36,1.54,1.99,3.398,7.370,32,34.47%,39.82%  (  +0.01%),64.72%,"10,598",7,4,4,75
REXR,USA,40.15,2025-04-16,49.93,1.03,9.81,3.774,5.832,6,23.10%,30.73%  (  +1.68%),48.72%,"7,740",7,4,4,76
HOMB,USA,28.70,2025-04-16,48.56,0.61,3.89,8.284,7.873,3,19.90%,40.98%  (  +1.12%),54.93%,606,7,4,4,80
AA,USA,32.66,2025-04-16,43.73,1.49,0.69,4.278,10.894,"2,210",48.02%,51.38%  (  +2.95%),56.52%,"228,894",4,4,5,73
CSX,USA,29.67,2025-04-16,38.15,0.58,3.87,3.550,5.140,115,22.30%,25.56%  (  +0.28%),38.21%,"135,435",10,4,4,65
EFX,USA,243.86,2025-04-16,48.80,6.10,5.36,5.463,6.826,795,24.06%,33.42%  (  +2.79%),54.90%,"5,118",7,5,5,70
FR,USA,54.82,2025-04-16,47.78,1.02,11.14,4.301,9.904,1,18.91%,35.60%  (  +5.15%),65.48%,178,6,4,4,85
DFS,USA,164.35,2025-04-16,42.31,7.06,1.74,3.771,13.204,954,48.34%,65.14%  (  +1.29%),97.45%,"39,322",5,4,4,85
LVS,USA,40.65,2025-04-16,35.29,1.32,2.58,4.343,6.790,795,28.02%,39.50%  (  -1.60%),78.19%,"244,721",7,4,5,80
ASML,USA,700.48,2025-04-16,43.86,20.74,9.02,6.032,8.821,"4,765",40.76%,42.07%  (  -0.19%),56.99%,"142,477",7,4,4,82
HBAN,USA,15.27,2025-04-18,46.81,0.39,1.88,3.546,9.132,174,25.77%,30.82%  (  -1.82%),55.71%,"70,364",6,4,4,80
RF,USA,22.21,2025-04-17,47.20,0.56,2.15,4.331,6.298,29,23.54%,30.25%  (  +0.10%),49.45%,"102,851",6,4,4,78
AXP,USA,274.73,2025-04-17,45.12,7.51,2.60,4.644,6.556,"3,784",30.56%,31.88%  (  +0.29%),66.85%,"221,991",5,4,4,85
STT,USA,92.15,2025-04-17,49.73,2.27,1.26,5.230,6.428,19,27.40%,31.35%  (  +0.39%),67.93%,"32,396",4,4,4,85
ALK,USA,53.22,2025-04-17,33.04,2.56,0.56,7.083,13.897,231,51.83%,49.84%  (  -0.03%),59.67%,"99,829",9,5,5,85
KNX,USA,44.80,2025-04-23,33.69,1.39,0.98,7.766,10.749,11,26.04%,34.61%  (  +0.24%),56.87%,"26,812",7,4,4,70
AUB,USA,31.92,2025-04-22,33.51,0.86,2.13,15.462,18.084,3,21.67%,71.43%  (  +21.84%),94.88%,558,7,4,4,75
UNP,USA,235.47,2025-04-24,42.28,4.11,5.82,3.214,5.880,166,18.86%,26.26%  (  +2.52%),91.16%,"98,914",9,4,4,88
ISRG,USA,512.12,2025-04-22,45.16,17.19,21.97,5.903,8.522,471,38.32%,37.50%  (  -0.64%),80.10%,"72,960",8,4,5,75
TSM,USA,170.93,2025-04-17,39.18,6.10,9.85,3.013,9.564,"30,634",41.50%,41.87%  (  -0.15%),37.00%,"1,626,065",10,5,5,85
GPC,USA,120.03,2025-04-17,46.65,2.88,0.71,6.353,8.987,166,25.88%,28.91%  (  +0.45%),57.43%,"17,498",9,4,5,68
PPG,USA,107.46,2025-04-17,35.32,2.81,1.40,3.979,6.848,283,26.78%,29.07%  (  +3.09%),86.66%,"37,310",9,4,4,80
WAL,USA,78.64,2025-04-17,45.64,2.88,1.73,6.749,12.499,29,37.93%,41.94%  (  +0.57%),49.39%,"29,091",5,5,5,75
BX,USA,145.47,2025-04-17,41.68,5.18,14.23,4.033,8.492,"2,070",36.99%,38.09%  (  +0.60%),55.48%,"292,817",6,4,4,88
INFY,USA,18.77,2025-04-17,39.19,0.37,4.08,4.935,8.136,29,19.73%,30.67%  (  -0.58%),62.80%,"72,504",7,4,4,88
CADE,USA,30.99,2025-04-21,45.69,0.85,1.92,10.654,10.873,5,25.61%,52.13%  (  +8.55%),76.43%,"1,499",9,4,4,80
FNB,USA,13.83,2025-04-16,44.91,0.34,1.93,4.130,11.267,2,25.27%,59.45%  (  -16.52%),51.20%,"4,340",6,5,5,87
ELS,USA,67.19,2025-04-28,47.79,1.30,8.74,5.467,0.000,70,19.01%,32.36%  (  +9.18%),79.51%,197,6,4,4,80
DGX,USA,167.14,2025-04-22,47.16,3.65,1.88,5.881,7.355,6,21.61%,23.26%  (  +0.52%),56.40%,"12,470",4,4,4,85
EWBC,USA,91.63,2025-04-22,49.76,2.55,2.85,7.216,10.143,1,28.25%,33.71%  (  +1.53%),62.59%,"2,479",7,5,5,85
SAP,USA,267.75,2025-04-22,45.28,6.65,8.45,11.932,9.583,56,32.87%,30.54%  (  -0.25%),60.63%,"24,603",9,5,5,90
COF,USA,179.09,2025-04-22,47.91,6.46,1.28,4.511,9.426,"1,883",42.23%,41.86%  (  +0.16%),74.16%,"183,827",10,4,4,70
OMC,USA,80.87,2025-04-15,45.76,1.98,1.01,3.757,5.558,4,24.29%,28.33%  (  -0.17%),69.16%,"8,991",10,4,4,88
LMT,USA,445.97,2025-04-22,43.66,12.21,1.48,3.733,6.254,"3,181",27.12%,27.99%  (  +0.71%),100.00%,"106,356",7,4,4,85
WFRD,Ireland,55.72,2025-04-22,45.43,2.40,0.74,9.903,14.952,38,57.58%,48.27%  (  +0.27%),53.87%,"3,531",9,5,4,70
UAL,USA,76.47,2025-04-15,39.67,4.62,0.44,6.531,12.993,"8,769",59.47%,63.66%  (  +3.27%),87.87%,"617,415",9,5,5,85
GEV,USA,313.61,2025-04-23,45.03,19.29,2.48,8.763,13.640,"6,251",64.38%,59.57%  (  -0.63%),67.91%,"141,317",6,5,5,80
IBM,USA,249.06,2025-04-23,49.17,6.65,3.68,6.193,8.835,"3,819",26.84%,39.11%  (  +0.17%),98.13%,"279,809",9,4,4,85
CMG,USA,51.20,2025-04-23,49.35,1.51,6.13,8.148,9.481,"8,058",32.31%,41.56%  (  -0.28%),63.06%,"936,504",6,5,5,85
WSC,USA,29.47,2025-05-01,40.24,1.25,2.26,8.934,0.000,75,50.78%,43.06%  (  +2.57%),41.67%,"141,772",8,4,4,65
VRT,USA,78.97,2025-04-23,37.64,6.70,3.75,10.541,17.714,"15,824",79.99%,78.07%  (  +3.62%),71.34%,"540,955",8,5,5,90
NOW,USA,838.51,2025-04-23,41.16,30.56,15.82,6.608,9.646,"1,319",41.99%,42.69%  (  +0.32%),85.67%,"90,276",7,5,5,88
LRCX,USA,75.63,2025-04-23,44.55,2.90,5.99,3.717,10.388,"4,351",45.92%,45.80%  (  +3.17%),54.89%,"514,166",7,5,5,82
TMO,USA,513.67,2025-04-23,40.11,10.77,4.52,4.079,6.081,416,17.61%,28.07%  (  -0.63%),83.04%,"41,823",8,5,5,79
STX,Ireland,88.78,2025-04-22,42.29,2.75,2.34,7.174,9.650,286,32.57%,42.88%  (  +0.05%),73.26%,"111,962",4,4,4,82
META,USA,613.38,2025-04-23,45.82,22.67,9.45,8.394,8.124,"133,405",36.75%,37.42%  (  +0.67%),42.91%,"2,030,303",10,5,5,84
HAS,USA,61.61,2025-04-23,49.86,1.58,2.08,9.114,9.970,31,43.26%,29.32%  (  +0.05%),27.62%,"38,669",9,5,5,68
MAT,USA,19.82,2025-04-22,43.83,0.50,1.19,8.642,10.083,2,22.81%,30.99%  (  -1.18%),32.99%,"11,412",9,4,4,80
RJF,USA,143.72,2025-04-23,43.31,3.88,1.92,6.159,9.105,8,27.95%,30.15%  (  +0.53%),65.33%,"11,382",6,4,4,80
PTC,USA,160.93,2025-05-07,44.78,3.62,8.37,6.793,0.000,9,20.51%,26.02%  (  +0.73%),38.08%,"8,252",7,4,5,75
NSC,USA,236.38,2025-04-23,46.52,4.81,4.42,4.122,5.839,36,20.91%,26.05%  (  +1.17%),53.60%,"16,609",9,4,4,80
AMGN,USA,305.70,2025-05-01,45.68,6.50,4.94,4.789,0.000,483,21.46%,25.11%  (  -1.28%),18.52%,"171,229",5,4,4,85
NLY,USA,21.31,2025-04-23,49.04,0.36,1.94,2.212,5.390,"1,808",19.39%,26.33%  (  -0.62%),31.99%,"124,884",8,5,5,80
SNY,USA,54.71,2025-04-24,40.50,1.03,3.01,6.438,8.844,49,22.22%,27.86%  (  +0.30%),45.84%,"35,273",4,4,4,80
BMY,USA,59.08,2025-04-24,48.23,1.45,2.48,4.518,7.189,"4,001",27.28%,31.91%  (  +0.15%),71.19%,"553,617",9,4,4,75
PG,USA,167.70,2025-04-24,47.62,3.14,4.66,2.955,4.710,"5,318",22.84%,19.92%  (  -0.60%),80.73%,"282,129",7,4,4,78
MRK,USA,87.54,2025-04-24,33.97,2.20,3.46,4.285,7.161,"4,541",24.90%,30.95%  (  +0.93%),85.21%,"638,548",8,4,4,75
VLY,USA,9.05,2025-04-24,46.32,0.27,1.42,10.783,11.025,26,26.56%,36.93%  (  +1.02%),22.01%,"17,486",10,4,4,75
SSNC,USA,83.49,2025-04-24,49.30,1.64,3.50,5.817,7.508,2,19.23%,22.73%  (  +0.03%),59.93%,"7,064",8,5,5,85
EBC,USA,16.86,2025-04-24,49.69,0.44,3.36,8.736,7.546,2,28.87%,40.09%  (  +6.55%),45.23%,"1,904",8,4,4,80
APD,USA,296.69,2025-04-29,43.70,5.94,5.48,6.562,0.000,30,21.42%,24.30%  (  -0.50%),38.21%,"20,396",6,4,4,60
KLAC,USA,704.67,2025-04-24,47.45,24.16,8.64,6.933,11.320,102,37.69%,39.20%  (  +0.17%),34.59%,"18,734",8,4,4,82
ASX,USA,9.43,2025-04-24,39.24,0.29,1.10,8.103,11.732,28,42.98%,45.99%  (  +7.83%),29.17%,"2,844",6,4,4,75
SGI,USA,57.53,2025-05-06,45.76,2.02,2.43,2.957,0.000,5,34.77%,35.22%  (  +0.19%),41.33%,"10,714",10,5,5,75
AAPL,USA,221.49,2025-05-01,44.69,5.65,8.41,3.991,0.000,"138,449",26.64%,25.15%  (  +0.31%),43.19%,"4,483,086",6,4,4,87
BAX,USA,33.55,2025-05-01,47.74,0.84,1.34,4.948,0.000,45,34.65%,29.72%  (  +0.84%),27.70%,"67,373",7,4,4,75
AAL,USA,11.32,2025-04-24,33.15,0.55,0.14,7.441,12.804,"40,056",49.32%,56.68%  (  +0.76%),83.77%,"2,834,992",6,4,4,70
RCL,Liberia,217.96,2025-04-24,44.96,10.15,3.56,5.936,9.772,"1,077",53.15%,43.07%  (  +3.09%),58.69%,"146,352",7,5,5,90
LKQ,USA,40.90,2025-04-24,48.43,0.95,0.74,6.940,9.479,67,26.65%,28.14%  (  +0.06%),43.54%,"27,622",9,5,5,72
EXLS,USA,47.33,2025-05-01,49.63,1.18,4.18,7.164,0.000,3,25.89%,30.28%  (  +0.64%),31.14%,"2,157",10,5,5,85
IPG,USA,26.51,2025-04-23,45.56,0.67,0.92,6.240,11.560,1,25.96%,32.20%  (  +3.52%),57.95%,"5,118",6,4,4,68
FTV,USA,75.32,2025-04-23,44.61,1.49,4.11,6.067,7.242,1,21.09%,23.19%  (  +0.57%),38.19%,"1,423",7,4,4,85
STM,USA,23.01,2025-04-24,39.20,0.88,1.54,9.184,13.525,142,53.55%,44.19%  (  -1.88%),64.50%,"156,602",5,4,4,62
FBIN,USA,62.72,2025-04-29,44.18,1.67,1.67,6.701,0.000,8,27.04%,31.91%  (  -3.45%),44.03%,"1,056",6,4,4,68
SM,USA,30.67,2025-05-01,44.02,1.31,1.30,8.246,0.000,41,50.57%,45.80%  (  -0.47%),51.34%,"22,506",9,4,4,85
CDP,USA,27.25,2025-04-24,49.71,0.55,8.16,11.572,14.390,10,17.26%,63.34%  (  +0.42%),82.04%,329,7,4,4,80
DXCM,USA,71.43,2025-04-24,36.92,2.75,6.92,10.100,9.007,588,45.14%,43.68%  (  +0.54%),32.32%,"115,711",9,5,5,80
DLR,USA,147.48,2025-05-01,40.49,4.88,8.94,4.447,0.000,322,34.37%,31.62%  (  +0.47%),59.52%,"61,467",10,4,5,92
WDC,USA,42.55,2025-04-24,39.34,1.77,0.95,5.834,11.046,"1,149",45.48%,48.20%  (  -0.89%),70.22%,"355,803",10,5,4,70
FSLR,USA,130.17,2025-05-07,41.21,6.68,3.31,7.950,0.000,"4,929",57.24%,55.64%  (  +1.56%),39.23%,"460,064",9,5,5,75
FE,USA,38.79,2025-04-24,45.33,0.83,1.66,4.037,5.581,125,39.05%,18.41%  (  -2.25%),30.72%,"70,151",6,4,4,75
KIM,USA,21.33,2025-05-01,49.91,0.48,7.04,6.164,0.000,86,23.41%,23.62%  (  +0.51%),28.69%,"7,526",8,4,4,70
PINS,USA,32.69,2025-04-29,45.85,1.48,6.08,13.897,0.000,"2,468",50.10%,41.30%  (  +4.28%),35.64%,"457,488",9,5,5,88
AMZN,USA,202.91,2025-04-29,47.22,6.05,3.37,7.251,0.000,"183,315",28.64%,30.15%  (  +0.39%),30.33%,"3,708,342",8,5,5,85
LYB,Netherlands,71.26,2025-04-25,40.10,1.80,0.57,5.177,8.286,158,28.09%,26.07%  (  -0.13%),71.66%,"68,428",8,4,4,68
GNTX,USA,24.26,2025-04-25,45.49,0.57,2.38,6.289,8.745,18,24.64%,28.42%  (  -0.36%),37.45%,"3,843",6,4,4,55
PSX,USA,125.48,2025-04-25,49.44,3.53,0.36,3.081,7.483,284,27.44%,29.37%  (  +1.75%),50.57%,"64,589",8,4,4,75
NVT,Ireland,55.09,2025-05-02,38.52,2.28,2.76,9.189,0.000,65,39.54%,44.10%  (  +2.18%),56.35%,"30,610",7,5,5,80
AVTR,USA,16.25,2025-04-25,40.84,0.62,1.63,8.377,13.223,30,43.82%,40.97%  (  +0.48%),46.38%,"34,744",8,5,5,72
ARES,USA,150.11,2025-05-01,41.44,6.33,11.23,6.110,0.000,32,46.35%,40.45%  (  +3.34%),66.85%,"20,068",4,4,4,80
ABBV,USA,202.23,2025-04-25,43.76,4.65,6.35,4.162,6.664,"4,315",19.38%,25.44%  (  +1.33%),64.89%,"370,268",10,5,4,85
NUE,USA,128.49,2025-04-28,47.30,4.47,0.96,5.085,0.000,"2,499",37.09%,35.56%  (  +2.30%),50.49%,"145,855",9,4,4,80
