SMBL,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,IvRank,Iv %ile,Scr,Rank,Rank+,Er #
GENI,8.68,2025-03-04,44.56,0.40,4.64,15.860,18.723,,,,7,5,5,75
ONON,48.48,2025-03-04,36.40,2.54,6.41,11.981,11.251,7301.0,74.82%,94%,10,5,5,80
TGT,124.24,2025-03-04,38.08,3.17,0.53,7.855,8.894,44586.0,81.51%,90%,6,4,4,80
BOX,32.7,2025-03-04,40.72,0.68,4.38,10.476,9.941,,,,7,4,4,78
ROST,140.32,2025-03-04,44.48,2.90,2.18,6.810,8.042,,,,8,4,4,88
CRDO,55.18,2025-03-04,37.17,6.86,37.58,20.231,27.844,5477.0,100.00%,100%,6,5,5,70
NFE,10.0,2025-03-06,26.76,0.71,1.12,13.551,15.247,4493.0,76.08%,94%,6,4,4,72
ANF,102.99,2025-03-05,34.31,5.16,1.08,14.122,13.718,11552.0,76.28%,87%,7,5,4,88
KGS,43.0,2025-03-05,43.87,1.78,3.49,8.292,9.514,,,,9,5,5,75
VEEV,224.14,2025-03-05,45.06,6.17,13.70,8.908,11.357,,,,9,4,4,80
MRVL,91.82,2025-03-05,37.11,5.95,14.78,9.806,12.008,74988.0,100.00%,100%,7,5,5,78
MDB,267.43,2025-03-05,45.80,12.68,10.39,13.645,14.152,12632.0,76.14%,89%,7,5,5,78
ZS,196.23,2025-03-05,45.10,7.10,13.10,11.028,12.967,14026.0,80.85%,91%,9,4,5,92
BTSG,19.28,2025-03-06,36.10,0.84,0.32,12.111,16.951,,,,6,5,5,80
BJ,101.26,2025-03-06,49.05,2.72,0.65,8.507,19.447,,,,7,4,4,79
AVGO,199.43,2025-03-06,37.06,10.33,18.13,7.306,15.514,379326.0,76.65%,98%,7,5,5,88
COO,90.38,2025-03-06,44.79,2.11,4.64,7.033,6.942,,,,9,4,5,82
HPE,19.81,2025-03-06,32.22,0.67,0.87,9.186,8.895,17849.0,68.46%,94%,8,4,4,85
IOT,47.68,2025-03-06,37.50,2.48,22.69,16.041,15.512,7723.0,60.50%,89%,6,4,4,80
GAP,22.61,2025-03-06,45.76,0.84,0.56,4.792,12.649,7426.0,61.20%,80%,7,4,4,85
VIK,48.1,2025-03-11,45.55,1.89,4.07,8.021,12.215,,,,5,4,4,75
CIEN,79.57,2025-03-11,41.44,4.05,2.83,10.907,13.636,,,,4,4,4,80
LEGN,35.01,2025-03-11,42.69,1.87,12.35,10.361,13.220,,,,7,5,5,70
FERG,177.5,2025-03-11,46.88,4.43,1.20,6.293,10.249,,,,,5,5,75
DKS,225.1,2025-03-11,43.73,7.10,1.37,9.679,10.860,,,,9,5,5,80
CRWD,389.66,2025-03-04,44.75,17.77,25.66,10.625,9.200,46910.0,54.67%,78%,4,5,5,82
S,20.63,2025-03-12,32.35,0.89,8.61,15.492,14.171,,,,8,4,4,75
ADBE,438.56,2025-03-12,42.87,9.79,8.88,7.681,9.489,25572.0,97.79%,98%,7,4,4,80
RBRK,65.12,2025-03-13,39.86,3.94,15.01,13.880,20.656,,,,6,5,5,75
ORCL,166.06,2025-03-10,44.74,6.51,8.46,8.426,10.293,50991.0,100.00%,100%,9,4,4,85
JBL,154.92,2025-03-21,38.50,4.09,0.62,9.320,12.144,,,,7,5,5,80
TME,12.19,2025-03-18,47.31,0.68,2.21,10.672,14.151,,,,7,5,4,88
STNE,9.25,2025-03-18,47.63,0.39,2.78,10.284,14.896,,,,6,4,4,85
QFIN,40.08,2025-03-11,45.95,2.01,2.65,12.433,12.101,,,,9,4,4,88
CNM,51.01,2025-03-18,38.24,1.39,1.41,11.130,8.626,,,,7,4,4,72
OLLI,103.51,2025-03-19,48.61,3.80,2.81,9.602,10.096,,,,6,4,4,85
MU,93.63,2025-03-20,46.59,4.95,3.59,11.304,13.729,133846.0,79.11%,95%,7,5,5,70
