SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
DAL,USA,37.29,2025-04-09,23.06,2.87,-30.07%,0.39,6.093,12.754,"59,095",57.84%,84.92%  (  -0.14%),99.75%,"817,392",6,5,4,85
STZ,USA,172.59,2025-04-09,37.64,5.39,-22.77%,3.06,3.710,9.432,"5,587",27.44%,54.41%  (  +1.80%),100.00%,"90,399",10,4,4,74
JPM,USA,214.44,2025-04-11,29.90,8.88,-7.20%,2.12,3.236,7.989,"95,740",40.87%,54.82%  (  -0.77%),98.05%,"724,191",8,4,4,90
WFC,USA,62.17,2025-04-11,29.20,2.93,-6.04%,1.61,4.088,9.083,"90,540",46.79%,61.66%  (  +2.48%),100.00%,"1,189,447",7,4,4,85
BK,USA,74.09,2025-04-11,27.98,2.72,-1.26%,1.34,4.484,8.954,"1,942",36.60%,55.29%  (  -0.27%),99.35%,"68,808",8,4,4,88
FAST,USA,72.16,2025-04-11,36.38,1.97,-1.51%,5.48,5.666,8.426,"1,489",31.07%,46.31%  (  +3.23%),100.00%,"45,660",8,4,4,75
MS,USA,100.92,2025-04-15,29.43,5.58,-13.30%,1.57,3.448,11.624,"42,428",52.26%,66.73%  (  +4.34%),100.00%,"604,200",5,4,4,85
GS,USA,465.51,2025-04-14,25.87,25.74,-14.47%,1.14,3.705,11.168,"31,017",47.91%,62.08%  (  +1.42%),100.00%,"273,355",4,4,4,85
PNC,USA,152.81,2025-04-15,23.71,5.86,-17.45%,1.78,3.861,8.770,"2,651",37.56%,49.95%  (  +0.42%),100.00%,"40,759",9,4,4,80
C,USA,58.85,2025-04-15,25.37,3.17,-13.45%,0.65,3.596,11.436,"135,110",52.72%,63.77%  (  +2.57%),100.00%,"1,804,128",6,5,4,80
ACI,USA,21.33,2025-04-15,48.80,0.60,7.92%,0.15,6.681,7.909,"7,922",34.62%,44.58%  (  -20.34%),33.90%,"125,719",10,4,4,80
