SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
GDS,USA,34.69,2025-03-19,49.48,3.40,4.30,20.463,14.820,486,122.62%,102.36%  (  -0.48%),70.11%,"73,173",7,5,4,80
SIG,Bermuda,48.37,2025-03-19,39.79,2.61,0.31,10.865,13.123,479,47.67%,77.52%  (  -3.45%),86.52%,"32,004",6,4,4,65
OLLI,USA,101.81,2025-03-19,47.00,3.93,2.77,9.602,10.051,108,38.33%,57.05%  (  -1.49%),87.49%,"18,772",7,5,5,85
DRI,USA,186.07,2025-03-20,43.10,5.09,1.88,5.508,6.623,303,30.01%,37.63%  (  -1.37%),78.43%,"27,843",4,4,4,78
JBL,USA,137.98,2025-03-20,37.35,4.76,0.55,9.320,8.715,217,33.45%,47.81%  (  -0.46%),76.47%,"36,699",6,5,5,80
ASO,USA,46.03,2025-03-20,38.63,2.10,0.53,9.822,9.622,300,37.67%,57.07%  (  -0.13%),89.84%,"25,055",6,5,5,60
FDX,USA,243.96,2025-03-20,38.27,6.10,0.67,8.815,8.679,"2,045",33.34%,46.46%  (  -0.41%),62.95%,"167,278",7,4,4,60
NKE,USA,73.03,2025-03-20,41.63,2.24,2.20,8.882,8.777,"18,765",35.99%,48.18%  (  -1.31%),90.05%,"1,253,317",7,4,4,55
ACN,Ireland,324.42,2025-03-20,27.92,8.07,3.06,6.067,7.017,"1,349",23.89%,39.18%  (  -1.68%),88.20%,"74,564",9,4,4,78
CCL,Panama,20.56,2025-03-21,37.82,1.09,1.06,8.400,8.830,"20,092",48.19%,57.11%  (  -2.05%),74.00%,"1,187,979",6,4,5,80
KBH,USA,59.93,2025-03-24,39.29,1.96,0.62,8.274,10.843,131,30.71%,45.48%  (  -2.40%),72.52%,"61,855",4,4,4,80
OKLO,USA,28.64,2025-03-24,43.98,4.14,-,10.810,20.286,"15,684",130.78%,124.35%  (  -3.81%),42.74%,"316,672",7,5,4,78
CNM,USA,48.00,2025-03-25,40.31,1.70,1.33,11.130,12.417,3,26.52%,53.47%  (  -0.18%),70.68%,"11,202",5,4,4,72
RUM,USA,8.02,2025-03-25,36.58,0.75,57.08,15.304,15.702,"1,927",68.53%,102.72%  (  +1.47%),53.81%,"194,786",5,4,4,65
