SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,IV,IvRank,Iv %ile,OI,Scr,Rank,Rank+,Er #
RF,USA,21.06,2025-04-18,24.32,0.63,2.04,4.331,0.000,503,34.76%  (  -1.38%),71.84%,22.10%,"103,985",8,4,4,78
FITB,USA,38.53,2025-04-18,25.65,1.12,1.85,4.115,0.000,,,,,,4,4,4,80
HBAN,USA,14.55,2025-04-18,27.17,0.46,1.79,3.546,0.000,"1,022",35.41%  (  -2.78%),79.52%,23.24%,"74,619",7,4,4,80
AXP,USA,260.75,2025-04-18,26.03,8.55,2.47,4.644,0.000,,,,,,8,4,4,85
ALLY,USA,33.90,2025-04-17,34.04,1.26,0.64,6.757,0.000,,,,,,9,4,4,70
KEY,USA,15.48,2025-04-17,32.28,0.57,1.86,4.626,0.000,"10,172",38.66%  (  +2.99%),63.18%,28.65%,"202,201",8,4,4,70
BX,USA,140.54,2025-04-17,28.22,5.73,13.75,4.033,0.000,"9,993",41.39%  (  -5.63%),68.32%,31.96%,"310,884",7,4,4,88
WAL,USA,75.80,2025-04-17,34.71,3.43,1.67,6.749,0.000,962,47.68%  (  -3.03%),73.30%,39.90%,"38,052",8,5,5,75
ALK,USA,53.34,2025-04-17,23.59,3.43,0.56,7.083,0.000,,,,,,9,5,5,85
DHR,USA,204.96,2025-04-22,39.76,5.47,6.14,4.766,0.000,"6,446",29.07%  (  -0.74%),80.67%,35.43%,"115,014",6,4,5,70
FCX,USA,36.78,2025-04-22,48.20,1.67,2.10,3.841,0.000,,,,,,4,4,4,78
KNX,USA,46.71,2025-04-23,30.25,1.67,1.02,7.766,0.000,145,39.32%  (  -1.77%),79.34%,24.65%,"26,623",6,4,4,70
BANC,USA,13.70,2025-04-22,35.65,0.52,1.22,9.683,0.000,"2,396",45.15%  (  -2.40%),60.25%,33.42%,"22,230",8,5,5,70
HOMB,USA,27.89,2025-04-17,34.05,0.70,3.78,8.284,0.000,,,,,,7,4,4,80
IRDM,USA,27.35,2025-04-17,34.21,1.18,3.58,11.000,0.000,"1,682",49.83%  (  +2.02%),38.46%,54.88%,"24,272",8,5,4,80
TSM,USA,177.17,2025-04-17,40.24,7.54,10.21,3.013,0.000,,,,,,10,5,5,85
PPG,USA,110.98,2025-04-17,40.24,3.05,1.45,3.979,0.000,,,,,,10,4,4,80
UNP,USA,237.49,2025-04-24,40.38,4.96,5.97,3.214,0.000,"3,656",22.50%  (  -3.35%),59.09%,19.06%,"103,070",9,4,4,88
GPC,USA,121.33,2025-04-17,46.88,3.23,0.72,6.353,0.000,118,29.94%  (  -0.98%),61.60%,23.28%,"15,943",8,4,5,62
INFY,USA,18.50,2025-04-17,19.15,0.43,4.02,4.935,0.000,,,,,,8,4,4,88
PNR,Ireland,85.54,2025-04-22,25.35,2.48,3.45,6.385,0.000,,,,,,5,4,4,79
ISRG,USA,497.30,2025-04-17,30.56,20.41,21.24,5.903,0.000,"4,121",37.85%  (  -3.31%),81.54%,34.97%,"80,824",8,5,5,78
HCA,USA,312.87,2025-04-25,45.48,11.38,1.09,8.224,0.000,548,34.97%  (  -2.19%),65.87%,36.26%,"50,367",7,4,4,80
SLB,,40.05,2025-04-18,45.63,1.28,1.50,3.361,0.000,"12,196",32.59%  (  -3.62%),53.16%,28.00%,"713,730",4,4,4,85
SCHW,USA,74.22,2025-04-21,39.70,2.38,5.32,4.958,0.000,"34,214",32.92%  (  -0.69%),58.02%,27.59%,"480,427",10,4,4,80
FNB,USA,13.26,2025-04-16,27.42,0.41,1.85,4.130,0.000,,,,,,8,5,5,87
GE,USA,195.00,2025-04-22,45.36,5.80,4.57,5.726,0.000,,,,,,9,5,5,85
PHM,USA,103.53,2025-04-22,42.37,3.34,1.17,5.017,0.000,,,,,,7,4,4,78
DGX,USA,166.42,2025-04-22,45.55,4.08,1.87,5.881,0.000,,,,,,5,4,4,88
EWBC,USA,85.43,2025-04-22,25.09,2.77,2.65,7.216,0.000,,,,,,7,5,5,80
PLD,USA,115.73,2025-04-16,39.10,2.77,13.41,4.365,0.000,976,28.51%  (  -2.76%),44.20%,18.44%,"55,844",6,4,4,82
IBKR,USA,171.14,2025-04-15,29.45,9.90,7.70,4.558,0.000,"2,906",49.42%  (  -5.19%),74.25%,56.17%,"59,800",8,5,5,88
UNH,USA,481.11,2025-04-15,43.39,14.83,1.10,4.588,0.000,,,,,,7,5,5,76
OMC,USA,80.01,2025-04-15,38.74,2.37,1.00,3.757,0.000,468,30.26%  (  -1.44%),86.43%,23.68%,"18,087",9,4,4,88
UAL,USA,72.46,2025-04-15,24.98,5.74,0.42,6.531,0.000,"48,041",62.32%  (  -5.77%),84.20%,51.70%,"781,728",10,5,5,85
FHN,USA,18.73,2025-04-16,35.05,0.73,1.95,5.189,0.000,,,,,,7,4,5,70
CSX,USA,29.55,2025-04-16,25.16,0.68,3.85,3.550,0.000,"2,001",25.59%  (  -2.93%),38.31%,19.89%,"123,841",7,4,4,65
NFLX,USA,919.68,2025-04-17,42.99,34.94,10.12,8.223,0.000,"94,608",38.88%  (  -2.59%),59.39%,36.63%,"531,845",8,4,4,85
T,USA,25.72,2025-04-23,48.45,0.72,1.51,4.502,0.000,"105,020",29.01%  (  -0.61%),95.96%,26.85%,"1,213,336",10,5,5,80
GEV,USA,298.68,2025-04-24,40.31,22.30,2.36,8.763,0.000,,,,,,7,5,5,85
IBM,USA,249.63,2025-04-23,47.88,7.24,3.69,6.193,0.000,"21,829",29.43%  (  -4.33%),57.59%,43.58%,"323,067",9,4,4,85
ROL,USA,50.56,2025-04-23,46.45,1.07,7.22,6.423,0.000,438,28.33%  (  +1.05%),62.64%,20.68%,"3,207",7,4,4,85
MTH,USA,72.16,2025-04-23,42.54,2.59,0.81,5.638,0.000,,,,,,5,4,4,75
RJF,USA,141.23,2025-04-23,31.71,4.32,1.88,6.159,0.000,950,34.37%  (  -2.55%),85.52%,24.92%,"11,810",8,4,4,80
ETR,USA,82.64,2025-04-23,48.31,2.24,2.99,2.705,0.000,"3,798",32.78%  (  +0.17%),100.00%,28.19%,"40,409",5,4,4,85
TMO,USA,512.65,2025-04-23,36.66,12.65,4.51,4.079,0.000,"1,892",28.81%  (  -0.11%),88.24%,28.77%,"49,372",9,5,5,79
WAB,USA,176.00,2025-04-23,35.11,5.21,2.89,5.413,0.000,,,,,,6,5,5,75
EQT,USA,48.95,2025-04-22,47.66,2.08,5.60,4.425,0.000,"6,015",40.31%  (  -4.01%),73.28%,42.32%,"320,471",10,4,4,90
HES,USA,144.03,2025-04-24,47.61,3.71,3.44,2.678,0.000,,,,,,9,4,4,0
BA,USA,158.80,2025-04-23,39.96,6.59,1.80,5.109,0.000,,,,,,8,4,4,50
BG,Switzerland,73.13,2025-04-23,47.62,2.28,0.18,6.216,0.000,,,,,,5,4,4,65
HAS,USA,61.86,2025-04-23,46.85,1.87,2.09,9.114,0.000,"1,396",31.26%  (  +2.16%),34.61%,43.73%,"37,212",10,5,5,75
META,USA,619.56,2025-04-23,39.19,24.90,9.54,8.394,0.000,"355,550",40.09%  (  -2.96%),52.30%,29.75%,"2,071,915",10,5,5,85
AR,USA,36.01,2025-04-23,45.99,1.61,2.59,5.087,0.000,"3,289",46.90%  (  -3.12%),79.09%,40.43%,"153,539",6,4,4,85
IRT,USA,20.58,2025-04-23,48.91,0.49,7.62,10.590,0.000,45,50.79%  (  +12.58%),70.20%,18.90%,725,8,5,5,85
BSX,USA,96.42,2025-04-23,37.78,2.73,8.50,5.753,0.000,"6,645",33.05%  (  -4.92%),78.86%,25.56%,"226,494",10,5,5,90
APH,USA,62.83,2025-04-23,39.77,2.29,5.00,7.267,0.000,"2,671",37.80%  (  -1.95%),77.55%,31.55%,"73,286",5,5,4,85
TEL,Ireland,143.18,2025-04-23,39.04,3.79,2.70,5.615,0.000,,,,,,10,4,4,75
LRCX,USA,76.59,2025-04-23,45.79,3.75,6.07,3.717,0.000,"18,919",52.35%  (  -1.36%),76.51%,48.36%,"540,903",6,4,5,82
EPRT,USA,30.81,2025-04-23,38.74,0.77,12.89,7.567,0.000,10,29.42%  (  -4.37%),34.26%,18.57%,948,7,4,4,80
SLM,USA,28.79,2025-04-23,43.85,1.12,2.00,8.187,0.000,24,40.91%  (  -2.70%),49.06%,32.27%,"47,440",9,5,5,78
SPOT,Luxembourg,535.84,2025-04-22,42.92,29.94,6.35,10.172,0.000,"10,052",51.39%  (  -3.23%),75.00%,59.55%,"120,899",10,4,4,78
NOW,USA,843.14,2025-04-23,34.62,37.09,15.81,6.608,0.000,"8,920",41.64%  (  -3.10%),81.38%,49.67%,"99,559",9,5,5,88
NSC,USA,230.96,2025-04-23,32.34,5.89,4.31,4.122,0.000,460,31.16%  (  +0.16%),83.08%,21.45%,"19,146",10,4,4,80
VRT,USA,85.38,2025-04-23,39.18,7.94,4.06,10.541,0.000,"37,089",76.81%  (  -3.43%),68.63%,78.28%,"608,132",6,5,5,90
FTI,UK,26.38,2025-04-24,36.95,1.11,1.22,8.373,0.000,242,40.16%  (  -2.29%),57.90%,37.69%,"20,165",7,5,4,88
PG,USA,168.37,2025-04-24,44.56,3.60,4.68,2.955,0.000,"34,174",19.73%  (  +0.16%),79.16%,21.54%,"346,475",6,4,4,80
VLO,USA,125.18,2025-04-24,41.79,4.88,0.30,3.264,0.000,"3,669",39.10%  (  -2.18%),73.20%,38.65%,"149,921",9,5,5,60
FTAI,Cayman Islands,103.24,2025-04-24,41.38,10.55,6.06,10.248,0.000,,,,,,6,5,5,68
VALE,USA,9.27,2025-04-23,43.79,0.27,1.04,8.423,0.000,"16,878",39.82%  (  +9.68%),52.72%,32.29%,"1,647,663",9,4,5,80
ROKU,USA,70.96,2025-04-24,36.49,5.21,2.52,15.252,0.000,"11,427",61.98%  (  +1.04%),51.49%,67.31%,"251,691",8,4,4,80
FTV,USA,73.88,2025-04-23,28.52,1.60,4.03,6.067,0.000,87,27.46%  (  -1.84%),51.04%,17.89%,"2,849",6,4,4,85
SPGI,USA,478.26,2025-04-24,27.92,11.13,10.36,4.047,0.000,,,,,,7,5,5,85
CARR,USA,65.43,2025-04-24,48.59,2.04,2.36,7.384,0.000,,,,,,10,4,5,78
RCL,Liberia,207.36,2025-04-24,30.46,11.28,3.39,5.936,0.000,,,,,,8,5,5,85
CDP,USA,26.92,2025-04-24,39.86,0.64,8.06,11.572,0.000,1,64.29%  (  -5.42%),87.95%,19.61%,567,7,4,4,80
KLAC,USA,680.39,2025-04-24,41.77,28.35,8.34,6.933,0.000,515,44.92%  (  -3.79%),54.20%,36.33%,"24,542",7,4,4,82
DOC,USA,20.20,2025-04-24,49.83,0.45,5.34,5.683,0.000,,,,,,6,5,5,80
WDC,USA,42.96,2025-04-24,37.48,2.25,0.96,5.834,0.000,"13,837",53.42%  (  +8.05%),81.42%,48.30%,"379,327",8,5,4,70
COF,USA,170.45,2025-04-24,33.27,7.00,1.22,4.511,0.000,,,,,,10,4,4,68
TAL,USA,13.01,2025-04-24,49.77,0.71,2.88,10.000,0.000,697,60.52%  (  -6.39%),22.76%,48.39%,"69,282",7,5,4,75
EBC,USA,15.68,2025-04-24,29.10,0.53,3.13,8.736,0.000,,,,,,7,4,4,75
SSNC,USA,81.53,2025-04-24,36.13,1.91,3.42,5.817,0.000,9,25.88%  (  -1.52%),73.44%,25.03%,"5,904",6,5,5,80
ORI,USA,36.49,2025-04-24,46.16,0.70,1.10,5.017,0.000,,,,,,7,4,4,80
ASX,USA,9.72,2025-04-24,42.78,0.38,1.14,8.103,0.000,,,,,,8,4,4,75
CUZ,USA,28.91,2025-04-24,42.12,0.81,5.66,8.159,0.000,,,,,,8,4,4,85
FE,USA,38.21,2025-04-24,40.25,0.96,1.64,4.037,0.000,646,24.01%  (  +0.09%),63.23%,37.23%,"61,532",7,4,4,70
STM,USA,24.59,2025-04-24,47.28,1.03,1.65,9.184,0.000,"1,199",47.30%  (  -0.37%),76.71%,58.06%,"179,569",4,4,4,60
KDP,USA,32.81,2025-04-24,49.26,0.88,2.90,5.342,0.000,"5,101",22.78%  (  +0.31%),52.56%,25.97%,"82,178",7,4,4,78
TMUS,USA,255.61,2025-04-24,48.52,7.04,3.59,3.845,0.000,,,,,,5,5,4,0
HON,USA,206.35,2025-04-24,39.77,4.46,3.48,3.551,0.000,,,,,,4,4,4,75
DXCM,USA,70.76,2025-04-24,24.72,3.05,6.86,10.100,0.000,"4,746",41.92%  (  -9.05%),28.88%,40.70%,"133,947",8,5,5,80
AAL,USA,10.93,2025-04-24,17.15,0.71,0.13,7.441,0.000,"495,909",56.74%  (  +0.75%),83.99%,42.58%,"3,029,208",10,4,4,70
CMCSA,USA,35.19,2025-04-24,44.50,0.92,1.08,5.072,0.000,"17,507",34.87%  (  +4.02%),91.29%,41.63%,"561,675",8,4,4,80
TBBB,Virgin Islands (British),25.21,2025-03-17,38.41,1.12,0.94,8.984,7.736,33,53.18%  (  -2.34%),19.12%,39.30%,510,7,4,4,80
AOS,USA,65.64,2025-04-24,43.04,1.70,2.47,6.476,0.000,120,28.85%  (  -0.83%),70.02%,22.33%,"12,543",5,4,4,70
NEM,USA,43.63,2025-04-24,49.85,1.40,2.64,4.950,0.000,"24,686",38.32%  (  -0.72%),63.33%,37.24%,"960,564",4,4,4,65
XEL,USA,68.85,2025-04-24,49.99,1.41,2.94,4.741,0.000,,,,,,9,4,4,68
MBLY,USA,15.10,2025-04-24,42.98,1.10,7.41,14.445,0.000,,,,,,5,4,4,70
CL,USA,90.82,2025-04-25,49.57,2.50,3.67,3.250,0.000,"12,839",28.12%  (  +7.01%),89.01%,29.56%,"85,851",7,4,4,85
GNTX,USA,24.42,2025-04-25,42.19,0.66,2.40,6.289,0.000,170,30.63%  (  -7.31%),45.27%,34.50%,"7,235",4,4,4,55
WY,USA,29.27,2025-04-24,42.46,0.74,2.98,5.267,0.000,,,,,,9,5,5,70
XOM,USA,109.13,2025-04-25,49.48,2.70,1.39,2.212,0.000,"48,152",28.55%  (  +2.11%),95.74%,25.84%,"977,088",5,4,5,80
CVX,USA,152.67,2025-04-25,45.73,3.57,1.39,2.334,0.000,,,,,,8,5,5,82
LYB,Netherlands,72.19,2025-04-25,37.35,2.07,0.58,5.177,0.000,,,,,,8,4,4,60
PSX,USA,123.98,2025-04-25,48.99,4.05,0.35,3.081,0.000,,,,,,9,4,4,75
AVTR,USA,15.79,2025-04-25,33.69,0.79,1.58,8.377,0.000,565,44.42%  (  +2.12%),53.59%,55.06%,"41,650",8,5,5,72
GM,USA,47.90,2025-04-22,48.75,2.02,0.25,5.704,0.000,"31,219",40.34%  (  -1.93%),70.93%,36.31%,"723,379",5,4,4,80
GOOGL,USA,167.11,2025-04-24,36.42,5.25,5.85,6.498,0.000,"287,408",33.15%  (  -3.49%),66.16%,34.67%,"2,956,359",9,4,4,85
EDU,USA,47.23,2025-04-23,42.30,2.06,1.60,11.190,0.000,,,,,,5,4,4,70
TRU,USA,83.32,2025-04-24,34.83,3.28,3.89,9.198,0.000,351,41.06%  (  -2.50%),71.22%,39.46%,"11,573",8,4,4,82
MTDR,USA,48.28,2025-04-22,37.38,2.15,1.74,7.482,0.000,,,,,,10,5,5,85
SHW,USA,349.83,2025-04-22,44.12,8.34,3.81,6.201,0.000,433,27.01%  (  -3.78%),72.80%,20.76%,"18,339",7,4,4,78
MSFT,USA,383.27,2025-04-24,35.63,9.66,10.88,4.911,0.000,,,,,,9,5,5,85
WM,USA,222.86,2025-04-23,44.35,3.94,4.06,4.143,0.000,837,19.50%  (  -0.98%),49.00%,22.64%,"36,662",6,4,4,88
CNC,USA,58.45,2025-04-25,46.73,2.16,0.18,5.655,0.000,,,,,,10,4,4,80
UPS,USA,115.26,2025-04-22,41.34,2.56,1.08,6.095,0.000,"21,456",26.11%  (  -0.68%),38.03%,47.53%,"418,755",7,4,4,80
WFRD,Ireland,53.72,2025-04-22,32.10,2.99,0.71,9.903,0.000,66,55.88%  (  -2.28%),78.66%,54.15%,"4,146",9,5,4,70
HAL,USA,24.71,2025-04-22,39.91,0.82,0.93,3.893,0.000,"7,317",36.54%  (  -5.65%),70.54%,31.49%,"410,286",7,4,5,75
WBS,USA,49.69,2025-04-22,31.00,1.86,2.04,6.526,0.000,143,40.24%  (  -4.08%),71.35%,32.57%,"4,868",5,5,5,80
TER,USA,86.74,2025-04-23,25.29,5.76,4.98,10.612,0.000,"21,486",48.71%  (  -4.64%),71.14%,64.29%,"71,913",9,4,5,75
PEP,USA,148.17,2025-04-22,43.77,3.90,2.21,3.154,0.000,"25,951",23.51%  (  +0.19%),87.05%,25.49%,"318,279",4,4,4,70
FI,USA,211.33,2025-04-22,34.53,5.57,5.80,4.678,0.000,"2,691",30.12%  (  -2.32%),81.23%,31.28%,"52,402",9,5,5,85
GOOG,USA,169.00,2025-04-24,36.59,5.25,5.85,6.490,0.000,"183,279",33.06%  (  -3.26%),67.10%,33.92%,"1,388,056",7,5,5,85
V,USA,332.84,2025-04-22,36.87,6.94,17.67,3.366,0.000,"18,809",24.73%  (  -2.38%),71.65%,18.89%,"287,568",7,5,5,92
CMG,USA,50.05,2025-04-23,33.14,1.81,6.00,8.148,0.000,"36,992",37.72%  (  -2.30%),52.88%,29.17%,"1,099,125",6,5,5,85
FBP,Puerto Rico,17.56,2025-04-22,26.53,0.53,2.34,8.708,0.000,35,48.10%  (  +6.48%),65.83%,27.51%,452,7,4,4,80
SYF,USA,53.61,2025-04-23,29.86,2.39,1.00,6.952,0.000,998,44.57%  (  -5.66%),77.74%,33.90%,"90,004",10,4,5,75
ONB,USA,20.62,2025-04-22,29.80,0.71,2.22,7.597,0.000,,,,,,10,5,5,80
HLT,USA,228.40,2025-04-23,23.20,7.17,4.92,5.352,0.000,,,,,,4,4,4,85
IP,USA,50.63,2025-04-24,37.13,1.74,1.43,4.634,0.000,657,36.58%  (  -4.92%),60.14%,35.76%,"89,045",10,4,4,75
BALL,USA,51.27,2025-04-25,45.10,1.37,1.23,6.609,0.000,239,30.65%  (  -2.54%),75.84%,31.30%,"30,963",5,4,4,65
TEAM,USA,226.44,2025-04-24,29.40,13.87,12.37,11.706,0.000,"5,002",54.09%  (  -2.89%),61.16%,66.02%,"82,802",8,4,4,75
12:25:58 AM,,,,,,,,,,,,,,,,,
