SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,IV,IvRank,Iv %ile,OI,Scr,Rank,Rank+,Er #
RBRK,USA,57.11,2025-03-13,37.54,4.47,13.17,13.880,22.495,,,,,,7,5,5,75
TXT,USA,72.72,2025-04-24,44.84,1.85,0.96,5.781,0.000,935,30.34%  (  -1.45%),91.02%,24.34%,"14,612",4,4,4,68
TME,USA,12.23,2025-03-18,46.03,0.66,2.22,10.672,11.243,,,,,,7,5,4,88
STNE,Cayman Islands,9.13,2025-03-18,45.55,0.40,2.75,10.284,10.828,,,,,,5,4,4,85
OLLI,USA,102.35,2025-03-19,47.66,4.13,2.78,9.602,10.699,"2,600",58.11%  (  -0.69%),90.64%,37.81%,"15,508",6,5,5,85
SIG,Bermuda,48.42,2025-03-19,37.18,2.73,0.31,10.865,14.150,636,75.21%  (  -8.88%),82.12%,46.44%,"30,517",6,4,4,65
JBL,USA,134.10,2025-03-20,26.57,4.82,0.53,9.320,9.694,655,50.48%  (  -2.82%),84.19%,29.79%,"36,886",8,5,5,80
ASO,USA,44.87,2025-03-20,30.78,2.16,0.51,9.822,10.741,"3,153",59.60%  (  -1.03%),97.06%,37.93%,"22,835",7,5,5,60
FDX,USA,243.51,2025-03-20,35.94,6.60,0.67,8.815,9.294,"8,766",48.95%  (  +0.03%),68.39%,33.82%,"173,646",8,4,4,60
NKE,USA,73.58,2025-03-20,40.99,2.24,2.22,8.882,9.718,"51,675",50.78%  (  -0.58%),98.19%,37.16%,"1,245,901",7,4,4,55
ACN,Ireland,324.33,2025-03-20,20.54,8.24,3.06,6.067,7.415,"3,627",40.69%  (  -0.49%),97.92%,23.65%,"75,488",9,4,4,78
CCL,Panama,19.50,2025-03-21,27.10,1.14,1.01,8.400,10.487,,,,,,6,4,5,75
MNSO,USA,20.96,2025-03-21,48.99,1.02,2.65,13.083,11.450,814,65.03%  (  -2.63%),54.79%,58.81%,"19,055",9,5,4,80
KBH,USA,61.41,2025-03-24,42.43,2.04,0.63,8.274,11.929,,,,,,4,4,4,80
OKLO,USA,26.19,2025-03-24,38.10,4.47,-,10.810,25.241,"31,944",145.49%  (  +7.96%),59.28%,131.85%,"338,034",7,5,4,78
CNM,USA,47.53,2025-03-18,33.22,1.74,1.31,11.130,13.360,,,,,,6,4,4,72
CHWY,USA,33.26,2025-03-26,41.24,1.92,1.19,13.550,15.142,"10,892",73.01%  (  -0.25%),39.05%,47.10%,"253,005",9,5,5,75
DLTR,USA,61.92,2025-03-26,28.77,3.20,0.43,11.142,16.312,"15,505",77.52%  (  +0.61%),81.10%,38.52%,"351,634",4,4,4,62
RUM,USA,8.21,2025-03-26,35.07,0.81,58.39,15.304,16.448,,,,,,7,4,4,65
JEF,USA,54.92,2025-03-26,23.46,2.51,1.07,6.434,11.598,,,,,,8,5,4,0
LULU,USA,316.49,2025-03-20,22.42,13.43,3.94,9.874,6.675,"11,034",62.73%  (  -4.01%),90.49%,31.44%,"169,551",9,4,5,88
SMPL,USA,35.05,2025-04-03,36.72,1.02,2.60,9.306,9.677,,,,,,7,5,4,75
LW,USA,51.31,2025-04-03,34.85,1.83,1.16,10.078,15.299,538,59.95%  (  +1.87%),77.96%,30.83%,"106,844",6,4,4,50
LEVI,USA,16.36,2025-04-02,36.82,0.64,1.02,7.756,12.684,161,49.70%  (  -2.95%),81.68%,36.05%,"37,820",7,4,4,78
DAL,USA,45.30,2025-04-09,20.22,2.92,0.47,6.093,13.234,"73,730",59.48%  (  -1.59%),87.50%,45.62%,"940,541",4,5,5,80
JPM,USA,227.90,2025-04-11,22.79,7.00,2.25,3.236,7.777,"92,687",34.71%  (  -1.89%),86.02%,26.16%,"747,933",5,4,5,88
BK,USA,80.76,2025-04-11,35.62,2.22,1.46,4.484,7.743,,,,,,5,4,4,85
MS,USA,114.00,2025-04-15,29.92,4.38,1.77,3.448,0.000,,,,,,6,4,4,85
WFC,USA,68.93,2025-04-11,33.27,2.48,1.79,4.088,9.865,"48,176",40.43%  (  -3.40%),81.33%,30.23%,"1,139,274",6,4,4,80
STT,USA,85.76,2025-04-11,22.93,2.69,1.17,5.230,8.687,"2,179",31.87%  (  -5.87%),70.55%,25.25%,"33,058",5,4,4,85
GS,USA,535.71,2025-04-21,27.81,20.25,1.32,3.705,0.000,"22,589",36.69%  (  -3.63%),80.33%,31.53%,"254,840",4,4,4,82
MTB,USA,172.07,2025-04-21,24.92,4.78,2.11,4.436,0.000,243,34.53%  (  -2.70%),83.33%,20.85%,"9,816",6,4,4,75
BAC,USA,39.91,2025-04-15,26.85,1.29,1.53,3.660,0.000,,,,,,6,5,5,80
PNC,USA,171.01,2025-04-15,25.17,4.81,2.00,3.861,0.000,"1,445",29.46%  (  -3.64%),74.19%,22.60%,"47,875",8,4,4,80
C,USA,67.95,2025-04-15,27.41,2.60,0.75,3.596,0.000,,,,,,5,5,5,85
CFG,USA,40.47,2025-04-16,29.06,1.45,1.42,4.379,0.000,"3,606",38.37%  (  -3.62%),75.61%,26.33%,"68,426",4,4,4,80
USB,USA,41.68,2025-04-16,25.68,1.24,1.54,3.938,0.000,"8,747",31.58%  (  -4.03%),49.39%,23.54%,"224,216",5,4,5,82
AA,USA,33.25,2025-04-16,45.90,1.59,0.70,4.278,0.000,"29,730",54.62%  (  -1.83%),71.33%,48.03%,"258,366",4,4,4,73
LVS,USA,42.79,2025-04-16,40.73,1.54,2.71,4.343,0.000,,,,,,5,4,5,80
STLD,USA,123.53,2025-04-22,42.24,4.75,1.06,5.917,0.000,"2,995",41.62%  (  -2.79%),70.55%,33.31%,"47,476",10,4,5,78
ABT,USA,130.28,2025-04-16,44.86,2.92,5.39,3.897,0.000,"8,006",26.53%  (  +0.25%),80.57%,21.70%,"177,929",7,5,5,85
KMI,USA,26.52,2025-04-16,45.56,0.74,3.91,2.685,0.000,"13,070",32.17%  (  -11.24%),64.13%,20.86%,"589,362",8,4,4,80
REXR,USA,39.15,2025-04-16,40.44,1.05,9.57,3.774,0.000,37,36.20%  (  +0.91%),66.84%,22.39%,"7,659",8,4,4,75
DFS,USA,163.66,2025-04-16,33.43,7.37,1.74,3.771,0.000,,,,,,7,4,4,80
NDAQ,USA,72.98,2025-04-24,30.26,1.99,5.67,5.387,0.000,,,,,,8,4,4,77
SNV,USA,44.79,2025-04-16,25.18,1.80,1.84,3.398,0.000,36,41.87%  (  -4.50%),67.12%,32.57%,"11,307",8,4,4,75
LBRT,USA,14.42,2025-04-16,24.74,0.78,0.54,5.345,0.000,228,50.64%  (  -6.38%),83.16%,43.17%,"31,872",6,4,4,72
BKR,USA,42.48,2025-04-22,42.38,1.40,1.51,6.602,0.000,"1,021",35.51%  (  -0.94%),81.47%,32.36%,"136,151",9,5,5,88
ASML,USA,703.37,2025-04-16,45.53,25.30,9.06,6.032,0.000,,,,,,7,4,4,82
EFX,USA,239.38,2025-04-16,39.97,7.25,5.23,5.463,0.000,132,38.02%  (  -1.70%),80.97%,34.79%,"5,720",4,5,5,70
