SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
ANF,USA,65.61,2025-11-25,34.65,2.71,-21.34%,0.61,13.447,12.563,"45,163",37.50%,74.10%  (-0.29%),62.40%,"109,989",7,4,4,80,Apparel Retail,
BABA,USA,160.73,2025-11-25,47.88,6.35,19.57%,2.60,5.974,7.038,"362,706",37.84%,46.39%  (-1.62%),33.88%,"2,571,156",8,5,5,82,Internet Retail,
BBY,USA,75.62,2025-11-25,43.28,2.34,2.96%,0.38,8.290,7.861,"30,116",22.86%,48.92%  (-1.82%),48.24%,"109,579",9,4,4,80,Specialty Retail,
DKS,USA,206.31,2025-11-25,38.15,7.05,-0.77%,1.34,8.791,8.615,"16,950",22.96%,52.59%  (-3.54%),49.06%,"44,444",10,4,4,90,Specialty Retail,
SJM,USA,104.27,2025-11-25,45.04,2.57,-4.05%,1.28,6.292,6.979,"1,877",21.59%,32.01%  (-1.41%),55.43%,"20,410",7,4,4,60,Packaged Foods,
CLSK,USA,11.48,2025-11-25,38.03,1.44,3.69%,5.41,6.432,12.453,"106,241",107.13%,104.60%  (-3.73%),44.58%,"1,141,387",8,5,5,90,Capital Markets,
ARWR,USA,44.26,2025-11-25,65.50,2.51,100.88%,10.68,11.411,20.570,"2,025",58.06%,78.07%  (-14.95%),47.05%,"24,504",10,4,5,75,Biotechnology,
ZS,USA,280.35,2025-11-25,34.13,10.91,5.98%,16.60,9.358,8.873,"10,326",33.14%,56.29%  (-4.45%),63.32%,"99,440",8,5,5,85,Software - Infrastructure,
ADSK,USA,289.85,2025-11-25,37.92,6.13,-0.98%,9.38,6.232,6.457,"3,846",21.04%,38.15%  (-2.01%),52.51%,"49,411",10,5,4,85,Software - Application,
DELL,USA,127.22,2025-11-25,38.21,6.96,6.22%,0.84,8.396,9.269,"54,510",43.51%,58.33%  (-3.36%),50.40%,"594,545",9,4,4,85,Computer Hardware,
WDAY,USA,226.64,2025-11-25,47.20,6.81,-5.28%,6.78,8.876,7.418,"7,314",30.57%,46.89%  (-4.40%),67.43%,"79,742",8,4,4,85,Software - Application,
URBN,USA,62.22,2025-11-25,44.40,2.39,-3.42%,0.96,10.577,11.878,"8,656",32.15%,61.88%  (-2.00%),66.50%,"28,726",8,4,4,90,Apparel Retail,
GGAL,USA,46.80,2025-11-25,46.16,2.97,-6.52%,0.63,0.000,0.000,"2,117",107.93%,57.47%  (-7.41%),17.75%,"134,665",4,4,4,60,Banks - Regional,
DE,USA,487.23,2025-11-26,63.18,10.20,0.59%,2.96,4.905,5.179,"5,511",17.29%,32.70%  (-3.37%),39.58%,"53,410",9,4,4,68,Farm & Heavy Construction Machinery,"AGCO, 0.84(6M)"
AVAV,USA,276.99,2025-12-09,28.62,17.20,21.34%,12.74,13.430,10.350,"2,049",49.04%,80.93%  (-4.19%),83.23%,"32,850",8,5,5,80,Aerospace & Defense,
JBL,USA,197.15,2025-12-11,40.97,8.33,5.70%,0.71,9.479,11.387,520,39.38%,50.79%  (-3.42%),60.62%,"35,915",9,5,5,75,Electronic Components,
ABVX,USA,125.71,2025-12-15,73.32,6.26,197.96%,-,0.000,0.000,"3,709",53.80%,122.79%  (-7.35%),80.27%,"24,120",10,5,5,0,Biotechnology,
ORCL,USA,200.28,2025-12-15,26.19,12.43,-4.95%,9.67,9.252,12.503,"299,980",46.60%,66.11%  (-4.88%),89.98%,"1,711,448",5,4,4,85,Software - Infrastructure,"MSFT, 0.86(6M)"
BIRK,Jersey,40.72,2025-12-18,47.95,1.23,-15.63%,3.39,9.431,11.255,971,26.52%,53.94%  (+0.11%),58.42%,"42,296",4,5,5,88,Footwear & Accessories,
NKE,USA,61.93,2025-12-18,40.66,1.80,-9.26%,1.97,9.144,10.226,"47,222",27.52%,47.68%  (-0.75%),64.03%,"1,402,042",5,4,4,65,Footwear & Accessories,"UA, 0.88(6M)"
CCL,Panama,24.76,2025-12-19,36.58,1.14,-3.36%,1.22,5.296,11.231,"84,124",48.35%,53.10%  (+2.33%),39.29%,"1,199,549",7,5,5,92,Travel Services,"NCLH, 0.95(12M)
RCL, 0.94(12M)"
UEC,USA,12.09,2025-12-23,46.41,1.08,41.51%,86.97,2.708,12.457,"14,425",88.07%,88.38%  (+1.29%),63.89%,"355,775",5,5,5,80,Uranium,
SMPL,USA,0,2026-01-01,,,,,9.524,0.000,"2,198",61.81%,50.51%  (-2.37%),64.23%,"12,760",5,4,4,65,,
07:09:07 PM,,,,,,,,,,,,,,,,,,,,
