SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
DRI,USA,187.88,2025-03-20,45.49,4.83,1.90,5.508,6.287,526,29.61%,36.07%  (  -0.74%),72.70%,"30,430",4,5,5,78
JBL,USA,137.61,2025-03-20,38.60,4.62,0.55,9.320,8.318,842,33.80%,45.71%  (  -0.23%),70.42%,"37,941",7,5,5,80
ASO,USA,47.54,2025-03-20,44.90,1.99,0.55,9.822,8.973,491,38.93%,55.61%  (  +0.15%),85.66%,"26,351",6,5,5,60
FDX,USA,247.30,2025-03-20,42.78,5.80,0.68,8.815,8.888,"2,106",27.18%,46.31%  (  -0.09%),62.61%,"175,281",7,4,4,60
NKE,USA,73.11,2025-03-20,42.29,2.11,2.20,8.882,8.234,"22,221",36.45%,46.55%  (  -0.63%),84.93%,"1,293,561",7,4,4,55
ACN,Ireland,324.11,2025-03-20,28.67,7.60,3.05,6.067,6.397,"1,501",23.42%,37.72%  (  -1.28%),82.39%,"80,043",10,5,4,78
CCL,Panama,20.76,2025-03-21,41.26,1.08,1.08,8.400,8.646,"10,296",51.81%,57.41%  (  -0.27%),74.87%,"1,226,834",5,4,5,85
KBH,USA,60.96,2025-03-24,43.33,1.83,0.63,8.274,10.185,110,29.37%,44.59%  (  -1.39%),68.94%,"62,008",4,4,4,80
OKLO,USA,26.48,2025-03-24,41.21,3.81,-,10.810,18.895,"5,815",126.77%,120.69%  (  -3.95%),39.87%,"331,399",8,5,4,78
CNM,USA,48.46,2025-03-25,43.37,1.60,1.34,11.130,11.996,2,26.59%,53.76%  (  -0.04%),71.48%,"11,174",6,4,4,72
RUM,USA,7.87,2025-03-25,36.90,0.70,55.97,15.304,14.611,142,68.26%,101.09%  (  +0.61%),52.80%,"198,382",6,4,4,65
CHWY,USA,32.13,2025-03-26,39.27,1.75,1.15,13.550,12.691,"5,734",47.78%,69.56%  (  +0.20%),35.08%,"254,509",9,5,5,75
DLTR,USA,65.22,2025-03-26,40.50,2.91,0.45,11.142,14.444,"2,843",42.20%,73.97%  (  -0.36%),75.97%,"357,564",6,4,4,62
JEF,USA,58.85,2025-03-26,39.51,2.28,1.15,6.434,9.793,105,37.45%,43.78%  (  -0.19%),76.16%,"34,188",5,5,4,
LULU,USA,325.53,2025-03-27,35.92,12.64,4.06,9.874,10.839,"1,800",34.33%,59.65%  (  -0.30%),83.17%,"174,692",9,4,5,88
LW,USA,52.90,2025-04-03,46.53,1.96,1.19,10.078,14.442,300,38.85%,64.70%  (  -0.41%),87.74%,"115,433",4,4,4,50
LEVI,USA,16.01,2025-04-02,39.65,0.61,1.00,7.756,11.675,75,37.65%,51.36%  (  +0.02%),86.86%,"38,360",6,4,4,78
STZ,USA,178.63,2025-04-09,47.83,5.18,3.17,3.710,8.964,544,28.18%,42.49%  (  +0.39%),92.40%,"87,815",9,4,4,70
DAL,USA,47.08,2025-04-09,31.34,2.66,0.49,6.093,10.402,"13,891",49.32%,50.74%  (  -2.49%),63.68%,"902,000",6,5,5,80
PGR,USA,272.70,2025-04-11,49.37,7.08,2.12,2.611,6.412,"3,792",24.81%,28.13%  (  +0.66%),57.31%,"43,701",8,5,5,82
JPM,USA,237.30,2025-04-11,38.53,6.30,2.35,3.236,6.398,"20,611",28.62%,29.75%  (  -1.50%),63.16%,"790,858",8,4,5,88
WFC,USA,71.83,2025-04-11,44.65,2.17,1.87,4.088,8.156,"11,380",31.71%,35.99%  (  -0.97%),64.35%,"1,195,785",7,4,4,80
BK,USA,83.36,2025-04-11,47.12,2.04,1.51,4.484,6.691,342,23.90%,30.69%  (  -0.60%),71.66%,"78,228",6,4,4,85
MTB,USA,174.95,2025-04-14,34.35,4.34,2.15,4.436,7.561,6,21.48%,33.54%  (  -0.08%),77.48%,"10,075",4,4,4,70
GS,USA,551.35,2025-04-21,37.90,18.16,1.36,3.705,0.000,"6,892",33.73%,36.02%  (  -1.12%),77.51%,"266,780",5,4,4,82
BAC,USA,41.63,2025-04-15,41.28,1.16,1.59,3.660,7.125,"24,755",30.11%,31.62%  (  -0.75%),75.04%,"2,760,788",8,5,5,80
PNC,USA,173.63,2025-04-15,34.49,4.31,2.03,3.861,6.503,153,23.99%,28.85%  (  -1.81%),69.90%,"47,696",8,4,4,80
C,USA,70.61,2025-04-15,39.73,2.26,0.78,3.596,7.882,"19,564",34.09%,34.52%  (  -1.35%),62.87%,"1,822,701",6,5,5,85
FHN,USA,18.98,2025-04-16,40.36,0.62,1.95,5.189,8.709,25,34.69%,38.45%  (  -1.27%),72.37%,"34,736",6,4,5,70
CFG,USA,40.99,2025-04-16,36.17,1.25,1.44,4.379,8.906,39,25.94%,38.10%  (  -0.10%),74.22%,"72,330",5,4,4,80
THC,USA,125.21,2025-04-29,45.26,5.26,0.58,9.405,0.000,23,46.36%,43.50%  (  +0.25%),51.41%,"30,128",5,5,5,85
ABT,USA,126.73,2025-04-16,39.41,2.86,5.24,3.897,6.019,"1,476",22.92%,25.87%  (  +0.29%),76.33%,"188,200",6,5,5,85
LBRT,USA,14.51,2025-04-16,29.94,0.68,0.55,5.345,11.286,20,37.12%,50.87%  (  -22.48%),67.62%,"30,400",7,4,4,72
DFS,USA,160.83,2025-04-16,38.33,7.97,1.71,3.771,13.244,580,47.30%,63.49%  (  +1.47%),93.93%,"49,911",8,4,4,85
SNV,USA,46.79,2025-04-16,38.98,1.59,1.92,3.398,8.658,15,33.13%,38.97%  (  -0.26%),56.65%,"10,652",8,4,4,75
EFX,USA,238.28,2025-04-16,42.23,6.55,5.20,5.463,7.634,33,34.22%,34.54%  (  -0.63%),61.26%,"6,057",6,5,5,70
NDAQ,USA,75.98,2025-04-24,45.30,1.82,5.91,5.387,0.000,198,25.45%,24.63%  (  -0.35%),48.63%,"42,054",9,4,4,85
LVS,USA,43.88,2025-04-16,47.64,1.40,2.78,4.343,8.472,588,29.08%,37.81%  (  -0.35%),70.61%,"363,150",6,4,5,80
FR,USA,54.94,2025-04-16,45.69,1.08,11.16,4.301,9.438,12,19.15%,41.70%  (  +1.96%),80.46%,550,6,4,4,85
HOMB,USA,28.40,2025-04-16,42.12,0.61,3.85,8.284,8.803,5,21.53%,38.82%  (  -11.33%),51.26%,"1,247",7,4,4,80
FITB,USA,39.02,2025-04-17,36.24,1.02,1.88,4.115,7.169,43,23.20%,31.58%  (  -0.87%),65.87%,"84,732",5,4,4,80
KEY,USA,15.91,2025-04-17,42.58,0.50,1.92,4.626,8.652,311,28.42%,35.46%  (  -1.55%),50.27%,"207,583",7,4,4,70
