SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
TCOM,USA,65.51,2025-05-19,66.44,1.91,8.60%,5.78,11.323,10.686,"10,715",44.52%,43.00%  (  +0.52%),37.83%,"98,272",6,5,5,85,Travel Services,
HTHT,USA,37.31,2025-05-20,59.41,1.30,9.31%,3.47,8.423,11.660,"1,015",47.47%,42.56%  (  +2.28%),42.46%,"10,929",10,5,4,75,Lodging,
GDS,USA,26.44,2025-05-20,52.13,1.94,14.64%,3.24,17.511,20.992,"3,157",97.82%,85.00%  (  -2.32%),42.93%,"37,365",8,5,4,78,Information Technology Services,
PONY,USA,16.17,2025-05-20,62.25,2.14,27.25%,57.97,0.000,21.639,"9,554",235.62%,163.25%  (  -3.07%),0.00%,"68,486",7,4,4,55,Information Technology Services,
NBIS,Netherlands,35.79,2025-05-16,73.46,2.30,1.65%,72.48,8.357,16.939,"45,885",101.75%,98.86%  (  +5.38%),34.93%,"439,849",10,5,4,70,Software - Infrastructure,
AS,Cayman Islands,30.85,2025-05-20,71.93,1.45,34.92%,3.31,14.044,15.479,601,82.90%,61.03%  (  +4.90%),58.87%,"12,248",10,5,4,70,Leisure,
BILI,USA,17.74,2025-05-20,48.61,0.77,-4.74%,1.57,10.763,11.463,"10,221",63.53%,69.29%  (  +1.08%),24.75%,"379,746",7,5,5,80,Internet Content & Information,
HD,USA,378.63,2025-05-20,62.83,8.38,-2.05%,2.36,4.271,4.602,"23,212",31.27%,28.55%  (  +0.40%),36.82%,"247,308",9,4,5,72,Home Improvement Retail,"LOW, 0.91(6M)"
PANW,USA,192.90,2025-05-20,63.73,5.62,6.38%,14.90,9.089,8.476,"23,940",52.89%,44.08%  (  +0.57%),53.06%,"582,211",7,5,5,80,Software - Infrastructure,
TOL,USA,106.38,2025-05-20,56.83,3.55,-18.47%,0.98,5.992,7.366,"1,587",49.44%,40.31%  (  -1.54%),40.15%,"51,336",8,4,4,72,Residential Construction,
MDT,Ireland,86.11,2025-05-21,55.05,1.77,-1.12%,3.33,3.863,4.283,"10,986",29.40%,24.62%  (  -1.24%),40.14%,"238,933",9,4,4,88,Medical Devices,
TJX,USA,133.04,2025-05-21,67.12,2.52,10.50%,2.64,4.390,4.474,"18,192",24.56%,24.38%  (  -1.41%),38.08%,"188,372",8,5,5,85,Apparel Retail,
BIDU,USA,89.18,2025-05-21,50.82,3.12,0.05%,1.35,6.253,7.059,"31,844",48.23%,43.40%  (  -2.92%),36.30%,"482,510",6,4,4,80,Internet Content & Information,
LOW,USA,232.45,2025-05-21,58.13,5.90,-6.84%,1.55,4.057,4.847,"8,810",35.33%,28.95%  (  -0.29%),31.62%,"118,582",5,4,4,80,Home Improvement Retail,"HD, 0.91(6M)"
ZM,USA,83.85,2025-05-21,75.45,1.83,11.42%,5.48,9.418,8.825,"6,133",38.59%,42.22%  (  -1.30%),46.48%,"267,645",8,4,4,75,Software - Application,
URBN,USA,61.74,2025-05-21,72.55,2.53,31.90%,1.03,10.364,10.074,"5,321",88.64%,54.84%  (  -1.74%),53.47%,"25,614",7,4,4,88,Apparel Retail,
SNOW,USA,182.97,2025-05-21,74.44,6.30,24.66%,16.83,11.778,11.272,"30,694",61.71%,57.12%  (  -4.38%),48.62%,"552,925",4,5,5,75,Software - Application,
WSM,USA,171.67,2025-05-28,62.71,7.05,4.54%,2.74,10.793,13.372,709,75.77%,52.85%  (  +1.36%),48.77%,"40,121",6,4,4,85,Specialty Retail,
BJ,USA,111.39,2025-05-22,44.56,3.28,15.51%,0.72,8.700,9.578,"8,217",32.54%,37.58%  (  -1.03%),69.76%,"60,403",5,4,4,82,Discount Stores,
RL,USA,269.10,2025-05-22,75.07,9.77,24.33%,2.39,8.856,10.290,"3,263",76.23%,41.15%  (  +1.18%),31.09%,"21,333",9,5,5,90,Apparel Manufacturing,
ROST,USA,151.89,2025-05-22,73.58,3.45,5.48%,2.36,6.860,6.255,"3,925",31.19%,31.60%  (  -0.71%),56.13%,"51,390",7,4,4,72,Apparel Retail,
INTU,USA,661.31,2025-05-22,65.21,15.80,6.28%,10.77,5.693,5.825,"2,025",42.01%,33.29%  (  -0.66%),42.65%,"96,777",10,5,5,90,Software - Application,
DECK,USA,126.94,2025-05-22,61.22,5.46,-19.72%,3.91,5.583,10.748,"5,802",72.84%,59.61%  (  +2.11%),53.69%,"146,054",5,4,4,88,Footwear & Accessories,
ADSK,USA,295.78,2025-05-22,69.41,6.93,6.03%,10.35,5.815,6.167,"1,366",40.16%,33.28%  (  -0.31%),37.71%,"44,361",10,5,5,75,Software - Application,
WDAY,USA,274.71,2025-05-22,75.64,6.83,10.17%,8.74,8.742,8.071,"2,039",43.88%,41.89%  (  +0.05%),52.92%,"71,386",6,4,4,90,Software - Application,
DLTR,USA,86.58,2025-06-04,63.32,3.05,15.90%,0.66,12.298,8.415,"69,228",60.83%,54.25%  (  -2.28%),46.06%,"379,748",9,4,4,65,Discount Stores,
BAH,USA,127.67,2025-05-23,73.18,3.52,-7.51%,1.37,7.476,10.770,"1,063",23.57%,43.38%  (  +0.24%),59.26%,"29,115",8,4,4,85,Consulting Services,
PDD,USA,117.84,2025-05-28,64.75,4.76,3.10%,3.00,8.949,9.424,"47,018",52.49%,49.33%  (  -1.97%),41.99%,"1,412,748",4,4,4,79,Internet Retail,
OKTA,USA,124.39,2025-05-27,72.15,4.29,38.72%,8.34,12.035,12.555,"7,418",55.26%,59.47%  (  -0.01%),62.90%,"186,825",5,4,4,75,Software - Infrastructure,
