SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
LEVI,USA,16.38,2025-04-07,48.73,0.57,1.02,7.756,10.226,822,38.14%,50.18%  (  -0.47%),83.17%,"39,645",7,4,4,78
DAL,USA,42.42,2025-04-09,27.46,2.48,0.44,6.093,9.865,"96,002",52.22%,57.63%  (  +2.28%),82.43%,"768,373",5,5,5,85
MS,USA,115.74,2025-04-15,39.58,4.07,1.80,3.448,7.338,"34,382",40.01%,39.04%  (  +1.16%),80.38%,"576,920",5,4,4,85
BK,USA,83.77,2025-04-11,48.35,1.95,1.51,4.484,5.761,"4,619",23.98%,33.01%  (  +0.29%),81.52%,"63,074",8,4,4,88
WFC,USA,71.31,2025-04-11,43.78,2.09,1.84,4.088,6.502,"29,518",32.69%,36.40%  (  -0.21%),65.92%,"1,121,496",7,4,4,85
JPM,USA,243.66,2025-04-11,46.29,6.29,2.41,3.236,5.169,"51,220",29.23%,30.12%  (  +0.36%),64.88%,"694,946",8,4,5,90
GS,USA,548.45,2025-04-21,40.31,18.59,1.35,3.705,7.763,"16,367",34.70%,36.41%  (  +0.66%),79.15%,"253,133",5,4,4,85
MTB,USA,176.37,2025-04-14,41.67,4.50,2.16,4.436,6.771,69,23.79%,34.69%  (  -0.52%),84.23%,"9,505",7,4,4,70
JNJ,USA,153.25,2025-04-15,33.87,3.20,4.16,2.659,3.857,"119,375",27.70%,21.30%  (  +1.43%),79.14%,"432,062",8,4,4,78
PNC,USA,174.64,2025-04-15,41.88,4.03,2.04,3.861,5.865,"1,916",24.11%,29.52%  (  -0.53%),74.68%,"40,334",7,4,4,80
BAC,USA,41.49,2025-04-15,41.78,1.08,1.59,3.660,6.620,"116,066",31.14%,33.78%  (  +0.99%),87.26%,"2,479,023",7,5,5,80
C,USA,70.54,2025-04-15,41.61,2.19,0.78,3.596,7.146,"64,933",32.76%,36.96%  (  +0.29%),73.66%,"1,719,573",6,5,5,80
UAL,USA,68.20,2025-04-15,31.54,4.73,0.39,6.531,13.671,"29,533",59.70%,69.93%  (  +0.46%),100.00%,"628,334",8,5,5,85
IBKR,USA,173.08,2025-04-15,42.90,8.46,7.79,4.558,8.650,"1,875",58.58%,47.23%  (  -1.78%),68.46%,"54,701",8,5,5,90
PLD,USA,111.45,2025-04-16,42.81,2.62,12.91,4.365,5.451,"1,222",25.02%,28.66%  (  +0.66%),45.16%,"57,927",4,4,4,74
