SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
NBIS,Netherlands,0,2025-04-25,,,,,8.357,10.954,"36,426",117.91%,93.19%  (  -2.40%),20.47%,"348,491",10,4,4,70
CMCSA,USA,0,2025-04-24,,,,,5.072,5.491,"22,056",36.63%,34.62%  (  -3.22%),58.59%,"602,188",9,4,4,77
SNY,USA,0,2025-04-24,,,,,6.438,7.750,"1,190",29.33%,34.89%  (  -2.68%),56.65%,"25,453",5,4,4,82
MBLY,USA,0,2025-04-24,,,,,14.445,11.222,"6,150",84.89%,85.06%  (  +9.64%),65.21%,"348,136",5,4,4,65
NDAQ,USA,0,2025-04-24,,,,,5.387,7.246,856,44.29%,32.72%  (  -3.07%),45.89%,"27,666",7,4,4,85
LHX,USA,0,2025-04-24,,,,,5.541,6.552,852,28.71%,30.50%  (  -2.33%),51.79%,"14,353",7,4,5,82
WST,USA,0,2025-04-24,,,,,9.882,13.244,"1,947",43.90%,60.46%  (  +2.97%),82.48%,"8,593",4,5,4,65
UNP,USA,0,2025-04-24,,,,,3.214,3.498,"1,680",34.93%,29.50%  (  -1.54%),47.47%,"122,395",7,4,4,88
PG,USA,0,2025-04-24,,,,,2.955,3.640,"11,917",28.11%,27.74%  (  +0.89%),66.86%,"280,346",7,4,4,78
HAS,USA,0,2025-04-24,,,,,9.114,10.982,"2,714",56.98%,55.83%  (  +1.79%),69.28%,"51,169",9,4,4,68
AAL,USA,0,2025-04-24,,,,,7.441,7.713,"168,882",92.06%,64.28%  (  -1.21%),48.19%,"3,108,350",7,4,4,70
STM,USA,0,2025-04-24,,,,,9.184,11.938,"4,516",88.82%,56.51%  (  -3.78%),46.38%,"150,403",4,4,4,55
VLO,USA,0,2025-04-24,,,,,3.264,4.105,"4,265",66.64%,41.38%  (  -2.47%),34.15%,"118,082",8,5,5,60
NOK,USA,0,2025-04-24,,,,,8.179,6.964,"6,041",37.34%,43.45%  (  +4.20%),15.34%,"166,664",10,5,5,85
PEP,USA,0,2025-04-24,,,,,3.154,3.174,"12,764",25.64%,27.30%  (  +1.83%),53.48%,"275,205",4,4,4,78
FI,USA,0,2025-04-24,,,,,4.678,5.950,"6,490",42.25%,36.84%  (  -1.62%),52.85%,"44,682",8,5,5,85
MRK,USA,0,2025-04-24,,,,,4.285,5.273,"22,543",34.05%,39.38%  (  -2.02%),63.27%,"605,240",9,4,4,75
DOV,USA,0,2025-04-24,,,,,5.617,7.670,"2,899",49.56%,34.63%  (  -3.29%),47.49%,"8,090",9,4,4,82
DAR,USA,0,2025-04-24,,,,,10.527,12.033,970,52.30%,55.99%  (  -0.05%),52.40%,"55,328",7,5,5,75
KDP,USA,0,2025-04-24,,,,,5.342,5.672,629,23.28%,25.61%  (  -1.28%),52.23%,"75,808",10,4,5,80
FCX,USA,0,2025-04-24,,,,,3.841,4.786,"48,494",83.60%,50.37%  (  -2.00%),42.40%,"1,308,379",4,4,4,78
GOOG,USA,0,2025-04-24,,,,,6.490,6.007,"99,198",45.04%,43.10%  (  -1.03%),61.39%,"1,274,262",4,5,5,85
DLR,USA,0,2025-04-24,,,,,4.447,4.410,"1,326",40.41%,38.82%  (  +0.29%),50.43%,"50,408",9,4,5,80
SSNC,USA,0,2025-04-24,,,,,5.817,8.486,"1,906",41.01%,37.60%  (  +1.83%),73.56%,"7,761",6,5,5,88
GOOGL,USA,0,2025-04-24,,,,,6.498,6.039,"185,353",44.72%,43.00%  (  -2.21%),60.69%,"3,037,250",6,4,4,88
GILD,USA,0,2025-04-24,,,,,4.169,4.620,"2,671",26.56%,35.80%  (  +1.47%),55.75%,"221,203",6,5,5,75
SKX,USA,0,2025-04-24,,,,,10.335,13.192,"2,307",70.93%,61.70%  (  -2.53%),66.66%,"41,669",8,5,5,78
TMUS,USA,0,2025-04-24,,,,,3.845,4.938,"5,471",31.96%,35.50%  (  -0.86%),69.40%,"193,790",5,4,4,88
CARR,USA,0,2025-04-24,,,,,7.384,8.876,"3,926",46.19%,42.55%  (  -0.18%),49.94%,"73,402",6,4,4,78
SLB,,0,2025-04-25,,,,,3.361,4.595,"7,664",65.78%,43.37%  (  +1.31%),52.43%,"709,567",6,5,4,85
ABBV,USA,0,2025-04-25,,,,,4.162,4.770,"8,327",35.57%,35.12%  (  -2.13%),53.74%,"376,375",9,4,5,75
PSX,USA,0,2025-04-25,,,,,3.081,3.900,"1,358",65.45%,44.07%  (  -1.72%),46.39%,"191,886",8,4,4,70
RITM,USA,0,2025-04-25,,,,,5.628,8.675,"1,515",42.94%,37.07%  (  +2.29%),71.84%,"102,119",6,5,5,80
CL,USA,0,2025-04-25,,,,,3.250,3.807,"1,986",28.13%,26.03%  (  +1.31%),53.86%,"90,138",9,4,4,85
HCA,USA,0,2025-04-25,,,,,8.224,9.557,777,31.54%,45.12%  (  -1.66%),82.98%,"38,831",9,4,4,80
NXPI,Netherlands,0,2025-04-28,,,,,6.447,8.599,"1,008",84.15%,54.06%  (  -0.65%),50.79%,"41,066",7,5,5,60
NUE,USA,0,2025-04-28,,,,,5.085,7.329,"4,391",60.65%,49.07%  (  -2.41%),56.60%,"119,828",9,4,4,78
WM,USA,0,2025-04-28,,,,,4.143,5.261,553,23.65%,25.71%  (  +1.11%),65.50%,"32,877",8,4,4,88
RMBS,USA,0,2025-04-28,,,,,12.896,13.960,"1,165",89.89%,66.96%  (  -2.16%),54.48%,"13,988",6,5,5,85
TER,USA,0,2025-04-28,,,,,10.612,12.440,700,77.07%,59.90%  (  -3.33%),58.19%,"98,015",9,4,4,75
CDNS,USA,0,2025-04-28,,,,,8.015,9.584,"1,704",55.21%,45.33%  (  -2.94%),50.02%,"41,395",9,5,5,75
ARCC,USA,0,2025-04-29,,,,,3.512,5.889,"7,588",44.89%,28.69%  (  +0.18%),49.13%,"135,533",10,5,5,79
SPGI,USA,0,2025-04-29,,,,,4.047,5.821,825,41.74%,32.01%  (  -2.51%),52.35%,"30,010",7,5,5,85
PYPL,USA,0,2025-04-29,,,,,8.805,9.527,"45,421",53.87%,49.39%  (  -2.96%),50.86%,"1,238,776",4,4,4,85
RCL,Liberia,0,2025-04-29,,,,,5.936,8.705,"3,496",75.64%,53.07%  (  -2.83%),50.17%,"160,998",6,5,5,90
AZN,USA,0,2025-04-29,,,,,4.852,5.282,"4,000",33.45%,32.85%  (  -1.21%),54.18%,"138,710",9,5,4,80
SPOT,Luxembourg,0,2025-04-29,,,,,10.172,11.718,"4,666",62.31%,64.33%  (  -1.88%),65.83%,"109,277",10,4,4,88
PFE,USA,0,2025-04-29,,,,,4.412,5.086,"169,338",29.61%,35.00%  (  +0.45%),49.51%,"3,218,740",9,4,4,85
GM,USA,0,2025-04-29,,,,,5.704,6.976,"23,369",45.41%,43.72%  (  -2.94%),51.08%,"793,498",4,4,4,78
AMT,USA,0,2025-04-29,,,,,5.885,6.221,848,32.57%,30.05%  (  +0.64%),47.65%,"52,190",8,5,5,76
GLW,USA,0,2025-04-29,,,,,5.648,7.178,"3,658",53.80%,41.78%  (  -2.59%),59.50%,"271,071",8,5,5,85
HON,USA,0,2025-04-29,,,,,3.551,5.212,"3,191",41.80%,30.67%  (  -2.20%),46.38%,"180,123",4,4,4,80
EPD,USA,0,2025-04-29,,,,,2.366,4.074,"15,135",34.09%,24.57%  (  -0.97%),52.20%,"246,235",9,5,5,80
KO,USA,0,2025-04-29,,,,,2.437,3.662,"37,056",23.72%,23.86%  (  -0.02%),65.90%,"763,449",8,5,5,80
CZR,USA,0,2025-04-29,,,,,6.864,9.580,"7,269",74.80%,58.77%  (  -0.31%),47.14%,"231,511",7,5,5,65
FSLR,USA,0,2025-04-29,,,,,7.950,10.725,"21,408",61.53%,66.58%  (  -7.86%),60.41%,"499,793",10,5,5,72
OKE,USA,0,2025-04-29,,,,,9.090,7.947,"1,006",58.99%,38.79%  (  -2.40%),45.05%,"101,249",7,4,4,85
CSGP,USA,0,2025-04-29,,,,,8.909,10.145,"1,266",43.60%,46.25%  (  +1.60%),72.50%,"77,712",10,4,4,90
MDLZ,USA,0,2025-04-29,,,,,3.438,4.666,"2,624",26.19%,26.10%  (  -2.11%),55.74%,"116,312",9,5,4,80
BXP,USA,0,2025-04-29,,,,,6.830,8.337,552,46.32%,39.47%  (  -1.35%),42.22%,"32,524",7,4,4,65
FLS,USA,0,2025-04-29,,,,,6.314,10.716,"1,616",67.15%,52.34%  (  +3.45%),60.82%,"7,336",6,5,5,85
STAG,USA,0,2025-04-29,,,,,5.863,8.091,853,41.47%,29.01%  (  -2.97%),36.63%,"2,658",7,4,4,75
SBUX,USA,0,2025-04-29,,,,,6.520,8.425,"17,433",56.69%,47.74%  (  -1.39%),59.92%,"570,164",8,4,4,60
EXE,USA,0,2025-04-29,,,,,4.089,6.687,692,41.75%,31.98%  (  -1.93%),50.85%,"201,197",10,5,5,70
BBIO,USA,0,2025-04-29,,,,,8.150,12.542,"5,275",54.63%,61.32%  (  -0.31%),18.92%,"87,168",9,5,5,0
V,USA,0,2025-04-29,,,,,3.366,5.350,"14,938",40.06%,32.18%  (  -1.00%),52.67%,"305,983",9,5,5,85
ST,UK,0,2025-05-05,,,,,8.637,11.823,573,88.21%,56.52%  (  +1.47%),58.69%,"12,213",8,4,4,70
UPS,USA,0,2025-04-29,,,,,6.095,8.000,"11,604",45.08%,46.50%  (  -0.07%),57.23%,"352,597",6,4,4,78
NCLH,Bermuda,0,2025-04-30,,,,,8.334,11.304,"23,207",84.98%,68.40%  (  +1.68%),51.95%,"481,067",10,4,4,78
WGS,USA,0,2025-04-30,,,,,24.432,20.940,"2,578",79.99%,111.41%  (  -11.28%),47.73%,"15,646",6,4,4,75
IP,USA,0,2025-04-30,,,,,4.634,7.084,"1,317",55.04%,43.66%  (  +0.96%),49.22%,"69,543",9,4,4,75
SMG,USA,0,2025-04-30,,,,,10.265,13.515,"2,840",56.47%,62.62%  (  -0.05%),64.19%,"36,391",4,5,4,65
GTES,UK,0,2025-04-30,,,,,7.436,10.387,"2,022",69.60%,50.14%  (  -8.30%),50.55%,"23,026",6,5,5,78
PPL,USA,0,2025-04-30,,,,,3.567,4.287,"2,702",24.66%,21.25%  (  +0.42%),43.83%,"46,396",8,5,5,70
GEHC,USA,0,2025-04-30,,,,,6.499,7.890,"9,576",70.56%,45.33%  (  -3.15%),51.37%,"110,449",8,5,5,70
WDC,USA,0,2025-04-30,,,,,5.834,9.932,"6,975",85.51%,61.22%  (  -3.26%),60.71%,"328,987",10,5,5,68
HUM,USA,0,2025-04-30,,,,,6.711,13.876,"2,976",52.10%,69.58%  (  -3.59%),64.22%,"151,259",6,4,4,68
PSN,USA,0,2025-04-30,,,,,7.832,11.681,654,36.03%,52.20%  (  -4.39%),68.74%,"18,975",7,5,5,85
YUMC,USA,0,2025-04-30,,,,,9.275,9.778,"1,178",53.65%,44.63%  (  -1.23%),42.78%,"51,474",7,5,5,90
AER,Netherlands,0,2025-04-30,,,,,6.045,7.258,588,48.07%,34.47%  (  -1.37%),46.22%,"19,842",8,5,5,80
MSFT,USA,0,2025-04-30,,,,,4.911,5.665,"143,288",39.09%,33.82%  (  -1.78%),51.55%,"1,922,278",9,5,5,84
QCOM,USA,0,2025-04-30,,,,,7.159,8.054,"10,958",64.65%,46.75%  (  -4.48%),46.84%,"508,290",9,4,4,85
GH,USA,0,2025-04-30,,,,,12.709,16.563,"1,045",62.26%,75.59%  (  -9.74%),51.30%,"35,391",9,5,5,75
AR,USA,0,2025-04-30,,,,,5.087,8.267,"2,840",73.74%,53.34%  (  -5.61%),46.76%,"200,196",8,4,4,80
SFM,USA,0,2025-04-30,,,,,10.223,12.461,"1,123",36.39%,57.61%  (  -1.74%),72.78%,"19,867",10,4,4,80
HOOD,USA,0,2025-04-30,,,,,12.871,14.257,"247,001",107.64%,85.64%  (  -3.81%),57.24%,"1,913,326",8,4,4,85
CFLT,USA,0,2025-04-30,,,,,19.345,20.155,"30,574",73.85%,92.99%  (  -3.26%),74.63%,"200,346",4,4,4,78
CCI,USA,0,2025-04-30,,,,,3.383,6.716,"1,017",41.19%,31.07%  (  +0.34%),42.26%,"87,944",8,4,4,60
MET,USA,0,2025-04-30,,,,,3.572,7.371,"1,316",56.15%,35.56%  (  +0.48%),49.30%,"174,444",9,5,5,80
NLY,USA,0,2025-04-30,,,,,2.212,4.788,"6,693",39.96%,25.22%  (  -3.82%),29.02%,"140,961",8,5,5,65
CWAN,USA,0,2025-04-30,,,,,10.501,12.909,"7,679",48.90%,57.52%  (  -5.42%),79.32%,"12,272",8,5,5,85
MGM,USA,0,2025-04-30,,,,,6.554,9.461,"6,295",65.63%,53.68%  (  +2.77%),54.71%,"209,749",8,5,5,75
VICI,USA,0,2025-04-30,,,,,4.331,4.608,"2,692",28.89%,24.46%  (  +1.15%),37.71%,"61,712",8,5,5,82
ALGN,USA,0,2025-04-30,,,,,11.439,12.012,"1,567",54.59%,64.28%  (  +0.26%),66.07%,"34,480",4,4,5,75
META,USA,0,2025-04-30,,,,,8.394,9.471,"318,123",65.59%,53.16%  (  -1.12%),64.85%,"2,030,347",8,5,5,85
FTAI,Cayman Islands,0,2025-04-30,,,,,10.248,11.869,"2,211",99.42%,80.43%  (  +1.39%),52.75%,"84,004",,5,5,75
GEO,USA,0,2025-05-06,,,,,8.404,12.136,"3,803",59.29%,66.59%  (  +2.38%),28.48%,"310,836",10,5,4,80
RELY,USA,0,2025-05-07,,,,,17.438,15.054,660,46.91%,64.04%  (  -8.47%),49.71%,"14,894",8,5,5,85
CORT,USA,0,2025-05-07,,,,,17.702,11.566,"5,257",231.14%,70.47%  (  -1.99%),39.61%,"34,317",10,5,4,80
CHD,USA,0,2025-05-01,,,,,4.773,6.187,"1,090",26.70%,28.39%  (  +0.75%),62.09%,"4,074",4,4,4,
SHAK,USA,0,2025-05-01,,,,,10.393,11.848,"3,000",77.22%,67.33%  (  +0.44%),52.64%,"34,443",7,4,4,80
APD,USA,0,2025-05-01,,,,,6.562,8.009,503,41.32%,37.96%  (  -0.04%),51.45%,"23,103",4,4,4,68
RBLX,USA,0,2025-05-01,,,,,12.637,13.947,"38,542",57.18%,72.58%  (  -2.53%),62.10%,"383,674",6,4,4,75
HWM,USA,0,2025-05-01,,,,,7.669,8.519,919,61.20%,54.50%  (  +2.35%),70.37%,"39,496",8,5,5,85
BAX,USA,0,2025-05-01,,,,,4.948,6.902,526,54.72%,45.38%  (  -1.94%),59.44%,"76,777",7,4,4,65
BDX,USA,0,2025-05-01,,,,,5.168,6.881,"2,583",31.84%,33.19%  (  +1.38%),70.97%,"43,371",9,5,5,85
IRM,USA,0,2025-05-01,,,,,5.967,6.859,"4,708",47.04%,41.76%  (  -0.51%),70.46%,"45,806",8,4,4,85
OWL,USA,0,2025-05-01,,,,,7.579,10.876,"3,661",84.78%,54.98%  (  -4.63%),53.83%,"140,888",6,4,5,87
ICE,USA,0,2025-05-01,,,,,4.399,5.699,990,28.70%,27.20%  (  -0.07%),52.91%,"43,967",10,5,5,88
LLY,USA,0,2025-05-01,,,,,6.043,6.805,"18,535",54.09%,41.32%  (  +0.32%),44.84%,"276,386",10,5,5,75
CVS,USA,0,2025-05-01,,,,,7.265,7.942,"18,504",31.70%,42.76%  (  -1.28%),61.11%,"677,672",10,5,5,73
KKR,USA,0,2025-05-01,,,,,4.349,7.823,"8,127",86.89%,52.79%  (  -0.26%),41.99%,"167,569",4,5,5,85
APTV,Jersey,0,2025-05-01,,,,,9.100,10.957,938,60.83%,52.19%  (  +1.07%),58.48%,"39,196",9,4,4,70
BLDR,USA,0,2025-05-01,,,,,9.273,10.880,"1,249",55.26%,52.76%  (  -3.06%),47.87%,"28,697",8,5,5,70
PWR,USA,0,2025-05-01,,,,,7.871,11.298,"1,232",52.50%,55.00%  (  +2.36%),74.81%,"33,816",9,4,5,85
MA,USA,0,2025-05-01,,,,,3.350,5.259,"5,177",38.99%,31.29%  (  -0.71%),48.79%,"119,786",9,5,5,80
CAH,USA,0,2025-05-01,,,,,4.491,5.997,"4,983",29.18%,32.22%  (  -1.90%),43.35%,"63,677",6,4,4,70
WSC,USA,0,2025-05-01,,,,,8.934,14.153,908,73.68%,65.44%  (  -1.66%),77.79%,"38,511",7,4,4,65
TEAM,USA,0,2025-05-01,,,,,11.706,13.787,"2,406",73.02%,74.03%  (  -3.55%),64.75%,"69,762",9,5,5,75
DXCM,USA,0,2025-05-01,,,,,10.100,11.244,"1,021",52.20%,60.63%  (  -1.83%),65.39%,"120,536",8,5,5,74
TWLO,USA,0,2025-05-01,,,,,9.907,13.494,"2,393",70.09%,74.78%  (  -2.10%),73.79%,"142,065",6,4,5,85
SYK,USA,0,2025-05-01,,,,,6.065,7.037,865,37.09%,33.22%  (  -0.04%),54.63%,"27,130",4,5,5,88
RIOT,USA,0,2025-05-01,,,,,11.880,12.256,"149,158",94.40%,91.14%  (  -4.46%),31.48%,"1,159,088",7,5,5,85
RDDT,USA,0,2025-05-01,,,,,15.317,16.474,"22,951",113.35%,92.14%  (  -7.59%),53.18%,"380,885",10,4,4,80
CART,USA,0,2025-05-01,,,,,11.946,10.391,"2,992",44.96%,55.76%  (  -3.96%),46.52%,"55,066",9,4,4,80
MSTR,USA,0,2025-05-01,,,,,7.388,9.135,"348,208",114.42%,75.69%  (  -2.93%),4.14%,"2,108,051",10,5,5,75
EXAS,USA,0,2025-05-01,,,,,12.912,13.526,598,60.19%,64.21%  (  -5.01%),63.04%,"30,977",7,5,5,65
AAPL,USA,0,2025-05-01,,,,,3.991,6.202,"599,259",65.48%,39.04%  (  -2.84%),46.86%,"4,819,389",6,4,4,90
AIG,USA,0,2025-05-01,,,,,4.640,5.220,931,37.99%,31.62%  (  -1.56%),42.07%,"140,908",9,4,4,72
AMZN,USA,0,2025-05-01,,,,,7.251,7.789,"656,626",58.02%,45.09%  (  -1.83%),54.95%,"3,965,638",6,5,5,85
ROKU,USA,0,2025-05-01,,,,,15.252,15.254,"13,111",87.57%,79.40%  (  -3.67%),58.12%,"193,399",7,4,4,85
MPWR,USA,0,2025-05-01,,,,,11.786,15.188,581,106.92%,72.10%  (  -3.05%),66.25%,"11,933",8,5,5,85
EXC,USA,0,2025-05-01,,,,,3.981,4.995,558,27.43%,23.42%  (  +0.15%),41.91%,"84,262",9,4,4,80
NRG,USA,0,2025-05-06,,,,,8.608,11.492,970,71.69%,53.73%  (  +0.05%),50.08%,"53,623",9,4,4,80
EOG,USA,0,2025-05-01,,,,,3.211,6.201,"1,162",53.71%,37.32%  (  -2.53%),44.90%,"155,858",8,4,4,90
SWTX,USA,0,2025-05-01,,,,,15.403,12.266,"10,515",72.42%,125.85%  (  +6.42%),64.79%,"131,927",8,5,5,
PTON,USA,0,2025-05-01,,,,,21.409,10.419,"32,708",99.97%,104.04%  (  -4.79%),44.64%,"431,841",4,4,4,70
INSM,USA,0,2025-05-08,,,,,10.173,12.783,"1,788",45.27%,66.20%  (  -1.28%),10.52%,"48,463",7,5,5,70
MNST,USA,0,2025-05-01,,,,,6.653,4.518,"3,395",27.68%,35.14%  (  +2.66%),66.04%,"98,404",9,4,4,75
SHEL,USA,0,2025-05-01,,,,,2.353,4.652,"5,402",45.03%,29.41%  (  +0.44%),45.79%,"235,718",8,5,5,
DD,USA,0,2025-05-02,,,,,5.627,6.989,"9,274",69.32%,42.46%  (  -1.74%),48.97%,"118,842",5,5,4,80
CVX,USA,0,2025-05-02,,,,,2.334,5.019,"22,166",46.95%,33.85%  (  -0.84%),43.00%,"650,379",7,4,5,85
CI,USA,0,2025-05-02,,,,,4.835,6.063,"1,375",25.53%,33.83%  (  -1.30%),59.14%,"72,326",9,5,5,75
XOM,USA,0,2025-05-02,,,,,2.212,4.853,"32,361",40.35%,33.24%  (  +0.67%),49.75%,"962,472",4,4,4,85
CNK,USA,0,2025-05-02,,,,,8.146,8.131,"1,268",32.39%,39.91%  (  -0.60%),33.45%,"103,648",10,5,5,80
AES,USA,0,2025-05-01,,,,,10.434,11.079,"3,663",55.53%,53.86%  (  -0.61%),64.95%,"393,645",10,4,4,70
MT,USA,0,2025-05-02,,,,,4.087,6.758,"1,279",66.94%,51.09%  (  +0.34%),62.67%,"107,878",10,5,4,78
ETN,Ireland,0,2025-05-02,,,,,6.359,7.305,"5,740",59.15%,44.17%  (  -1.33%),48.47%,"106,674",7,4,4,80
APO,USA,0,2025-05-02,,,,,5.452,8.527,"4,116",80.86%,52.81%  (  -2.56%),49.23%,"376,160",6,5,5,85
GT,USA,0,2025-05-05,,,,,11.221,12.315,"4,130",77.03%,59.39%  (  -1.79%),60.08%,"160,844",9,5,4,65
FRPT,USA,0,2025-05-05,,,,,12.580,17.552,"1,450",56.92%,81.30%  (  -4.53%),90.78%,"19,196",8,5,4,80
ON,USA,0,2025-05-05,,,,,9.740,13.026,"8,473",91.60%,66.56%  (  -5.78%),50.16%,"281,582",4,4,4,55
WMB,USA,0,2025-05-05,,,,,3.528,6.158,"2,625",37.65%,37.02%  (  +2.44%),51.35%,"225,609",9,4,5,80
CTRA,USA,0,2025-05-05,,,,,3.849,6.823,"1,450",43.11%,36.72%  (  -13.29%),50.64%,"112,292",5,5,5,90
VRTX,USA,0,2025-05-05,,,,,4.643,6.423,903,23.38%,35.45%  (  -0.96%),50.38%,"32,681",5,4,5,70
FANG,USA,0,2025-05-05,,,,,4.640,8.884,"2,843",78.43%,48.82%  (  +0.67%),58.12%,"63,246",10,5,5,80
MAT,USA,0,2025-05-05,,,,,8.642,12.017,"7,442",68.83%,57.19%  (  -2.51%),62.91%,"16,331",9,4,4,85
CRH,Ireland,0,2025-05-05,,,,,6.680,9.651,"5,816",55.84%,46.04%  (  -2.00%),57.56%,"55,711",,5,5,85
FIS,USA,0,2025-05-06,,,,,6.237,6.188,"5,446",44.28%,33.63%  (  +0.90%),48.73%,"51,373",6,4,4,70
GPN,USA,0,2025-05-07,,,,,8.527,10.701,"1,392",81.78%,51.05%  (  +1.28%),65.45%,"107,245",7,4,4,85
