SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
TXT,USA,71.99,2025-04-24,42.44,1.84,0.95,5.781,0.000,196,24.40%,30.73%  (  +0.39%),93.46%,"14,128",4,4,4,68
TME,USA,12.40,2025-03-18,47.89,0.65,2.25,10.672,10.953,402,63.89%,58.13%  (  -6.53%),53.66%,"86,385",7,5,4,88
STNE,Cayman Islands,9.22,2025-03-18,47.63,0.40,2.77,10.284,12.567,"1,391",42.80%,70.29%  (  +10.35%),39.53%,"152,203",4,4,4,85
GDS,USA,33.52,2025-03-19,47.44,3.68,4.16,20.463,16.817,"6,668",123.78%,106.64%  (  +1.29%),76.81%,"68,576",7,5,4,80
SIG,Bermuda,46.42,2025-03-19,33.60,2.77,0.29,10.865,14.048,"1,897",47.49%,75.67%  (  +0.46%),82.99%,"30,705",6,4,4,65
OLLI,USA,101.24,2025-03-19,45.77,4.03,2.75,9.602,10.654,370,37.81%,57.86%  (  -0.24%),89.91%,"17,522",7,5,5,85
JBL,USA,130.51,2025-03-20,24.12,4.78,0.52,9.320,9.723,"2,151",30.35%,51.87%  (  +1.38%),88.18%,"36,975",7,5,5,80
ASO,USA,43.82,2025-03-20,28.64,2.18,0.50,9.822,10.698,"1,501",37.96%,59.18%  (  -0.42%),95.85%,"25,531",6,5,5,60
FDX,USA,240.98,2025-03-20,34.12,6.59,0.66,8.815,9.138,"11,473",33.78%,47.42%  (  -1.53%),65.04%,"175,933",9,4,4,60
NKE,USA,72.64,2025-03-20,38.69,2.24,2.19,8.882,9.923,"81,344",36.27%,51.20%  (  +0.42%),99.51%,"1,257,041",7,4,4,55
ACN,Ireland,317.07,2025-03-20,18.11,8.35,2.99,6.067,7.831,"7,685",24.11%,42.14%  (  +1.46%),100.00%,"76,938",9,4,4,78
CCL,Panama,19.12,2025-03-21,25.86,1.13,0.99,8.400,10.424,"33,253",45.07%,63.01%  (  -2.52%),91.28%,"1,208,511",5,4,4,75
MNSO,USA,19.72,2025-03-21,42.31,1.05,2.50,13.083,11.931,292,61.01%,66.65%  (  +1.62%),58.13%,"19,120",7,5,4,80
KBH,USA,59.89,2025-03-24,38.19,2.07,0.62,8.274,11.798,"1,910",31.65%,47.90%  (  +1.22%),82.25%,"60,820",4,4,4,80
OKLO,USA,23.95,2025-03-24,35.61,4.32,-,10.810,24.612,"28,262",133.11%,134.99%  (  -10.50%),51.06%,"348,441",7,5,4,78
CNM,USA,46.27,2025-03-25,29.05,1.79,1.28,11.130,14.012,661,24.63%,59.93%  (  +8.37%),88.31%,"11,070",6,4,4,72
DLTR,USA,66.00,2025-03-26,40.49,3.33,0.45,11.142,15.828,"57,418",43.42%,76.22%  (  -1.30%),79.23%,"356,138",4,4,4,62
CHWY,USA,32.35,2025-03-26,38.55,1.90,1.15,13.550,15.108,"17,827",47.46%,72.59%  (  -0.42%),38.57%,"258,286",9,5,5,75
JEF,USA,54.26,2025-03-26,22.64,2.45,1.06,6.434,12.513,"3,556",34.22%,50.04%  (  +2.63%),96.01%,"32,026",6,5,4,0
LULU,USA,309.68,2025-03-27,20.65,13.36,3.86,9.874,5.982,"18,736",31.38%,64.12%  (  +1.39%),93.79%,"169,552",9,4,5,88
RUM,USA,7.57,2025-03-26,31.22,0.80,53.84,15.304,16.377,"4,027",65.87%,101.95%  (  +0.56%),53.34%,"201,094",7,4,4,65
