SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
BURL,USA,284.47,2025-11-25,55.01,9.71,11.10%,1.63,8.282,8.306,"16,059",30.46%,46.84%  (-3.94%),53.33%,"41,582",9,5,5,88,Apparel Retail,
ANF,USA,65.61,2025-11-25,34.65,2.71,-21.34%,0.61,13.447,12.563,"45,163",37.50%,74.10%  (-0.29%),62.40%,"109,989",7,4,4,80,Apparel Retail,
DKS,USA,206.31,2025-11-25,38.15,7.05,-0.77%,1.34,8.791,8.615,"16,950",22.96%,52.59%  (-3.54%),49.06%,"44,444",10,4,4,90,Specialty Retail,
BBY,USA,75.62,2025-11-25,43.28,2.34,2.96%,0.38,8.290,7.861,"30,116",22.86%,48.92%  (-1.82%),48.24%,"109,579",9,4,4,80,Specialty Retail,
ADI,USA,239.40,2025-11-25,54.03,6.82,6.10%,11.34,5.239,5.279,"16,411",28.59%,38.51%  (-1.31%),32.47%,"82,851",4,5,5,90,Semiconductors,
SJM,USA,104.27,2025-11-25,45.04,2.57,-4.05%,1.28,6.292,6.979,"1,877",21.59%,32.01%  (-1.41%),55.43%,"20,410",7,4,4,60,Packaged Foods,
BABA,USA,160.73,2025-11-25,47.88,6.35,19.57%,2.60,5.974,7.038,"362,706",37.84%,46.39%  (-1.62%),33.88%,"2,571,156",8,5,5,82,Internet Retail,
URBN,USA,62.22,2025-11-25,44.40,2.39,-3.42%,0.96,10.577,11.955,"8,656",32.15%,61.88%  (-2.00%),66.50%,"28,726",9,4,4,90,Apparel Retail,
ZS,USA,280.35,2025-11-25,34.13,10.91,5.98%,16.60,9.358,8.914,"10,326",33.14%,56.29%  (-4.45%),63.32%,"99,440",8,5,5,85,Software - Infrastructure,
ARWR,USA,44.26,2025-11-25,65.50,2.51,100.88%,10.68,11.411,20.608,"2,025",58.06%,78.07%  (-14.95%),47.05%,"24,504",10,4,5,75,Biotechnology,
ADSK,USA,289.85,2025-11-25,37.92,6.13,-0.98%,9.38,6.232,6.456,"3,846",21.04%,38.15%  (-2.01%),52.51%,"49,411",10,5,4,85,Software - Application,
CLSK,USA,11.48,2025-11-25,38.03,1.44,3.69%,5.41,6.432,12.393,"106,241",107.13%,104.60%  (-3.73%),44.58%,"1,141,387",8,5,5,90,Capital Markets,
DELL,USA,127.22,2025-11-25,38.21,6.96,6.22%,0.84,8.396,9.262,"54,510",43.51%,58.33%  (-3.36%),50.40%,"594,545",9,4,4,85,Computer Hardware,
GGAL,USA,46.80,2025-11-25,46.16,2.97,-6.52%,0.63,0.000,0.000,"2,117",107.93%,57.47%  (-7.41%),17.75%,"134,665",5,4,4,60,Banks - Regional,
AVAV,USA,276.99,2025-12-09,28.62,17.20,21.34%,12.74,13.430,10.350,"2,049",49.04%,80.93%  (-4.19%),83.23%,"32,850",8,5,5,80,Aerospace & Defense,
JBL,USA,197.15,2025-12-11,40.97,8.33,5.70%,0.71,9.479,11.387,520,39.38%,50.79%  (-3.42%),60.62%,"35,915",9,5,5,75,Electronic Components,
ABVX,USA,125.71,2025-12-15,73.32,6.26,197.96%,-,0.000,0.000,"3,709",53.80%,122.79%  (-7.35%),80.27%,"24,120",10,5,5,0,Biotechnology,
ORCL,USA,200.28,2025-12-15,26.19,12.43,-4.95%,9.67,9.252,12.502,"299,980",46.60%,66.11%  (-4.88%),89.98%,"1,711,448",5,4,4,85,Software - Infrastructure,"MSFT, 0.86(6M)"
BIRK,Jersey,40.72,2025-12-18,47.95,1.23,-15.63%,3.39,9.431,11.255,971,26.52%,53.94%  (+0.11%),58.42%,"42,296",4,5,5,88,Footwear & Accessories,
NKE,USA,61.93,2025-12-18,40.66,1.80,-9.26%,1.97,9.144,10.226,"47,222",27.52%,47.68%  (-0.75%),64.03%,"1,402,042",6,4,4,65,Footwear & Accessories,"UA, 0.88(6M)"
CCL,Panama,24.76,2025-12-19,36.58,1.14,-3.36%,1.24,5.296,11.464,"84,124",48.35%,53.10%  (+2.33%),39.29%,"1,199,549",7,5,5,92,Travel Services,"NCLH, 0.95(12M)
RCL, 0.94(12M)"
UEC,USA,12.09,2025-12-23,46.41,1.08,41.51%,86.97,2.708,13.114,"14,425",88.07%,88.38%  (+1.29%),63.89%,"355,775",6,5,5,80,Uranium,
DAL,USA,60.67,2026-01-09,56.06,2.41,13.46%,0.63,7.858,0.000,"32,627",46.12%,47.19%  (-1.57%),27.71%,"792,133",7,5,5,88,Airlines,"UAL, 0.94(6M)"
08:08:25 AM,,,,,,,,,,,,,,,,,,,,
