SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
AGNC,USA,0,2025-04-21,,,,,4.125,4.798,"62,160",37.72%,35.56%  (  -1.15%),62.07%,"840,606",4,4,4,65
DHR,USA,0,2025-04-22,,,,,4.766,6.891,"9,317",48.88%,40.68%  (  +0.82%),55.07%,"124,717",7,5,5,70
GE,USA,0,2025-04-22,,,,,5.726,6.806,"17,256",54.45%,43.90%  (  +4.13%),49.82%,"260,087",9,5,5,85
SYF,USA,0,2025-04-22,,,,,6.952,12.361,"1,356",76.06%,56.81%  (  +3.38%),58.37%,"76,992",9,4,5,75
LMT,USA,0,2025-04-22,,,,,3.733,5.862,"6,457",34.61%,32.62%  (  +1.16%),68.90%,"103,946",8,4,4,85
MMM,USA,0,2025-04-22,,,,,6.421,7.441,"4,485",48.38%,45.77%  (  +2.79%),65.95%,"231,984",9,4,4,75
RTX,USA,0,2025-04-22,,,,,4.344,5.038,"8,725",38.93%,33.29%  (  +0.60%),48.23%,"202,159",10,5,5,82
GPC,USA,0,2025-04-22,,,,,6.353,9.471,601,39.48%,40.03%  (  +4.29%),76.31%,"18,472",8,4,4,65
ELV,USA,0,2025-04-22,,,,,6.004,8.576,"2,932",35.40%,34.81%  (  +1.69%),64.42%,"41,338",8,5,5,75
EQT,USA,0,2025-04-22,,,,,4.425,6.923,"12,548",48.88%,49.83%  (  +2.06%),52.76%,"264,102",9,4,4,85
STLD,USA,0,2025-04-22,,,,,5.917,11.354,559,54.58%,47.99%  (  +2.06%),55.24%,"40,803",10,5,5,78
ISRG,USA,0,2025-04-22,,,,,5.903,8.073,"4,222",61.47%,46.66%  (  +2.70%),60.67%,"94,852",9,4,5,82
BA,USA,0,2025-04-23,,,,,5.109,7.482,548,69.79%,49.88%  (  +0.07%),48.86%,"1,218,475",8,4,4,50
CME,USA,0,2025-04-23,,,,,3.868,5.957,"3,215",22.97%,25.87%  (  +1.62%),57.66%,"54,264",9,4,4,88
BSX,USA,0,2025-04-23,,,,,5.753,5.723,"7,325",42.53%,36.07%  (  +2.66%),56.29%,"263,887",8,5,5,88
T,USA,0,2025-04-23,,,,,4.502,5.466,"62,312",30.33%,32.91%  (  +3.16%),63.64%,"1,242,244",10,5,5,80
NEE,USA,0,2025-04-23,,,,,3.951,5.898,"12,692",39.59%,35.44%  (  +0.79%),47.99%,"555,130",8,4,4,85
PM,USA,0,2025-04-23,,,,,3.659,5.219,896,30.16%,32.00%  (  -0.71%),62.99%,"207,004",8,5,5,85
GD,USA,0,2025-04-23,,,,,3.427,4.110,"2,244",34.65%,28.51%  (  +0.90%),42.65%,"44,128",5,4,4,0
DFS,USA,0,2025-04-23,,,,,3.771,9.027,"1,241",75.26%,67.96%  (  +2.10%),67.38%,"60,425",7,4,4,85
LRCX,USA,0,2025-04-23,,,,,3.717,8.998,"31,038",79.77%,60.63%  (  +3.29%),56.41%,"602,193",8,5,5,85
NOW,USA,0,2025-04-23,,,,,6.608,9.459,"4,333",62.77%,54.26%  (  +1.22%),60.33%,"99,207",9,5,5,88
MTDR,USA,0,2025-04-23,,,,,7.482,14.026,"1,927",90.82%,64.35%  (  -0.05%),64.42%,"63,612",10,5,5,85
BANC,USA,0,2025-04-23,,,,,9.683,10.930,"1,662",53.85%,33.73%  (  -11.89%),18.00%,"29,852",10,4,4,80
ESI,USA,0,2025-04-23,,,,,8.911,13.828,"2,904",63.69%,72.08%  (  +13.30%),90.53%,"22,118",4,5,4,78
CMG,USA,0,2025-04-23,,,,,8.148,8.554,"21,657",43.60%,48.94%  (  +2.05%),65.68%,"1,011,780",5,5,5,85
IBM,USA,0,2025-04-23,,,,,6.193,7.868,"23,410",40.31%,42.45%  (  +0.50%),60.24%,"302,804",7,4,4,85
ALKS,Ireland,0,2025-05-07,,,,,9.416,13.629,693,37.21%,62.37%  (  -1.40%),79.37%,"7,408",9,4,4,82
NBIS,Netherlands,0,2025-04-25,,,,,8.357,16.330,"13,927",117.52%,101.57%  (  +9.82%),38.09%,"379,507",10,4,4,70
ETR,USA,0,2025-04-29,,,,,2.705,7.704,962,28.77%,33.19%  (  +5.00%),68.16%,"39,518",5,4,4,85
NDAQ,USA,0,2025-04-24,,,,,5.387,7.915,839,43.95%,34.67%  (  -0.14%),51.27%,"37,083",7,4,4,85
PEP,USA,0,2025-04-24,,,,,3.154,3.987,"26,526",25.44%,27.26%  (  +1.36%),53.33%,"324,355",5,4,4,78
AAL,USA,0,2025-04-24,,,,,7.441,9.964,"145,231",93.77%,67.21%  (  +1.92%),52.77%,"3,244,331",7,4,4,70
FCX,USA,0,2025-04-24,,,,,3.841,8.365,"102,200",84.90%,57.79%  (  +3.00%),57.53%,"1,455,393",5,4,4,78
FTI,UK,0,2025-04-24,,,,,8.373,12.369,"8,974",76.87%,56.94%  (  +2.60%),71.97%,"23,376",4,5,5,85
STM,USA,0,2025-04-24,,,,,9.184,14.743,"4,123",88.04%,64.21%  (  +4.46%),58.79%,"185,780",6,4,4,55
CMCSA,USA,0,2025-04-24,,,,,5.072,6.467,"31,209",38.87%,37.28%  (  +1.92%),68.31%,"652,702",9,4,4,82
FI,USA,0,2025-04-24,,,,,4.678,6.803,"6,508",41.35%,38.34%  (  -0.08%),56.39%,"51,969",9,5,5,85
KDP,USA,0,2025-04-24,,,,,5.342,5.966,"4,727",24.70%,29.21%  (  +1.39%),67.22%,"85,370",10,4,5,80
PG,USA,0,2025-04-24,,,,,2.955,4.018,"12,392",25.68%,26.69%  (  +3.99%),62.84%,"334,299",6,4,4,78
HAS,USA,0,2025-04-24,,,,,9.114,11.934,561,55.88%,56.71%  (  +6.75%),71.07%,"55,578",9,4,4,75
EMN,USA,0,2025-04-24,,,,,5.881,11.116,848,54.49%,47.90%  (  +3.08%),67.20%,"19,448",4,5,5,78
GOOGL,USA,0,2025-04-24,,,,,6.498,7.067,"366,253",44.89%,43.50%  (  +2.32%),62.04%,"3,196,720",8,4,4,86
BYD,USA,0,2025-04-24,,,,,7.581,10.822,939,47.29%,47.40%  (  +2.75%),72.72%,"34,536",6,4,4,88
GILD,USA,0,2025-04-24,,,,,4.169,5.969,"4,766",27.37%,38.81%  (  +3.27%),65.15%,"253,447",7,4,5,78
SLM,USA,0,2025-04-24,,,,,8.187,11.786,"1,196",52.73%,56.80%  (  +17.79%),74.60%,"42,791",10,5,4,78
GOOG,USA,0,2025-04-24,,,,,6.490,7.041,"1,279",45.14%,41.98%  (  -1.45%),58.36%,"1,404,947",4,5,5,85
AMZN,USA,0,2025-04-29,,,,,7.251,9.204,"771,632",54.70%,48.43%  (  +2.99%),62.95%,"4,346,186",7,5,5,87
CARR,USA,0,2025-04-24,,,,,7.384,10.119,"1,257",46.21%,45.93%  (  +6.44%),58.09%,"76,105",6,4,5,78
ASX,USA,0,2025-04-24,,,,,8.103,14.509,967,61.10%,67.30%  (  +10.13%),50.86%,"5,187",7,4,4,73
PSX,USA,0,2025-04-25,,,,,3.081,7.118,"4,415",64.19%,50.51%  (  +0.98%),59.02%,"197,162",5,4,4,77
CL,USA,0,2025-04-25,,,,,3.250,4.389,"6,866",29.91%,23.99%  (  +0.08%),46.72%,"88,846",10,4,4,85
RITM,USA,0,2025-04-25,,,,,5.628,7.884,"1,632",41.79%,34.45%  (  -1.59%),63.20%,"99,953",6,5,5,85
SLB,,0,2025-04-25,,,,,3.361,6.600,"20,246",66.72%,45.82%  (  +1.56%),58.31%,"746,676",7,5,5,80
ABBV,USA,0,2025-04-25,,,,,4.162,5.976,"40,251",35.23%,35.78%  (  +0.85%),55.62%,"428,718",9,4,4,85
NUE,USA,0,2025-04-28,,,,,5.085,9.363,"11,170",61.02%,53.28%  (  +2.11%),65.87%,"161,884",9,4,4,80
TER,USA,0,2025-04-28,,,,,10.612,15.753,"8,402",92.14%,67.71%  (  +2.91%),72.53%,"110,887",9,4,4,80
REGN,USA,0,2025-04-29,,,,,4.671,9.060,"1,155",40.67%,49.61%  (  +4.35%),75.58%,"44,705",7,5,4,82
SYY,USA,0,2025-04-29,,,,,5.368,6.785,807,32.23%,30.09%  (  +3.12%),60.97%,"57,547",8,5,5,80
PFE,USA,0,2025-04-29,,,,,4.412,6.067,"125,904",30.34%,36.42%  (  +2.19%),53.69%,"3,492,660",9,4,4,80
ARCC,USA,0,2025-04-29,,,,,3.512,7.148,"7,841",45.16%,32.11%  (  +3.13%),58.70%,"136,977",10,5,5,80
GLW,USA,0,2025-04-29,,,,,5.648,8.694,"5,167",52.54%,46.48%  (  +4.51%),69.67%,"301,938",9,5,5,75
KO,USA,0,2025-04-29,,,,,2.437,4.284,"1,510",22.72%,23.92%  (  +0.13%),66.22%,"807,729",8,5,5,80
AZN,USA,0,2025-04-29,,,,,4.852,6.363,"17,364",33.40%,35.31%  (  +0.92%),61.98%,"187,176",9,5,4,80
HON,USA,0,2025-04-29,,,,,3.551,6.338,"10,457",42.00%,35.72%  (  +3.68%),59.83%,"189,205",4,4,4,75
SPOT,Luxembourg,0,2025-04-29,,,,,10.172,12.929,"17,175",65.98%,68.31%  (  +0.36%),72.83%,"126,052",10,4,4,88
OMF,USA,0,2025-04-29,,,,,8.163,12.610,717,69.40%,54.28%  (  +2.08%),63.88%,"48,493",7,4,5,65
PYPL,USA,0,2025-04-29,,,,,8.805,11.004,"1,419",54.42%,54.04%  (  -2.39%),60.91%,"1,378,595",6,4,4,80
PPG,USA,0,2025-04-29,,,,,3.979,7.410,"1,380",49.14%,41.59%  (  +4.65%),75.26%,"37,178",10,4,4,80
FLS,USA,0,2025-04-29,,,,,6.314,12.038,506,66.90%,42.67%  (  -6.75%),44.08%,"10,548",6,5,5,85
STX,Ireland,0,2025-04-29,,,,,7.174,11.800,"8,139",70.56%,61.21%  (  +2.00%),60.89%,"148,990",6,4,4,85
NOG,USA,0,2025-04-29,,,,,5.579,15.138,851,94.87%,65.57%  (  -0.78%),67.35%,"40,525",9,4,4,70
HAL,USA,0,2025-04-22,,,,,3.893,6.982,"34,502",73.78%,51.93%  (  +0.69%),64.67%,"504,005",8,5,4,75
