SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
KNX,,45.04,2025-07-16,58.02,1.42,-10.85%,0.98,8.756,0.000,,,,,,,,,,Trucking,
ELV,,377.62,2025-07-16,40.41,13.24,-12.48%,0.47,7.043,0.000,,,,,,,,,,Healthcare Plans,
BKR,,37.57,2025-07-16,51.09,1.04,-6.32%,1.34,7.460,0.000,,,,,,,,,,Oil & Gas Equipment & Services,
ASML,,746.33,2025-07-16,57.70,18.72,1.45%,8.91,6.120,0.000,,,,,,,,,,Semiconductor Equipment & Materials,
EFX,,263.76,2025-07-16,52.29,7.75,-0.14%,5.71,8.177,0.000,,,,,,,,,,Consulting Services,
LVS,,42.20,2025-07-16,62.25,1.27,-5.70%,2.66,6.058,0.000,,,,,,,,,,Resorts & Casinos,
ALLY,,35.72,2025-07-16,57.96,1.08,-1.32%,0.70,6.819,0.000,,,,,,,,,,Credit Services,
UAL,,81.64,2025-07-16,60.83,3.64,3.60%,0.46,8.707,0.000,,,,,,,,,,Airlines,
USB,,44.29,2025-07-17,60.90,0.93,-3.40%,1.64,3.900,0.000,,,,,,,,,,Banks - Regional,
FITB,,38.88,2025-07-17,57.94,0.88,-6.96%,1.90,4.432,0.000,,,,,,,,,,Banks - Regional,
KVUE,,22.31,2025-07-17,37.65,0.64,-1.41%,2.80,5.431,0.000,,,,,,,,,,Household & Personal Products,
GPC,,127.97,2025-07-17,61.58,2.74,2.67%,0.75,7.412,0.000,,,,,,,,,,Auto Parts,
WBS,,52.16,2025-07-17,56.96,1.45,-0.26%,2.09,7.000,0.000,,,,,,,,,,Banks - Regional,
NUE,,121.94,2025-07-17,62.41,4.49,-8.33%,0.92,5.258,0.000,,,,,,,,,,Steel,
TRV,,276.28,2025-07-17,62.98,5.03,10.81%,1.33,5.118,0.000,,,,,,,,,,Insurance - Property & Casualty,
ALK,,51.11,2025-07-17,51.31,2.04,-4.14%,0.49,8.682,0.000,,,,,,,,,,Airlines,
ISRG,,551.39,2025-07-17,57.14,12.54,5.08%,22.68,6.379,0.000,,,,,,,,,,Medical Instruments & Supplies,
ABT,,133.70,2025-07-17,55.27,2.49,9.45%,5.49,3.858,0.000,,,,,,,,,,Medical Devices,
THC,,171.93,2025-07-17,73.48,5.26,19.03%,0.78,10.520,0.000,,,,,,,,,,Medical Care Facilities,
HAL,,20.51,2025-07-17,49.41,0.72,-22.86%,0.78,4.452,0.000,,,,,,,,,,Oil & Gas Equipment & Services,
COF,,195.51,2025-07-17,58.67,5.82,11.83%,2.32,5.428,0.000,,,,,,,,,,Credit Services,
WAL,,73.04,2025-07-17,49.25,2.50,-10.93%,1.60,8.513,0.000,,,,,,,,,,Banks - Regional,
UNP,,221.76,2025-07-17,48.31,4.30,-6.17%,5.46,3.215,0.000,,,,,,,,,,Railroads,
FCX,,40.37,2025-07-17,61.61,1.33,-0.93%,2.37,3.874,0.000,,,,,,,,,,Copper,
BX,,139.10,2025-07-17,49.72,4.14,-11.45%,13.36,3.978,0.000,,,,,,,,,,Asset Management,
STX,,123.21,2025-07-17,82.17,3.66,26.74%,3.06,6.988,0.000,,,,,,,,,,Computer Hardware,
NEM,,55.39,2025-07-17,62.14,1.53,16.31%,3.16,5.503,0.000,,,,,,,,,,Gold,
TSM,,197.93,2025-07-17,64.63,5.27,6.58%,10.62,3.882,0.000,,,,,,,,,,Semiconductors,
TFC,,39.68,2025-07-18,50.84,0.95,-7.62%,2.16,3.580,0.000,,,,,,,,,,Banks - Regional,
RF,,21.53,2025-07-18,51.96,0.55,-6.65%,2.07,4.289,0.000,,,,,,,,,,Banks - Regional,
HBAN,,15.89,2025-07-18,59.37,0.38,1.55%,1.94,4.013,0.000,,,,,,,,,,Banks - Regional,
FBP,,20.14,2025-07-18,51.21,0.45,1.29%,2.63,9.406,0.000,,,,,,,,,,Banks - Regional,
AXP,,297.74,2025-07-18,62.21,6.63,5.61%,2.77,4.528,0.000,,,,,,,,,,Credit Services,
SLB,,34.21,2025-07-18,47.55,1.04,-14.86%,1.29,3.439,0.000,,,,,,,,,,Oil & Gas Equipment & Services,
03:53:27 PM,,,,,,,,,,,,,,,,,,,,
