SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
LEVI,USA,16.38,2025-04-07,48.73,0.57,1.02,7.756,10.226,822,38.14%,50.18%  (  -0.47%),83.17%,"39,645",7,4,4,78
DAL,USA,42.42,2025-04-09,27.46,2.48,0.44,6.093,9.861,"96,002",52.22%,57.63%  (  +2.28%),82.43%,"768,373",7,5,5,85
WFC,USA,71.31,2025-04-11,43.78,2.09,1.84,4.088,6.542,"29,518",32.69%,36.40%  (  -0.21%),65.92%,"1,121,496",7,4,4,85
BK,USA,83.77,2025-04-11,48.35,1.95,1.51,4.484,5.761,"4,619",23.98%,33.01%  (  +0.29%),81.52%,"63,074",7,4,4,88
JPM,USA,243.66,2025-04-11,46.29,6.29,2.41,3.236,5.171,"51,220",29.23%,30.12%  (  +0.36%),64.88%,"694,946",9,4,5,90
MS,USA,115.74,2025-04-15,39.58,4.07,1.80,3.448,7.343,"34,382",40.01%,39.04%  (  +1.16%),80.38%,"576,920",6,4,4,85
MTB,USA,176.37,2025-04-14,41.67,4.50,2.16,4.436,6.861,69,23.79%,34.69%  (  -0.52%),84.23%,"9,505",7,4,4,70
GS,USA,548.45,2025-04-21,40.31,18.59,1.35,3.705,7.697,"16,367",34.70%,36.41%  (  +0.66%),79.15%,"253,133",5,4,4,85
JNJ,USA,153.25,2025-04-15,33.87,3.20,4.16,2.659,3.856,"119,375",27.70%,21.30%  (  +1.43%),79.14%,"432,062",8,4,4,78
BAC,USA,41.49,2025-04-15,41.78,1.08,1.59,3.660,6.640,"116,066",31.14%,33.78%  (  +0.99%),87.26%,"2,479,023",7,5,5,80
PNC,USA,174.64,2025-04-15,41.88,4.03,2.04,3.861,5.841,"1,916",24.11%,29.52%  (  -0.53%),74.68%,"40,334",8,4,4,80
C,USA,70.54,2025-04-15,41.61,2.19,0.78,3.596,7.202,"64,933",32.76%,36.96%  (  +0.29%),73.66%,"1,719,573",6,5,5,80
IBKR,USA,173.08,2025-04-15,42.90,8.46,7.79,4.558,8.638,"1,875",58.58%,47.23%  (  -1.78%),68.46%,"54,701",8,5,5,90
FHN,USA,19.14,2025-04-16,43.06,0.59,1.97,5.189,7.576,101,35.07%,38.84%  (  -0.06%),73.84%,"35,626",4,4,4,70
CFG,USA,40.59,2025-04-16,39.32,1.21,1.43,4.379,7.083,435,27.42%,36.53%  (  +0.76%),66.19%,"62,036",5,4,4,80
PLD,USA,111.45,2025-04-16,42.81,2.62,12.91,4.365,5.451,"1,222",25.02%,28.66%  (  +0.66%),45.16%,"57,927",4,4,4,74
AA,USA,30.14,2025-04-16,35.00,1.52,0.63,4.278,10.783,"7,988",49.43%,58.60%  (  +0.62%),89.50%,"234,677",4,4,5,73
FNB,USA,13.42,2025-04-16,37.93,0.35,1.87,4.130,13.756,22,25.37%,61.60%  (  +7.01%),53.49%,"4,340",5,5,5,87
SNV,USA,45.76,2025-04-16,38.34,1.58,1.88,3.398,8.035,592,35.16%,41.98%  (  +0.48%),73.15%,"10,100",6,4,4,75
CSX,USA,29.54,2025-04-16,39.56,0.60,3.83,3.550,5.078,"1,577",23.12%,30.57%  (  +2.77%),59.08%,"132,520",8,4,4,65
HOMB,USA,28.22,2025-04-16,43.54,0.62,3.83,8.284,7.443,25,19.68%,39.06%  (  -1.92%),51.66%,609,7,4,4,80
ASML,USA,667.34,2025-04-16,37.26,20.57,8.59,6.032,8.720,"13,859",39.90%,45.23%  (  +0.09%),69.76%,"145,029",7,4,4,82
EFX,USA,243.86,2025-04-16,49.33,5.89,5.36,5.463,6.848,230,24.27%,34.39%  (  -0.51%),60.37%,"5,864",5,5,5,70
LVS,USA,39.15,2025-04-16,33.11,1.33,2.48,4.343,6.526,"13,201",30.74%,41.92%  (  +0.08%),89.02%,"252,798",7,4,5,80
SCHW,USA,77.67,2025-04-21,48.07,2.04,5.57,4.958,7.600,"18,028",29.37%,35.37%  (  -0.47%),70.64%,"441,613",8,5,4,85
KEY,USA,15.80,2025-04-17,41.94,0.50,1.90,4.626,7.057,"1,139",29.87%,36.56%  (  -0.40%),55.14%,"162,749",7,4,4,70
RF,USA,21.57,2025-04-17,40.95,0.58,2.09,4.331,6.259,376,24.00%,33.36%  (  +0.38%),64.90%,"107,613",4,4,4,78
AXP,USA,270.48,2025-04-17,43.48,7.77,2.56,4.644,6.725,"9,503",31.21%,34.58%  (  -0.51%),79.36%,"226,151",4,4,4,85
HBAN,USA,14.95,2025-04-18,42.68,0.41,1.84,3.546,9.030,799,26.38%,34.87%  (  +0.58%),76.71%,"71,176",6,4,4,80
