SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
GT,USA,11.03,2025-05-05,62.36,0.50,19.65%,0.17,11.221,11.328,711,76.47%,56.81%  (  -3.23%),54.96%,"182,372",9,5,4,65
BNTX,USA,105.05,2025-05-05,53.31,6.49,-1.30%,8.46,8.206,9.042,941,73.36%,53.09%  (  +2.82%),60.36%,"55,696",8,5,5,55
FRPT,USA,76.10,2025-05-05,43.28,4.11,-40.10%,3.80,12.580,15.756,722,55.85%,79.65%  (  -0.27%),88.02%,"21,068",7,4,4,80
LSCC,USA,52.10,2025-05-05,57.86,3.20,-2.91%,14.07,12.931,13.167,610,103.06%,66.00%  (  -0.78%),47.57%,"10,542",7,5,5,60
VRTX,USA,498.80,2025-05-05,54.34,13.94,5.79%,11.67,4.643,4.883,"1,012",23.43%,32.07%  (  -0.97%),40.81%,"36,887",6,4,5,80
WMB,USA,59.85,2025-05-05,56.39,1.94,13.32%,6.79,3.528,4.547,"5,360",37.27%,32.60%  (  -3.94%),39.49%,"225,078",9,4,5,85
MAT,USA,16.20,2025-05-05,47.20,0.72,-13.85%,0.97,8.642,10.176,"2,778",68.91%,51.74%  (  -2.74%),53.72%,"63,469",9,4,4,85
CTRA,USA,25.70,2025-05-05,48.22,0.89,0.05%,3.60,3.849,5.365,830,42.39%,40.72%  (  -0.92%),58.20%,"113,650",4,5,5,90
CRH,Ireland,98.55,2025-05-05,64.62,3.59,5.87%,1.88,6.680,6.248,"2,724",53.97%,35.43%  (  -2.26%),34.96%,"59,634",,5,5,85
BRBR,USA,78.42,2025-05-05,62.34,2.75,15.32%,4.79,8.264,7.857,632,36.73%,38.98%  (  +0.01%),53.54%,"3,290",10,5,5,85
FANG,USA,135.06,2025-05-05,46.44,6.15,-20.74%,3.59,4.640,6.579,"2,237",78.01%,45.45%  (  -1.80%),51.31%,"67,500",10,5,5,80
DUK,USA,121.32,2025-05-06,54.55,2.42,6.18%,3.10,3.493,3.689,"5,632",22.32%,19.92%  (  -1.88%),36.03%,"143,311",9,4,4,85
ZTS,USA,157.21,2025-05-06,54.25,4.64,-9.61%,7.57,7.280,7.101,"1,394",33.20%,35.10%  (  -1.10%),57.28%,"45,114",9,5,4,90
MPLX,USA,52.02,2025-05-06,53.86,1.48,8.92%,4.78,3.979,5.388,"12,794",33.65%,26.30%  (  +0.14%),39.18%,"116,868",9,4,4,85
MPC,USA,140.88,2025-05-06,57.89,5.43,-8.02%,0.32,5.076,5.499,"2,203",62.46%,39.52%  (  -1.61%),35.69%,"70,060",9,4,4,75
AEP,USA,107.68,2025-05-06,54.94,2.36,7.77%,3.01,3.941,4.272,"7,201",24.06%,22.09%  (  -0.63%),33.24%,"78,933",9,4,4,75
CEG,USA,249.87,2025-05-06,65.48,12.60,5.80%,3.32,8.708,7.749,"9,147",82.06%,55.92%  (  -1.63%),37.42%,"190,862",5,4,5,0
EA,USA,150.84,2025-05-06,63.89,3.82,4.15%,5.35,5.281,7.292,"4,158",30.51%,35.62%  (  -1.27%),55.50%,"144,021",5,4,4,70
KVYO,USA,32.63,2025-05-06,60.39,1.87,-8.04%,9.50,15.350,15.716,"1,656",74.37%,77.14%  (  -3.18%),65.35%,"36,599",5,5,5,85
TEM,USA,58.07,2025-05-06,63.47,4.68,15.30%,14.51,9.696,13.592,"37,736",114.03%,92.97%  (  -5.30%),34.22%,"261,382",8,4,5,75
ET,USA,16.78,2025-05-06,44.57,0.65,-5.25%,0.70,3.393,5.064,"19,760",47.49%,31.22%  (  -3.61%),37.91%,"1,058,116",6,5,5,88
MOS,USA,30.50,2025-05-06,72.17,1.05,14.28%,0.87,5.852,6.029,"3,828",48.72%,39.29%  (  -0.36%),37.28%,"205,717",9,4,4,75
ALAB,USA,72.45,2025-05-06,61.73,4.99,-5.47%,30.12,19.804,13.637,"6,787",95.09%,83.20%  (  -3.23%),34.38%,"121,092",5,5,5,80
AMD,USA,99.08,2025-05-06,54.50,5.16,-23.24%,6.22,8.559,8.755,"279,212",90.91%,55.50%  (  -2.96%),40.00%,"3,741,419",9,4,4,85
