SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
AES,USA,11.14,2025-05-01,42.65,0.61,-24.61%,0.65,10.434,13.241,"13,785",63.74%,52.52%  (  -14.73%),61.45%,"404,394",10,4,4,75
CVX,USA,146.03,2025-05-02,38.56,5.51,-4.43%,1.32,2.334,7.476,"46,960",42.20%,34.18%  (  -23.97%),43.75%,"618,852",8,5,5,82
SHEL,USA,63.89,2025-05-01,38.34,2.24,-5.99%,0.67,2.353,7.600,"18,793",38.65%,36.87%  (  -10.44%),68.92%,"249,980",9,5,5,
XOM,USA,105.80,2025-05-02,39.64,3.84,-7.39%,1.35,2.212,7.723,"87,928",37.41%,37.52%  (  -11.72%),63.39%,"1,010,842",7,4,4,78
APO,USA,128.45,2025-05-02,45.44,9.72,-8.92%,2.78,5.452,11.944,"18,266",81.13%,58.16%  (  -24.50%),58.34%,"374,835",7,5,5,90
MT,USA,26.97,2025-05-02,43.74,1.48,7.92%,0.33,4.087,10.396,"7,130",73.06%,50.67%  (  -17.77%),61.76%,"113,175",10,4,4,75
FANG,USA,134.93,2025-05-05,40.00,8.31,-23.29%,3.53,4.640,13.446,"3,835",73.29%,57.04%  (  -10.65%),77.62%,"62,426",10,5,5,78
CRBG,USA,28.86,2025-05-02,43.17,1.85,-4.92%,0.86,7.108,13.762,"1,179",68.89%,57.69%  (  -14.90%),70.05%,"32,206",9,5,4,80
CTRA,USA,25.87,2025-05-05,39.99,1.17,0.17%,3.62,3.849,11.162,"1,321",41.78%,59.91%  (  -2.96%),94.41%,"129,865",5,5,5,85
VRTX,USA,482.30,2025-05-05,46.24,16.44,2.52%,11.29,4.643,8.510,"2,631",20.14%,36.66%  (  -10.53%),53.80%,"38,094",4,4,5,75
GPN,USA,90.26,2025-05-07,42.95,4.56,-14.15%,2.20,8.527,14.007,"9,772",57.17%,57.93%  (  -8.95%),80.46%,"106,954",9,4,4,75
WMB,USA,56.42,2025-05-05,45.42,2.47,9.44%,6.40,3.528,9.134,"6,902",36.13%,37.57%  (  -15.40%),52.84%,"304,228",8,4,5,85
AEP,USA,102.35,2025-05-06,43.98,2.78,3.96%,2.74,3.941,7.498,"1,804",26.43%,28.51%  (  -7.78%),63.40%,"77,903",9,4,4,75
SEE,USA,26.98,2025-05-06,40.39,1.37,-21.18%,0.73,8.491,12.880,636,57.78%,48.87%  (  -16.35%),61.76%,"14,079",6,4,5,75
ZTS,USA,153.55,2025-05-06,41.51,5.76,-12.66%,7.43,7.280,9.297,"2,654",33.48%,36.50%  (  -10.03%),62.51%,"38,469",9,5,4,90
MPC,USA,131.42,2025-05-06,42.26,7.72,-15.89%,0.30,5.076,11.197,"5,073",60.66%,49.23%  (  -20.21%),56.55%,"72,544",9,4,4,80
DUK,USA,116.31,2025-05-06,45.64,3.00,3.16%,2.98,3.493,6.879,"6,546",23.25%,25.70%  (  -8.39%),62.12%,"143,672",10,4,5,85
BALL,USA,46.68,2025-04-25,34.75,1.70,-20.75%,1.12,6.609,10.818,"29,544",32.60%,43.19%  (  -7.60%),77.05%,"45,806",7,4,4,65
MPLX,USA,48.27,2025-05-06,33.15,1.81,2.50%,4.43,3.979,8.431,"13,671",31.33%,41.57%  (  -4.75%),77.75%,"111,886",8,4,4,87
ANET,USA,76.00,2025-05-06,43.71,5.60,-20.72%,13.69,9.228,14.723,"36,864",72.34%,69.72%  (  -16.13%),71.65%,"487,193",10,4,4,85
OVV,USA,35.97,2025-05-06,41.14,2.58,-15.24%,1.04,6.534,16.520,"5,108",84.99%,66.29%  (  -14.62%),74.11%,"58,258",6,5,5,85
AMD,USA,96.84,2025-04-29,46.96,6.88,-28.39%,6.10,8.559,14.838,"924,885",85.54%,65.11%  (  -22.26%),58.10%,"3,816,213",8,4,4,85
ET,USA,16.67,2025-05-06,36.87,0.91,-5.60%,0.69,3.393,10.559,"151,767",44.74%,48.46%  (  -14.19%),71.96%,"1,184,956",9,5,5,88
DVN,USA,31.07,2025-05-06,40.70,2.02,-20.38%,1.30,5.004,13.326,"36,451",74.89%,58.00%  (  -20.52%),64.24%,"578,734",6,4,4,80
