SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
APH,USA,0,2025-04-23,,,,,7.267,9.506,"3,941",51.98%,43.64%  (  -2.77%),66.61%,"59,024",9,5,4,88
BA,USA,0,2025-04-23,,,,,5.109,5.953,"111,092",69.09%,47.91%  (  -3.36%),44.52%,"1,083,065",9,4,4,50
CHKP,Israel,0,2025-04-23,,,,,6.401,8.879,"1,783",35.36%,39.97%  (  +1.70%),68.12%,"3,715",9,4,4,80
T,USA,0,2025-04-23,,,,,4.502,4.933,"81,792",32.04%,33.76%  (  -2.64%),66.57%,"1,149,348",10,5,5,80
NEE,USA,0,2025-04-23,,,,,3.951,4.900,"22,112",36.75%,35.16%  (  -1.94%),47.06%,"518,187",10,4,4,85
BSX,USA,0,2025-04-23,,,,,5.753,6.343,"38,317",40.16%,38.96%  (  +3.21%),63.88%,"222,165",9,5,5,88
CME,USA,0,2025-04-23,,,,,3.868,4.726,"6,162",22.23%,24.00%  (  -1.59%),47.61%,"45,502",7,4,4,88
GD,USA,0,2025-04-23,,,,,3.427,4.058,"3,693",34.03%,29.74%  (  -1.66%),46.11%,"41,971",4,4,4,0
VRT,USA,0,2025-04-23,,,,,10.541,11.729,"66,188",99.29%,86.88%  (  -5.11%),52.57%,"612,574",6,5,5,88
NSC,USA,0,2025-04-23,,,,,4.122,4.410,799,40.12%,35.76%  (  -0.78%),52.63%,"16,766",9,4,4,85
PM,USA,0,2025-04-23,,,,,3.659,5.697,"50,052",29.97%,35.69%  (  -3.34%),74.75%,"202,149",9,5,5,85
TEL,Ireland,0,2025-04-23,,,,,5.615,7.592,797,49.63%,33.50%  (  -9.91%),48.02%,"5,739",7,4,4,78
TMO,USA,0,2025-04-23,,,,,4.079,5.086,"7,786",44.12%,42.43%  (  -4.63%),60.62%,"56,243",8,5,5,78
GEV,USA,0,2025-04-23,,,,,8.763,8.330,"15,121",76.78%,66.59%  (  -6.95%),46.71%,"119,840",7,5,5,85
NOW,USA,0,2025-04-23,,,,,6.608,8.145,"6,836",59.20%,55.71%  (  -2.66%),63.03%,"94,260",8,5,5,88
ESI,USA,0,2025-04-23,,,,,8.911,12.454,"15,013",66.54%,60.50%  (  +2.54%),73.91%,"20,378",6,5,4,78
NEM,USA,0,2025-04-23,,,,,4.950,6.210,"56,359",46.82%,44.36%  (  -2.72%),50.43%,"995,468",9,4,4,70
TXN,USA,0,2025-04-23,,,,,4.948,5.942,"12,636",67.98%,46.03%  (  -1.79%),50.65%,"227,050",6,4,4,70
LRCX,USA,0,2025-04-23,,,,,3.717,6.972,"32,377",77.45%,59.21%  (  -0.13%),53.86%,"547,331",8,5,5,92
DFS,USA,0,2025-04-23,,,,,3.771,7.075,"6,510",74.31%,51.85%  (  -1.78%),45.03%,"35,130",10,4,4,80
ALK,USA,0,2025-04-23,,,,,7.083,12.906,"1,629",86.12%,60.04%  (  -5.92%),54.09%,"78,857",6,5,5,85
CMG,USA,0,2025-04-23,,,,,8.148,8.139,"55,232",44.30%,50.00%  (  -0.54%),67.92%,"962,245",5,5,5,78
LVS,USA,0,2025-04-23,,,,,4.343,6.806,"13,296",56.04%,52.76%  (  -6.83%),54.07%,"284,534",8,4,5,80
IBM,USA,0,2025-04-23,,,,,6.193,7.323,"15,926",37.68%,43.70%  (  -1.19%),63.07%,"260,490",8,4,4,75
EW,USA,0,2025-04-23,,,,,8.232,8.782,"1,371",28.33%,39.58%  (  -2.51%),56.20%,"69,262",5,4,4,80
FE,USA,0,2025-04-23,,,,,4.037,5.034,"2,341",26.86%,19.63%  (  -4.67%),25.10%,"50,232",10,4,4,75
NBIS,Netherlands,0,2025-04-25,,,,,8.357,12.470,"26,678",117.27%,95.58%  (  -8.01%),25.51%,"339,783",10,4,4,70
VIST,USA,0,2025-04-23,,,,,10.534,15.032,"1,434",87.29%,63.18%  (  -2.96%),56.33%,"39,690",6,5,4,82
XEL,USA,0,2025-04-24,,,,,4.741,5.434,504,26.69%,25.06%  (  -1.00%),48.01%,"14,442",8,4,4,68
TRU,USA,0,2025-04-24,,,,,9.198,10.985,850,77.47%,51.70%  (  -3.37%),52.06%,"12,297",8,4,4,80
TAL,USA,0,2025-04-24,,,,,10.000,13.221,894,71.39%,67.54%  (  -15.31%),27.92%,"63,782",5,5,4,75
SNY,USA,0,2025-04-24,,,,,6.438,8.390,596,28.51%,37.57%  (  -0.94%),65.51%,"25,010",5,4,4,82
FCX,USA,0,2025-04-24,,,,,3.841,5.314,"49,771",83.24%,52.37%  (  -6.12%),46.47%,"1,285,937",4,4,4,78
UNP,USA,0,2025-04-24,,,,,3.214,4.013,"2,151",36.44%,31.03%  (  -2.35%),52.70%,"121,000",8,4,4,88
WST,USA,0,2025-04-24,,,,,9.882,12.644,597,44.29%,57.49%  (  -1.47%),75.81%,"8,106",4,5,4,65
CMCSA,USA,0,2025-04-24,,,,,5.072,5.861,"18,018",36.36%,37.84%  (  -0.58%),70.35%,"591,387",9,4,4,77
PEP,USA,0,2025-04-24,,,,,3.154,3.271,"14,542",26.26%,25.47%  (  -2.37%),46.58%,"268,228",4,4,4,78
VLO,USA,0,2025-04-24,,,,,3.264,4.202,"4,362",66.51%,43.85%  (  -4.12%),39.63%,"115,793",9,5,5,60
AAL,USA,0,2025-04-24,,,,,7.441,8.056,"89,464",94.50%,65.49%  (  -4.28%),50.09%,"3,072,271",7,4,4,70
LKQ,USA,0,2025-04-24,,,,,6.940,8.105,849,35.70%,37.41%  (  -3.30%),59.98%,"20,844",8,5,4,72
STM,USA,0,2025-04-24,,,,,9.184,12.464,"2,662",87.51%,60.29%  (  +0.14%),52.47%,"149,054",5,4,4,55
MRK,USA,0,2025-04-24,,,,,4.285,5.283,"21,881",34.05%,41.39%  (  +0.13%),68.52%,"595,525",9,4,4,75
NDAQ,USA,0,2025-04-24,,,,,5.387,8.095,"1,258",44.21%,35.80%  (  -1.14%),54.37%,"26,824",6,4,4,85
TSCO,USA,0,2025-04-24,,,,,4.525,5.419,"1,512",43.37%,40.94%  (  -3.56%),60.11%,"83,395",4,4,4,75
ORI,USA,0,2025-04-24,,,,,5.017,7.312,"2,762",33.91%,27.23%  (  -3.81%),39.53%,"2,119",7,4,4,80
PG,USA,0,2025-04-24,,,,,2.955,3.678,"19,080",27.84%,26.84%  (  -1.21%),63.45%,"273,743",7,4,4,78
KDP,USA,0,2025-04-24,,,,,5.342,5.989,925,23.46%,26.89%  (  -1.14%),57.58%,"75,117",10,4,5,80
FI,USA,0,2025-04-24,,,,,4.678,5.829,"11,584",42.03%,38.46%  (  -2.63%),56.67%,"41,441",8,5,5,85
LHX,USA,0,2025-04-24,,,,,5.541,6.928,575,29.62%,32.83%  (  -0.05%),59.15%,"14,017",7,4,5,82
DAR,USA,0,2025-04-24,,,,,10.527,13.046,"1,534",52.44%,56.04%  (  -6.07%),52.51%,"54,573",7,5,5,75
HAS,USA,0,2025-04-24,,,,,9.114,11.623,"1,465",56.25%,54.04%  (  -3.04%),65.66%,"50,258",8,4,4,68
NOK,USA,0,2025-04-24,,,,,8.179,6.965,"8,108",37.33%,39.24%  (  +0.29%),11.49%,"162,733",10,5,5,85
MBLY,USA,0,2025-04-24,,,,,14.445,11.947,"9,130",81.98%,75.42%  (  -19.37%),50.76%,"342,226",5,4,4,65
SKX,USA,0,2025-04-24,,,,,10.335,13.533,"2,207",70.31%,64.24%  (  -1.26%),70.67%,"40,625",7,5,5,78
GOOGL,USA,0,2025-04-24,,,,,6.498,6.410,"176,808",44.14%,45.21%  (  -0.69%),66.70%,"2,997,576",6,4,4,88
SLM,USA,0,2025-04-24,,,,,8.187,10.397,"1,104",53.64%,50.17%  (  +6.34%),60.60%,"14,883",10,5,4,70
DLR,USA,0,2025-04-24,,,,,4.447,4.887,"5,577",39.95%,38.53%  (  -1.40%),49.73%,"50,234",9,4,5,80
GILD,USA,0,2025-04-24,,,,,4.169,4.937,"4,681",27.22%,34.33%  (  -2.62%),51.15%,"218,745",8,5,5,75
GOOG,USA,0,2025-04-24,,,,,6.490,6.303,"101,347",44.48%,44.13%  (  -1.53%),64.17%,"1,238,386",4,5,5,85
TMUS,USA,0,2025-04-24,,,,,3.845,4.825,"14,732",33.76%,36.35%  (  -1.63%),71.84%,"189,117",5,4,4,88
CARR,USA,0,2025-04-24,,,,,7.384,9.164,"1,574",46.42%,42.74%  (  -4.23%),50.38%,"72,639",6,4,4,78
AON,Ireland,0,2025-04-25,,,,,5.435,6.350,754,28.38%,30.03%  (  -1.54%),58.46%,"10,174",10,4,4,85
CNC,USA,0,2025-04-25,,,,,5.655,7.403,"1,910",31.43%,44.13%  (  -6.87%),67.78%,"66,594",10,4,4,80
RITM,USA,0,2025-04-25,,,,,5.628,8.003,"4,282",42.80%,34.78%  (  -0.11%),64.30%,"99,756",6,5,5,80
CL,USA,0,2025-04-25,,,,,3.250,3.710,"2,893",28.86%,24.72%  (  -5.07%),49.28%,"88,291",9,4,4,85
HCA,USA,0,2025-04-25,,,,,8.224,10.615,659,32.01%,46.77%  (  -3.62%),88.32%,"38,544",9,4,4,80
ABBV,USA,0,2025-04-25,,,,,4.162,4.989,"16,551",35.21%,37.25%  (  -1.69%),59.83%,"369,964",9,4,5,75
PSX,USA,0,2025-04-25,,,,,3.081,4.674,"1,923",64.88%,45.79%  (  -3.96%),49.78%,"191,851",8,4,4,70
SLB,,0,2025-04-25,,,,,3.361,4.707,"22,324",66.02%,42.06%  (  -2.43%),49.28%,"694,956",7,5,4,85
CDNS,USA,0,2025-04-28,,,,,8.015,10.066,"1,518",54.47%,48.27%  (  -1.26%),57.23%,"40,579",9,5,5,75
