SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
DLTR,USA,112.75,2025-09-03,52.08,2.47,33.92%,0.96,12.226,8.015,"6,289",15.30%,42.22%  (  -1.42%),26.31%,"229,921",7,4,4,65,Discount Stores,
HPE,USA,23.24,2025-09-03,71.72,0.57,19.20%,0.97,8.508,8.334,"18,296",27.46%,45.62%  (  -0.82%),34.35%,"635,942",10,4,4,78,Communication Equipment,
GTLB,USA,49.57,2025-09-03,64.47,2.15,-6.37%,10.18,14.627,16.204,"8,215",55.83%,77.33%  (  +3.91%),78.54%,"269,636",8,4,4,80,Software - Infrastructure,
CRM,USA,253.43,2025-09-03,54.39,5.76,-12.97%,6.28,7.884,8.646,"26,878",26.35%,44.24%  (  -0.46%),63.30%,"626,541",6,4,4,90,Software - Application,"ORCL, 0.81(12M)"
CRDO,Cayman Islands,130.69,2025-09-03,67.69,6.87,86.95%,51.39,22.127,18.255,"6,613",66.47%,92.71%  (  -3.17%),47.48%,"160,118",9,5,5,85,Semiconductors,
CIEN,USA,96.05,2025-09-04,63.36,2.82,22.89%,3.18,11.826,13.062,"1,964",34.69%,57.05%  (  +0.13%),53.36%,"41,416",10,4,4,85,Communication Equipment,
KR,USA,66.91,2025-09-05,34.77,1.55,1.06%,0.30,5.501,5.740,"3,009",23.85%,29.69%  (  +2.05%),48.91%,"214,223",8,4,4,75,Grocery Stores,
AVAV,USA,248.60,2025-09-09,50.58,10.00,34.55%,15.13,13.534,12.770,750,32.36%,65.18%  (  +0.38%),79.26%,"35,576",9,5,5,85,Aerospace & Defense,
ORCL,USA,240.10,2025-09-15,50.53,6.83,31.76%,11.75,8.764,10.375,"23,791",30.29%,51.28%  (  -2.21%),69.19%,"933,685",6,4,4,85,Software - Infrastructure,"MSFT, 0.86(6M)"
KMX,USA,60.43,2025-09-25,53.13,1.74,-16.71%,0.34,10.141,13.742,781,33.37%,41.51%  (  +0.48%),38.73%,"65,298",4,4,4,85,Auto & Truck Dealerships,
ACN,Ireland,256.09,2025-09-25,45.33,5.71,-20.35%,2.33,5.945,8.243,772,27.80%,36.08%  (  -0.19%),64.98%,"121,814",9,4,4,95,Information Technology Services,
COST,USA,945.70,2025-09-25,41.76,15.01,-3.04%,1.56,3.594,5.765,"8,587",16.29%,25.20%  (  +0.02%),32.11%,"273,449",4,4,4,92,Discount Stores,
NKE,USA,78.07,2025-09-25,59.63,1.77,10.87%,2.48,8.696,0.000,"8,894",24.36%,32.44%  (  +1.04%),28.12%,"1,445,341",8,4,4,55,Footwear & Accessories,"UA, 0.88(6M)"
MU,USA,121.16,2025-09-25,55.86,4.16,21.02%,4.01,10.313,12.173,"58,244",41.11%,53.20%  (  +0.01%),32.71%,"1,687,496",7,5,5,88,Semiconductors,
CCL,Panama,32.49,2025-09-26,69.93,0.83,32.12%,1.63,5.606,0.000,"19,432",31.84%,41.91%  (  +0.41%),18.62%,"1,353,787",10,5,5,96,Travel Services,"NCLH, 0.95(12M)
RCL, 0.94(12M)"
UEC,USA,10.50,2025-09-26,61.62,0.56,53.11%,69.80,0.000,15.865,"1,314",56.42%,72.53%  (  -0.60%),66.63%,"250,427",10,5,5,0,Uranium,
STZ,USA,158.39,2025-10-02,35.52,3.98,-15.73%,2.78,5.315,0.000,"1,089",26.22%,31.96%  (  +0.73%),38.68%,"132,078",8,4,4,65,Beverages - Brewers,
PEP,USA,147.13,2025-10-09,54.46,2.41,1.52%,2.20,3.516,0.000,"5,057",21.02%,21.76%  (  +0.72%),31.92%,"497,638",7,4,4,65,Beverages - Non-Alcoholic,"KO, 0.89(6M)"
DAL,USA,61.23,2025-10-09,63.07,1.80,11.26%,0.65,7.592,0.000,"4,669",39.90%,42.72%  (  +0.17%),20.45%,"967,884",6,5,5,96,Airlines,"UAL, 0.94(6M)"
11:21:53 AM,,,,,,,,,,,,,,,,,,,,
