SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
BBWI,USA,28.52,2025-08-28,41.96,1.15,-12.50%,0.82,9.885,9.905,"22,831",45.15%,42.27%  (  -16.04%),23.73%,"256,196",4,5,4,80,Specialty Retail,
OLLI,USA,128.63,2025-08-28,40.26,4.47,13.02%,3.38,9.977,11.033,"2,325",24.56%,35.38%  (  -14.12%),22.69%,"12,481",10,4,4,82,Discount Stores,
DKS,USA,213.38,2025-08-28,44.63,6.67,2.58%,1.26,9.418,7.249,"14,435",32.02%,34.24%  (  -10.62%),12.55%,"110,802",9,4,4,75,Specialty Retail,
HRL,USA,25.12,2025-08-28,23.91,0.82,-16.41%,1.16,5.410,4.086,"8,158",44.53%,34.05%  (  +0.83%),50.86%,"50,161",9,4,4,80,Packaged Foods,
DG,USA,111.31,2025-08-28,47.97,2.96,22.62%,0.59,9.642,8.191,"17,341",22.69%,27.51%  (  -16.22%),8.47%,"195,825",5,4,4,76,Discount Stores,
BURL,USA,298.08,2025-08-28,69.54,8.26,15.02%,1.75,8.365,8.083,"7,569",32.32%,30.69%  (  -13.72%),10.82%,"44,473",10,5,5,70,Apparel Retail,
ADSK,USA,290.05,2025-08-28,48.69,5.62,-0.03%,9.81,6.319,5.245,"2,243",22.29%,33.11%  (  -0.20%),37.17%,"46,120",8,5,5,80,Software - Application,
S,USA,17.36,2025-08-28,51.18,0.61,-15.26%,6.68,13.784,10.777,"6,311",50.62%,59.31%  (  -1.40%),50.02%,"298,818",5,4,4,78,Software - Infrastructure,
AFRM,USA,79.70,2025-08-28,61.25,3.51,31.60%,8.55,14.471,13.299,"19,673",57.11%,79.02%  (  -1.15%),35.30%,"485,956",10,4,4,75,Software - Infrastructure,
IREN,Australia,23.05,2025-08-28,69.34,1.56,102.02%,15.12,12.019,11.969,"54,294",74.46%,111.45%  (  +0.50%),52.84%,"1,802,099",9,4,4,82,Capital Markets,
DELL,USA,133.68,2025-08-28,53.91,3.73,17.77%,0.94,8.993,8.234,"33,760",37.06%,48.14%  (  -1.09%),30.93%,"648,815",6,4,4,85,Computer Hardware,
MRVL,USA,76.07,2025-08-28,53.84,2.79,-8.00%,10.10,9.933,9.830,"56,034",43.29%,62.66%  (  -1.30%),39.14%,"1,205,154",9,5,5,90,Semiconductors,
BABA,USA,120.96,2025-08-29,51.19,3.37,8.88%,1.96,5.027,6.060,"113,031",30.84%,45.22%  (  +0.35%),36.13%,"2,509,918",7,5,5,85,Internet Retail,
SIG,Bermuda,90.22,2025-09-02,62.46,3.35,26.50%,0.55,12.269,14.340,"1,285",46.90%,67.95%  (  +1.08%),68.28%,"28,290",8,4,4,85,Luxury Goods,
ZS,USA,280.85,2025-09-02,52.54,7.32,20.51%,17.18,9.207,10.871,"2,616",26.93%,55.32%  (  +1.23%),61.03%,"131,120",4,5,5,95,Software - Infrastructure,
