SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,IV,IvRank,Iv %ile,OI,Scr,Rank,Rank+,Er #
BTSG,USA,18.39,2025-03-06,32.25,0.84,0.30,12.111,13.788,32,65.06%  (  -26.00%),60.82%,41.84%,"2,177",5,5,5,80
TTC,USA,78.01,2025-03-06,41.95,2.10,1.71,8.327,8.417,712,40.39%  (  +0.45%),81.26%,26.56%,"4,453",7,4,4,70
BJ,USA,100.09,2025-03-06,46.77,2.99,0.64,8.507,8.742,"8,565",43.55%  (  -0.29%),98.76%,26.77%,"21,813",5,4,4,79
AVGO,USA,191.58,2025-03-06,35.57,10.86,17.47,7.306,9.288,"224,186",59.79%  (  -3.70%),78.34%,71.66%,"2,119,847",7,5,5,88
HPE,USA,18.89,2025-03-06,26.75,0.70,0.83,9.186,8.311,"12,894",51.24%  (  -5.35%),66.58%,35.20%,"371,015",9,4,4,85
GAP,USA,19.84,2025-03-06,30.04,1.04,0.49,6.389,12.060,"45,511",77.06%  (  +3.20%),78.57%,37.12%,"142,796",7,4,4,85
GWRE,USA,197.41,2025-03-06,43.64,5.80,15.91,9.032,12.383,224,59.17%  (  -1.54%),96.10%,38.62%,"11,939",4,5,5,80
COO,USA,91.33,2025-03-06,48.42,2.13,4.69,7.033,7.172,"2,025",37.07%  (  -2.81%),87.99%,26.08%,"11,843",7,5,4,82
KR,USA,62.53,2025-03-06,44.32,1.31,0.30,5.684,5.269,"33,487",32.52%  (  -0.04%),86.36%,20.58%,"217,225",5,4,4,72
ORCL,USA,161.56,2025-03-10,42.53,6.53,8.23,8.426,9.994,"36,335",52.38%  (  -2.33%),93.41%,59.52%,"658,646",9,4,4,85
VIK,Bermuda,47.85,2025-03-11,46.24,2.02,4.05,8.021,11.233,156,54.90%  (  +4.84%),91.05%,32.41%,"12,489",5,4,4,75
FERG,USA,170.66,2025-03-11,39.80,4.69,1.15,6.293,8.125,31,41.38%  (  -1.77%),92.65%,26.42%,"9,326",,5,5,75
DKS,USA,216.59,2025-03-11,39.56,7.87,1.31,9.679,10.421,"4,026",55.83%  (  +0.51%),82.91%,32.99%,"57,877",8,5,5,85
LEGN,USA,34.70,2025-03-11,44.22,1.87,12.24,10.361,11.039,666,67.00%  (  -4.15%),44.66%,49.50%,"8,096",8,5,4,70
S,USA,20.09,2025-03-12,31.03,0.91,8.38,15.492,13.784,"6,826",74.03%  (  +3.55%),65.36%,36.43%,"181,163",5,4,4,75
DOCU,USA,82.36,2025-03-13,35.62,3.33,5.71,11.115,11.707,"3,784",62.64%  (  -1.82%),87.84%,29.16%,"107,999",7,4,4,85
