SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
HDB,USA,0,2025-04-18,,,,,5.315,6.631,"7,976",24.88%,27.33%  (  -1.98%),36.65%,"28,601",7,4,4,70
IBN,USA,0,2025-04-29,,,,,3.890,5.643,"15,276",22.95%,23.73%  (  +0.41%),51.52%,"95,262",9,4,4,0
AGNC,USA,0,2025-04-21,,,,,4.125,3.898,"18,380",37.75%,33.43%  (  -2.13%),56.03%,"823,294",4,4,4,65
GPC,USA,0,2025-04-22,,,,,6.353,8.504,"1,251",39.79%,37.37%  (  -2.66%),68.28%,"18,730",8,4,4,65
MMM,USA,0,2025-04-22,,,,,6.421,7.229,"9,990",48.25%,46.88%  (  +1.11%),68.27%,"230,579",9,4,4,75
DHR,USA,0,2025-04-22,,,,,4.766,5.856,"3,141",48.94%,40.61%  (  -0.07%),54.92%,"126,124",7,5,5,70
GE,USA,0,2025-04-22,,,,,5.726,6.378,"8,473",54.44%,42.06%  (  -1.84%),45.44%,"263,836",9,5,5,85
DGX,USA,0,2025-04-22,,,,,5.881,7.316,"3,832",25.15%,30.85%  (  -1.53%),63.34%,"16,467",6,4,4,85
RTX,USA,0,2025-04-22,,,,,4.344,4.960,"6,642",38.93%,33.44%  (  +0.14%),48.57%,"206,132",10,5,5,82
PHM,USA,0,2025-04-22,,,,,5.017,5.785,"2,031",40.69%,42.50%  (  -5.92%),49.13%,"42,790",6,4,4,78
VZ,USA,0,2025-04-22,,,,,3.918,4.449,"49,027",34.36%,27.33%  (  unch),56.41%,"1,194,812",7,4,4,80
ELV,USA,0,2025-04-22,,,,,6.004,8.272,"5,954",30.42%,36.81%  (  +2.00%),70.42%,"41,936",8,5,5,75
LMT,USA,0,2025-04-22,,,,,3.733,5.052,"7,809",33.01%,31.72%  (  -0.90%),65.91%,"106,047",8,4,4,85
NOC,USA,0,2025-04-22,,,,,3.919,6.768,"1,397",30.87%,31.98%  (  -1.37%),58.20%,"36,007",7,4,4,85
PNR,Ireland,0,2025-04-22,,,,,6.385,8.902,"4,010",47.33%,37.72%  (  -1.77%),60.24%,"16,311",7,4,4,80
SYF,USA,0,2025-04-22,,,,,6.952,11.584,"1,224",76.41%,48.89%  (  -7.92%),43.93%,"77,706",9,4,5,75
BKR,USA,0,2025-04-22,,,,,6.602,10.028,"3,627",66.01%,44.55%  (  -4.40%),52.07%,"142,645",9,5,5,88
SAP,USA,0,2025-04-22,,,,,11.932,8.977,"3,303",43.37%,39.45%  (  -0.69%),64.39%,"32,497",9,5,5,90
STLD,USA,0,2025-04-22,,,,,5.917,9.853,663,54.65%,44.25%  (  -3.73%),45.12%,"40,888",10,5,5,78
EQT,USA,0,2025-04-22,,,,,4.425,6.220,"6,874",48.85%,47.90%  (  -1.92%),48.84%,"265,342",9,4,4,85
CB,Switzerland,0,2025-04-22,,,,,4.872,6.093,"1,403",29.74%,26.45%  (  +1.59%),41.61%,"36,004",7,4,4,85
COF,USA,0,2025-04-22,,,,,4.511,6.661,"5,149",69.50%,49.39%  (  -3.72%),50.83%,"206,113",10,5,4,72
ISRG,USA,0,2025-04-22,,,,,5.903,7.974,"5,374",61.47%,47.27%  (  +0.61%),61.94%,"95,362",9,4,5,82
CME,USA,0,2025-04-23,,,,,3.868,5.809,"1,874",23.11%,23.36%  (  -2.51%),44.17%,"54,876",9,4,4,88
NEE,USA,0,2025-04-23,,,,,3.951,5.211,"16,164",39.71%,36.80%  (  +1.35%),52.48%,"557,836",8,4,4,85
NSC,USA,0,2025-04-23,,,,,4.122,5.005,683,40.66%,33.99%  (  -5.08%),47.75%,"18,435",9,4,4,80
TEL,Ireland,0,2025-04-23,,,,,5.615,8.823,522,49.21%,38.98%  (  +0.91%),62.56%,"10,197",9,4,4,75
