SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
JPM,USA,0,2025-04-11,,,,,3.236,4.972,"116,845",47.44%,40.76%  (  -17.30%),58.84%,"762,399",7,4,4,90
WFC,USA,0,2025-04-11,,,,,4.088,5.985,"115,357",51.13%,44.14%  (  -9.87%),58.78%,"1,246,146",8,4,4,85
BK,USA,0,2025-04-11,,,,,4.484,6.528,"3,088",43.43%,42.18%  (  -22.85%),55.35%,"73,794",8,4,4,88
MS,USA,0,2025-04-15,,,,,3.448,7.895,"39,557",61.73%,47.53%  (  -24.36%),54.38%,"633,787",6,4,4,85
GS,USA,0,2025-04-14,,,,,3.705,7.926,"52,777",59.06%,46.20%  (  -20.25%),58.40%,"297,048",4,4,4,85
JNJ,USA,0,2025-04-15,,,,,2.659,4.399,"65,459",29.96%,27.50%  (  -7.66%),66.15%,"492,308",9,4,4,75
BAC,USA,0,2025-04-15,,,,,3.660,7.578,"444,875",54.42%,44.01%  (  -17.14%),59.95%,"2,868,648",7,5,5,80
ACI,USA,0,2025-04-15,,,,,6.681,6.309,"3,427",35.28%,39.79%  (  -6.38%),29.62%,"125,983",10,5,5,80
PNC,USA,0,2025-04-15,,,,,3.861,6.122,"2,606",43.33%,38.24%  (  -16.10%),54.46%,"43,276",9,4,4,85
C,USA,0,2025-04-15,,,,,3.596,8.285,"232,786",59.40%,48.98%  (  -18.39%),60.94%,"1,857,671",7,5,5,80
IBKR,USA,0,2025-04-15,,,,,4.558,8.113,"4,935",78.79%,52.67%  (  -27.59%),53.24%,"63,523",9,5,5,90
UAL,USA,0,2025-04-15,,,,,6.531,11.960,"59,687",103.12%,72.32%  (  -31.90%),56.09%,"666,676",6,5,4,85
TRV,USA,0,2025-04-16,,,,,4.928,6.490,941,34.07%,37.53%  (  -15.13%),60.61%,"14,101",10,4,4,85
USB,USA,0,2025-04-16,,,,,3.938,8.195,"8,341",47.62%,42.21%  (  -20.83%),52.66%,"221,016",4,4,4,82
PLD,USA,0,2025-04-16,,,,,4.365,6.949,"10,723",49.60%,43.83%  (  -15.22%),59.15%,"68,641",4,4,4,74
CFG,USA,0,2025-04-16,,,,,4.379,8.191,"1,385",56.20%,49.79%  (  -12.20%),67.88%,"66,900",5,4,4,80
FHN,USA,0,2025-04-16,,,,,5.189,8.716,854,60.01%,49.36%  (  -18.83%),61.45%,"40,605",7,4,5,70
ABT,USA,0,2025-04-16,,,,,3.897,5.919,"13,515",28.19%,32.56%  (  -9.34%),65.16%,"213,034",8,5,5,85
CSX,USA,0,2025-04-16,,,,,3.550,6.533,"3,952",35.06%,32.42%  (  -18.90%),45.92%,"142,438",9,4,5,65
SNV,USA,0,2025-04-16,,,,,3.398,9.799,656,65.90%,58.02%  (  -18.31%),65.50%,"10,416",4,4,4,75
KMI,USA,0,2025-04-16,,,,,2.685,6.849,"10,066",36.79%,42.65%  (  -7.73%),79.81%,"540,072",10,4,4,80
LVS,USA,0,2025-04-16,,,,,4.343,8.965,"10,184",51.94%,53.82%  (  -25.04%),55.93%,"289,901",8,4,5,80
PGR,USA,0,2025-04-11,,,,,2.611,5.588,"2,749",39.37%,36.10%  (  -13.97%),54.32%,"47,083",8,5,4,82
AXP,USA,0,2025-04-17,,,,,4.644,7.502,"14,581",58.78%,43.54%  (  -23.85%),52.24%,"240,443",6,4,4,85
ALLY,USA,0,2025-04-17,,,,,6.757,9.602,"5,920",54.49%,54.59%  (  -20.74%),59.86%,"113,805",7,4,4,74
