SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
MTB,USA,154.79,2025-04-14,33.81,7.80,-15.49%,1.90,4.436,7.976,573,46.11%,52.21%  (  +2.80%),85.60%,"10,005",7,4,4,70
GS,USA,482.66,2025-04-14,37.24,30.01,-11.41%,1.19,3.705,7.557,"21,563",59.88%,53.77%  (  -3.15%),73.95%,"325,087",4,4,4,90
BAC,USA,35.08,2025-04-15,32.30,1.94,-17.52%,1.34,3.660,7.500,"101,153",53.00%,51.57%  (  -1.63%),77.60%,"3,132,915",6,5,5,80
ACI,USA,21.08,2025-04-15,46.64,0.66,6.47%,0.15,6.681,5.806,515,35.51%,37.73%  (  -5.40%),27.78%,"125,176",10,5,5,80
JNJ,USA,149.59,2025-04-15,36.44,4.32,-4.45%,4.06,2.659,4.202,"11,370",29.98%,30.35%  (  -2.44%),78.77%,"522,003",9,4,4,75
C,USA,60.12,2025-04-15,34.51,3.75,-11.58%,0.66,3.596,7.917,"54,099",59.85%,56.88%  (  -1.60%),77.71%,"1,933,958",6,5,5,80
PNC,USA,149.10,2025-04-15,30.72,7.27,-19.45%,1.74,3.861,7.426,936,44.58%,47.98%  (  -1.41%),82.00%,"44,575",9,4,4,85
UAL,USA,62.23,2025-04-15,39.95,6.56,-15.64%,0.36,6.531,12.929,"10,902",106.72%,90.96%  (  +1.03%),81.75%,"694,988",7,5,4,85
IBKR,USA,166.02,2025-04-15,46.45,11.28,2.45%,7.47,4.558,9.052,846,79.34%,63.94%  (  -5.31%),72.34%,"66,366",8,5,5,88
USB,USA,36.68,2025-04-16,32.75,1.86,-20.17%,1.35,3.938,7.550,"2,965",48.93%,53.03%  (  -3.45%),77.25%,"223,053",4,4,4,82
PLD,USA,93.85,2025-04-16,32.32,4.68,-20.02%,10.87,4.365,7.433,"2,473",49.77%,54.00%  (  +3.04%),86.45%,"77,594",4,4,4,80
ASML,USA,657.60,2025-04-16,46.15,33.76,-15.51%,8.47,6.032,9.218,"6,831",61.27%,60.45%  (  -1.01%),71.35%,"167,044",7,4,4,85
ABT,USA,126.14,2025-04-16,44.86,3.77,7.30%,5.21,3.897,5.349,"3,700",28.29%,37.15%  (  -0.70%),81.25%,"215,283",8,5,5,85
CFG,USA,33.80,2025-04-16,32.45,2.19,-20.72%,1.19,4.379,8.843,"2,613",59.08%,58.82%  (  -2.05%),91.29%,"68,560",6,4,4,78
CSX,USA,27.50,2025-04-16,37.46,0.97,-16.99%,3.56,3.550,6.607,"3,811",35.83%,39.20%  (  -11.83%),65.31%,"145,322",9,4,5,65
AA,USA,24.08,2025-04-16,32.84,2.28,-33.96%,0.51,4.278,12.920,"3,124",79.86%,89.46%  (  -5.99%),81.96%,"292,590",4,4,5,75
KMI,USA,25.64,2025-04-16,38.42,1.05,3.06%,3.78,2.685,6.750,"5,801",35.82%,46.68%  (  +0.45%),90.33%,"546,864",10,4,4,80
LVS,USA,31.12,2025-04-16,26.87,1.88,-31.08%,1.95,4.343,10.016,"6,850",53.19%,64.67%  (  -9.49%),75.03%,"299,684",8,4,5,72
FITB,USA,33.11,2025-04-17,31.03,1.81,-21.48%,1.59,4.115,8.510,834,48.53%,54.25%  (  -0.46%),87.23%,"73,372",4,4,4,80
AXP,USA,246.09,2025-04-17,41.09,13.63,-10.51%,2.33,4.644,7.653,"5,096",60.34%,54.09%  (  -1.42%),73.36%,"242,884",7,4,4,85
RF,USA,18.46,2025-04-17,33.19,1.06,-19.95%,1.79,4.331,8.383,"1,529",51.55%,55.31%  (  +3.48%),85.16%,"111,111",6,4,4,70
KEY,USA,13.34,2025-04-17,33.35,0.85,-20.41%,1.59,4.626,9.212,"4,967",56.71%,61.30%  (  +3.79%),85.58%,"241,768",8,4,4,70
STT,USA,77.38,2025-04-17,33.90,3.97,-14.11%,1.05,5.230,8.076,641,50.51%,51.28%  (  +1.40%),67.12%,"34,560",4,4,4,85
ALLY,USA,30.53,2025-04-17,35.59,2.01,-18.69%,0.57,6.757,10.342,"1,114",57.47%,67.92%  (  +0.46%),85.65%,"113,688",7,4,4,74
SCHW,USA,74.93,2025-04-21,47.48,3.39,2.74%,5.37,4.958,9.981,"10,382",45.33%,52.15%  (  +1.18%),81.66%,"481,512",9,5,5,85
TFC,USA,34.77,2025-04-17,32.26,1.92,-19.87%,1.85,3.911,7.938,"3,430",52.95%,56.67%  (  +5.10%),85.31%,"264,547",6,4,4,65
NFLX,USA,913.82,2025-04-17,47.07,44.94,12.31%,10.05,8.223,11.244,"54,748",52.23%,59.69%  (  -0.02%),77.52%,"545,756",7,4,4,80
BX,USA,124.21,2025-04-17,38.04,8.95,-20.38%,12.15,4.033,9.645,"3,809",68.20%,70.57%  (  +1.11%),93.15%,"331,622",6,4,4,88
TSM,USA,155.49,2025-04-17,41.72,9.24,-15.64%,8.96,3.013,8.496,"100,851",60.13%,58.24%  (  -1.73%),64.13%,"1,991,418",10,5,5,85
AGNC,USA,8.03,2025-04-21,21.23,0.37,-18.99%,1.51,4.125,8.344,"44,679",35.85%,47.32%  (  -1.63%),95.39%,"792,189",6,4,4,65
DHR,USA,183.52,2025-04-22,37.81,8.77,-23.88%,5.50,4.766,9.284,873,47.52%,52.61%  (  -3.86%),81.77%,"123,187",8,5,5,70
SYF,USA,44.83,2025-04-22,36.67,3.55,-20.59%,0.84,6.952,16.613,"1,589",77.34%,69.30%  (  +5.69%),81.15%,"73,885",9,4,5,75
GE,USA,179.10,2025-04-22,40.59,9.20,-1.03%,4.20,5.726,9.735,"2,692",55.28%,53.92%  (  +1.04%),73.64%,"262,861",9,5,5,85
MMM,USA,132.95,2025-04-22,39.29,6.33,0.06%,2.70,6.421,10.265,902,48.76%,54.78%  (  -0.11%),84.72%,"233,158",9,4,4,75
IRDM,USA,23.96,2025-04-22,34.45,1.28,-16.06%,3.14,11.000,16.234,519,49.04%,66.51%  (  +3.52%),84.94%,"26,068",6,5,4,80
RTX,USA,127.00,2025-04-22,47.65,4.21,5.51%,2.10,4.344,7.220,"2,785",40.51%,40.31%  (  -0.20%),65.16%,"204,892",10,5,5,82
VZ,USA,0,2025-04-22,,,,,3.918,6.085,"30,351",35.50%,32.00%  (  -1.00%),76.56%,"1,176,806",8,4,4,80
SAP,USA,0,2025-04-22,,,,,11.932,10.785,684,45.10%,45.06%  (  -0.82%),81.93%,"30,749",9,5,5,90
COF,USA,0,2025-04-22,,,,,4.511,13.028,"1,523",72.51%,68.02%  (  +1.10%),84.85%,"208,328",10,5,4,72
ISRG,USA,0,2025-04-22,,,,,5.903,11.059,"1,741",63.27%,59.12%  (  +1.04%),86.83%,"100,073",7,4,5,82
EQT,USA,0,2025-04-22,,,,,4.425,11.346,"1,643",54.63%,64.18%  (  +1.45%),82.03%,"266,314",8,4,4,85
BKR,USA,0,2025-04-22,,,,,6.602,14.279,943,64.75%,60.35%  (  +0.20%),88.23%,"136,916",7,5,5,88
BA,USA,0,2025-04-23,,,,,5.109,10.740,"28,940",72.84%,60.36%  (  -1.57%),71.96%,"1,225,319",9,4,4,50
BSX,USA,0,2025-04-23,,,,,5.753,9.050,"2,448",43.67%,46.79%  (  +1.28%),84.50%,"255,719",7,5,5,88
APH,USA,0,2025-04-23,,,,,7.267,12.632,"2,213",54.92%,51.81%  (  -1.16%),89.11%,"80,954",8,5,4,88
T,USA,0,2025-04-23,,,,,4.502,7.309,"26,840",34.03%,38.42%  (  +5.33%),82.64%,"1,274,069",10,5,5,80
TMO,USA,0,2025-04-23,,,,,4.079,9.745,"1,296",41.34%,53.34%  (  -6.08%),85.85%,"64,620",8,5,5,80
VRT,USA,0,2025-04-23,,,,,10.541,18.925,"10,985",103.03%,102.43%  (  -7.20%),72.06%,"633,748",7,5,5,90
NEE,USA,0,2025-04-23,,,,,3.951,7.934,"3,744",38.74%,45.28%  (  +2.77%),80.56%,"553,399",7,4,5,85
TXN,USA,0,2025-04-23,,,,,4.948,11.350,"13,205",69.19%,64.78%  (  +4.55%),84.90%,"250,570",4,4,4,70
NOW,USA,0,2025-04-23,,,,,6.608,12.049,"2,711",63.94%,64.25%  (  +1.15%),78.94%,"102,024",8,5,5,88
IBM,USA,0,2025-04-23,,,,,6.193,9.519,"4,112",39.50%,49.66%  (  +1.54%),76.48%,"309,405",9,4,4,85
LRCX,USA,0,2025-04-23,,,,,3.717,12.508,"5,536",79.75%,70.26%  (  -1.82%),73.71%,"594,449",8,5,5,85
DFS,USA,0,2025-04-23,,,,,3.771,14.432,733,78.25%,83.31%  (  +1.17%),88.67%,"62,363",6,4,4,85
CMG,USA,0,2025-04-23,,,,,8.148,10.081,"20,466",45.33%,53.15%  (  -0.89%),74.56%,"1,001,668",5,5,5,85
ALK,USA,0,2025-04-23,,,,,7.083,18.304,"1,296",89.67%,76.98%  (  -0.88%),83.85%,"125,097",8,5,5,85
BMRN,USA,0,2025-04-23,,,,,7.718,12.746,766,46.61%,51.39%  (  -4.24%),87.17%,"39,146",9,5,5,88
