SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
RVTY,USA,94.70,2025-04-28,42.83,4.45,-17.92%,4.13,8.715,8.403,904,52.52%,40.25%  (  +0.30%),52.20%,659,6,4,4,70
WM,USA,226.32,2025-04-28,47.40,5.28,4.68%,4.13,4.143,5.293,542,23.60%,23.56%  (  -0.54%),55.29%,"33,744",8,4,4,88
TER,USA,77.51,2025-04-28,46.92,4.74,-33.58%,4.43,10.612,12.646,608,78.54%,56.49%  (  -2.36%),51.92%,"100,040",9,4,4,75
NUE,USA,115.99,2025-04-28,50.17,5.28,-16.07%,0.87,5.085,6.504,"1,712",61.25%,44.13%  (  -2.37%),45.71%,"123,114",9,4,4,78
NXPI,Netherlands,193.98,2025-04-28,55.85,10.69,-13.63%,3.90,6.447,8.219,"1,861",86.32%,47.00%  (  -4.20%),38.21%,"44,811",7,5,5,60
CDNS,USA,289.34,2025-04-28,65.19,12.16,3.84%,17.10,8.015,8.811,"2,464",57.22%,41.81%  (  -1.32%),41.40%,"44,633",9,5,5,81
SYY,USA,71.00,2025-04-29,45.78,1.84,-5.22%,0.43,5.368,6.029,569,31.56%,29.01%  (  -2.18%),56.52%,"54,652",8,5,5,75
SPOT,Luxembourg,611.51,2025-04-29,60.22,31.12,35.24%,7.24,10.172,11.266,"11,159",60.95%,61.34%  (  -0.35%),60.57%,"119,536",10,4,4,88
ARCC,USA,21.13,2025-04-29,51.77,0.66,-2.08%,4.84,3.512,5.725,"2,858",44.96%,27.77%  (  +1.12%),46.57%,"149,564",8,5,5,79
PYPL,USA,65.38,2025-04-29,52.41,2.62,-13.39%,2.01,8.805,9.011,"57,348",54.18%,46.71%  (  -1.07%),45.06%,"1,276,011",5,4,4,85
RCL,Liberia,211.75,2025-04-29,55.14,11.36,2.58%,3.49,5.936,8.392,"3,215",75.55%,49.94%  (  -0.65%),44.30%,"163,384",5,5,5,90
PFE,USA,22.98,2025-04-29,45.07,0.71,-15.11%,2.05,4.412,4.581,"135,832",30.40%,31.33%  (  -0.67%),38.72%,"3,338,719",9,4,4,85
GM,USA,47.44,2025-04-29,55.23,1.90,-3.27%,0.24,5.704,6.762,"31,134",45.53%,40.69%  (  -2.99%),44.08%,"822,774",4,4,4,78
KO,USA,71.68,2025-04-29,51.94,1.65,6.38%,6.60,2.437,3.542,"73,211",23.53%,22.10%  (  -0.89%),57.02%,"814,980",7,5,5,80
GLW,USA,44.25,2025-04-29,52.27,1.82,-3.84%,2.89,5.648,6.496,"2,304",54.08%,37.34%  (  -2.50%),49.87%,"276,131",8,5,5,85
SPGI,USA,480.79,2025-04-29,50.88,15.39,-4.37%,10.62,4.047,4.772,"2,201",42.28%,29.59%  (  -0.62%),45.40%,"31,313",7,5,5,85
THC,USA,122.28,2025-04-29,47.94,6.60,-14.27%,0.56,9.405,12.369,748,61.73%,56.95%  (  +0.03%),75.01%,"35,741",5,5,5,80
EPD,USA,31.12,2025-04-29,47.08,1.02,0.15%,1.21,2.366,3.641,"4,078",34.68%,22.95%  (  +0.02%),47.70%,"256,673",9,5,5,75
AZN,USA,69.45,2025-04-29,48.65,1.83,-5.84%,3.98,4.852,5.094,"1,877",32.96%,32.44%  (  +0.05%),52.87%,"143,163",9,5,4,80
CSGP,USA,83.09,2025-04-29,59.47,2.81,9.14%,12.81,8.909,9.748,782,43.21%,44.20%  (  -0.51%),65.84%,"79,634",9,4,4,90
STX,Ireland,83.75,2025-04-29,57.10,4.17,-13.60%,2.21,7.174,8.571,"1,930",75.02%,50.01%  (  -1.73%),41.55%,"150,747",5,5,5,80
V,USA,336.04,2025-04-29,51.57,10.43,9.83%,17.84,3.366,4.980,"8,136",39.78%,28.89%  (  -0.74%),43.13%,"317,452",7,5,5,85
OKE,USA,86.45,2025-04-29,45.92,3.74,-9.58%,2.49,9.090,7.366,533,59.10%,35.91%  (  -1.27%),39.68%,"101,952",7,4,4,85
SBUX,USA,83.71,2025-04-29,39.58,3.68,-11.71%,2.63,6.520,8.244,"17,571",56.35%,45.14%  (  -1.90%),54.35%,"581,899",8,4,4,60
FSLR,USA,141.28,2025-04-29,57.40,8.60,-24.66%,3.60,7.950,9.741,"20,557",62.46%,62.43%  (  -2.10%),52.02%,"516,383",10,5,5,80
BBIO,USA,35.99,2025-04-29,58.97,1.76,23.92%,30.80,8.150,14.562,"2,824",54.78%,54.01%  (  -6.81%),12.35%,"91,431",9,5,5,0
