SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
PNR,Ireland,80.36,2025-04-22,40.30,3.38,-14.26%,3.25,6.385,8.489,"4,010",47.32%,37.72%  (  -1.77%),60.24%,"16,311",5,4,4,86
GE,USA,181.79,2025-04-22,42.70,8.20,0.18%,4.26,5.726,6.410,"8,473",54.42%,42.07%  (  -1.84%),45.45%,"263,836",9,5,5,85
PHM,USA,94.95,2025-04-22,41.98,4.37,-21.13%,1.07,5.017,5.967,"2,043",40.70%,44.91%  (  -3.51%),56.88%,"42,790",8,4,4,78
MMM,USA,130.21,2025-04-22,37.59,5.73,-2.47%,2.64,6.421,7.264,"10,211",48.20%,46.05%  (  +0.29%),66.55%,"230,579",9,4,4,75
SYF,USA,47.87,2025-04-22,43.28,3.07,-15.25%,0.90,6.952,11.334,"1,224",76.47%,48.89%  (  -7.92%),43.93%,"77,706",9,4,5,70
NOC,USA,0,2025-04-22,,,,,3.919,6.967,"1,397",30.34%,31.98%  (  -1.37%),58.20%,"36,007",7,4,4,85
GPC,USA,0,2025-04-22,,,,,6.353,8.403,"1,251",39.57%,37.37%  (  -2.66%),68.28%,"18,730",9,4,4,65
VZ,USA,0,2025-04-22,,,,,3.918,4.544,"49,178",32.07%,26.31%  (  -1.02%),52.04%,"1,194,812",7,4,4,80
DHR,USA,0,2025-04-22,,,,,4.766,6.119,"3,141",49.08%,40.61%  (  -0.07%),54.92%,"126,124",7,5,5,70
DGX,USA,0,2025-04-22,,,,,5.881,7.258,"3,832",24.14%,30.85%  (  -1.53%),63.34%,"16,467",4,4,4,85
HAL,USA,0,2025-04-22,,,,,3.893,6.363,"20,640",74.54%,47.30%  (  -4.64%),54.29%,"510,103",8,5,4,72
ELV,USA,0,2025-04-22,,,,,6.004,8.317,"5,954",30.10%,36.81%  (  +2.00%),70.42%,"41,936",9,5,5,75
RTX,USA,0,2025-04-22,,,,,4.344,4.971,"6,642",38.96%,33.46%  (  +0.17%),48.63%,"206,132",9,5,5,82
LMT,USA,0,2025-04-22,,,,,3.733,5.169,"7,809",32.23%,31.72%  (  -0.90%),65.91%,"106,047",7,4,4,80
