SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
HRL,,30.38,2025-05-30,56.74,0.69,-0.99%,1.40,5.410,0.000,,,,,,,,,,Packaged Foods,
ZS,,251.11,2025-05-30,66.44,6.69,26.48%,17.09,9.207,0.000,,,,,,,,,,Software - Infrastructure,
CRDO,,63.83,2025-06-02,72.75,3.37,28.56%,32.57,21.846,21.642,,,,,,,,,,Semiconductors,
DG,,97.07,2025-06-03,55.40,2.78,15.33%,0.52,9.685,8.962,,,,,,,,,,Discount Stores,
SIG,,66.89,2025-06-03,59.73,2.66,-9.98%,0.41,11.456,13.460,,,,,,,,,,Luxury Goods,
FERG,,183.08,2025-06-03,63.51,3.94,-1.38%,1.20,6.843,6.841,,,,,,,,,,Industrial Distribution,
OLLI,,111.75,2025-06-03,48.90,4.69,8.39%,2.99,9.487,11.433,,,,,,,,,,Discount Stores,
HQY,,100.98,2025-06-03,64.40,3.23,9.30%,7.26,8.477,10.020,,,,,,,,,,Health Information Services,
CRWD,,458.81,2025-06-03,61.23,16.99,30.61%,29.27,9.624,8.702,,,,,,,,,,Software - Infrastructure,
DLTR,,90.58,2025-06-04,63.88,2.70,21.96%,0.68,12.298,9.749,,,,,,,,,,Discount Stores,
PVH,,84.82,2025-06-04,60.86,3.33,-5.22%,0.47,11.576,11.064,,,,,,,,,,Apparel Manufacturing,
MDB,,189.36,2025-06-04,57.11,6.84,-23.08%,7.68,13.517,2.237,,,,,,,,,,Software - Infrastructure,
CIEN,,81.55,2025-06-05,68.80,2.68,15.48%,2.81,11.459,12.744,,,,,,,,,,Communication Equipment,
TTC,,76.01,2025-06-05,59.16,1.70,-5.39%,1.66,8.538,8.275,,,,,,,,,,Tools & Accessories,
RBRK,,95.38,2025-06-05,81.17,3.64,67.54%,20.76,19.038,21.036,,,,,,,,,,Software - Infrastructure,
IOT,,45.78,2025-06-05,57.93,1.58,-0.03%,20.73,16.060,14.362,,,,,,,,,,Software - Infrastructure,
AVGO,,241.97,2025-06-05,75.12,7.90,26.33%,20.79,7.327,8.479,,,,,,,,,,Semiconductors,
LULU,,317.09,2025-06-05,59.32,10.07,-0.30%,3.70,9.756,10.448,,,,,,,,,,Apparel Retail,
RH,,184.14,2025-06-05,43.16,12.46,-39.83%,1.08,13.375,17.699,,,,,,,,,,Specialty Retail,
ASO,,41.20,2025-06-10,47.73,1.73,-18.17%,0.45,9.674,10.862,,,,,,,,,,Specialty Retail,
CNM,,54.73,2025-06-10,60.03,1.49,11.39%,1.45,11.133,9.309,,,,,,,,,,Industrial Distribution,
GTLB,,45.68,2025-06-10,42.01,2.17,-17.26%,9.88,15.728,15.517,,,,,,,,,,Software - Infrastructure,
CHWY,,44.41,2025-06-11,75.13,1.33,33.03%,1.56,12.474,10.844,,,,,,,,,,Internet Retail,
SAIL,,17.37,2025-06-11,44.52,0.91,-10.74%,11.22,4.186,14.280,,,,,,,,,,Software - Infrastructure,
KR,,66.95,2025-06-12,40.32,1.55,8.94%,0.30,5.659,6.287,,,,,,,,,,Grocery Stores,
UEC,,6.01,2025-06-16,58.04,0.40,-4.64%,38.55,6.243,12.705,,,,,,,,,,Uranium,
ORCL,,162.90,2025-06-17,64.29,4.37,0.77%,8.19,8.738,8.855,,,,,,,,,,Software - Infrastructure,
JBL,,168.55,2025-06-19,70.90,4.55,22.75%,0.66,9.422,8.527,,,,,,,,,,Electronic Components,
CCL,,23.16,2025-06-19,63.20,0.85,7.06%,1.18,7.658,10.560,,,,,,,,,,Travel Services,
FDX,,220.26,2025-06-24,49.44,5.89,-15.75%,0.60,9.046,9.749,,,,,,,,,,Integrated Freight & Logistics,
MU,,96.80,2025-06-25,63.99,3.62,1.85%,3.45,11.387,14.183,,,,,,,,,,Semiconductors,
NKE,,61.44,2025-06-26,52.13,2.02,-16.64%,1.89,8.788,10.278,,,,,,,,,,Footwear & Accessories,
STZ,,179.71,2025-06-26,39.20,4.21,-15.18%,3.13,4.822,0.000,,,,,,,,,,Beverages - Brewers,
LEVI,,17.74,2025-07-03,57.56,0.60,0.78%,1.11,11.877,12.629,,,,,,,,,,Apparel Manufacturing,
PGR,,277.30,2025-07-10,48.10,5.66,8.11%,2.07,2.117,0.000,,,,,,,,,,Insurance - Property & Casualty,
DAL,,48.50,2025-07-10,53.64,1.94,-9.19%,0.51,7.622,0.000,,,,,,,,,,Airlines,
09:45:49 AM,,,,,,,,,,,,,,,,,,,,
