SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
MNSO,USA,20.79,2025-03-21,48.49,1.06,2.63,13.083,7.336,"2,076",61.94%,61.20%  (  -0.27%),46.84%,"20,537",8,5,4,80
CCL,Panama,21.20,2025-03-21,44.03,1.09,1.10,8.400,6.368,"136,418",52.42%,50.45%  (  -4.63%),54.51%,"1,250,920",6,4,4,85
KBH,USA,61.27,2025-03-24,44.81,1.90,0.63,8.274,10.120,"8,163",29.64%,43.77%  (  -0.03%),65.63%,"62,380",4,4,4,80
OKLO,USA,27.77,2025-03-24,43.64,3.81,-,10.810,15.841,"36,514",126.64%,108.78%  (  -5.60%),30.55%,"343,141",8,5,4,78
RUM,USA,7.74,2025-03-25,35.86,0.68,55.05,15.304,12.935,"4,094",66.88%,91.40%  (  -2.37%),46.82%,"199,885",5,4,4,65
CNM,USA,48.51,2025-03-25,44.15,1.61,1.34,11.130,12.037,"1,775",27.58%,55.86%  (  +4.13%),77.21%,"11,192",4,4,4,72
CHWY,USA,32.32,2025-03-26,40.21,1.74,1.15,13.550,12.177,"9,044",47.97%,67.24%  (  -2.74%),32.41%,"258,306",10,5,5,75
DLTR,USA,64.59,2025-03-26,39.46,2.99,0.44,11.142,13.545,"65,000",42.20%,70.29%  (  -2.97%),70.67%,"375,806",6,4,4,62
JEF,USA,59.18,2025-03-26,40.71,2.27,1.15,6.434,9.421,"1,200",37.54%,45.14%  (  +2.27%),80.49%,"34,839",5,5,4,
BRZE,USA,36.05,2025-03-27,46.24,1.77,6.61,16.016,15.188,268,51.54%,69.24%  (  +0.56%),70.80%,"12,971",5,5,5,78
LULU,USA,324.45,2025-03-27,36.56,12.77,4.04,9.874,10.635,"19,761",35.12%,58.84%  (  +0.12%),81.24%,"176,573",9,4,5,88
PVH,USA,64.83,2025-03-31,26.39,2.86,0.41,10.959,13.960,"3,481",30.75%,62.80%  (  +1.68%),92.94%,"19,526",4,4,4,80
LEVI,USA,15.80,2025-04-02,38.20,0.62,0.98,7.756,11.179,"1,635",38.01%,47.75%  (  -3.24%),75.57%,"38,390",7,4,4,78
STZ,USA,178.88,2025-04-09,48.14,5.23,3.17,3.710,8.777,"2,469",28.18%,40.90%  (  -0.17%),87.16%,"88,099",9,4,4,70
TBBB,Virgin Islands (British),25.65,2025-03-24,46.99,1.08,0.95,8.984,11.113,70,38.47%,53.80%  (  +3.67%),19.75%,869,7,4,4,80
DAL,USA,46.95,2025-04-09,32.15,2.60,0.49,6.093,9.829,"33,599",50.38%,49.41%  (  -1.24%),60.05%,"919,050",7,5,5,85
FAST,USA,75.51,2025-04-11,49.45,1.70,5.74,5.666,6.655,389,24.97%,29.48%  (  -1.02%),63.75%,"44,674",6,4,4,75
JPM,USA,239.01,2025-04-11,40.68,6.52,2.36,3.236,5.951,"68,313",28.77%,28.79%  (  -0.04%),58.76%,"797,479",8,4,5,88
MS,USA,120.47,2025-04-15,44.56,4.12,1.88,3.448,7.679,"29,587",37.92%,33.68%  (  -1.25%),59.44%,"600,692",5,4,4,85
BK,USA,83.93,2025-04-11,49.03,2.04,1.52,4.484,6.434,"1,388",24.02%,30.42%  (  +0.11%),70.49%,"78,844",7,4,4,85
WFC,USA,72.52,2025-04-11,47.00,2.26,1.89,4.088,7.763,"33,405",32.22%,34.85%  (  -0.43%),59.98%,"1,221,481",6,4,4,80
STT,USA,90.52,2025-04-11,44.56,2.42,1.23,5.230,6.960,921,26.45%,31.42%  (  +1.96%),68.28%,"34,209",4,4,4,85
MTB,USA,176.91,2025-04-14,38.65,4.54,2.17,4.436,7.320,254,21.85%,32.44%  (  -0.03%),70.93%,"10,080",4,4,4,70
PNC,USA,173.41,2025-04-15,34.41,4.34,2.02,3.861,6.207,"1,227",23.97%,27.74%  (  -0.20%),61.99%,"48,633",8,4,4,80
