SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,IV,IvRank,Iv %ile,OI,Scr,Rank,Rank+,Er #
S,USA,18.75,2025-03-12,28.92,1.05,7.82,15.492,14.799,"33,032",82.22%  (  -0.53%),79.53%,43.96%,"187,430",5,4,4,75
ADBE,USA,433.66,2025-03-12,41.15,10.67,8.77,7.681,8.453,"28,012",49.74%  (  -0.68%),97.52%,21.37%,"320,641",6,4,4,80
DOCU,USA,79.50,2025-03-13,33.88,3.56,5.51,11.115,11.649,"6,962",66.55%  (  +1.11%),100.00%,30.96%,"98,418",8,4,5,85
RBRK,USA,53.82,2025-03-13,30.46,4.35,12.41,13.880,23.219,"6,462",114.19%  (  +2.09%),100.00%,61.45%,"40,912",6,5,5,75
SMTC,USA,32.20,2025-03-13,33.57,3.47,3.26,18.656,18.099,"1,287",100.87%  (  -5.35%),88.95%,136.85%,"70,924",4,5,5,65
TXT,USA,73.65,2025-04-24,48.05,1.84,0.98,5.781,0.000,161,31.78%  (  +1.50%),100.00%,25.07%,"14,602",4,4,4,68
TME,USA,12.21,2025-03-18,45.82,0.68,2.21,10.672,11.466,"2,847",65.41%  (  -3.10%),70.63%,63.92%,"86,638",7,5,4,88
STNE,Cayman Islands,9.18,2025-03-18,46.50,0.41,2.76,10.284,11.899,"1,314",73.30%  (  -2.37%),42.70%,42.77%,"150,661",4,4,4,85
SIG,Bermuda,47.26,2025-03-19,33.36,2.80,0.30,10.865,14.807,"1,084",84.09%  (  +4.40%),99.06%,45.57%,"30,006",6,4,4,65
OLLI,USA,101.08,2025-03-19,45.25,4.16,2.75,9.602,11.080,89,58.80%  (  -2.44%),92.70%,37.64%,"15,477",6,5,5,85
ASO,USA,46.78,2025-03-20,35.21,2.12,0.54,9.822,10.874,"1,895",60.63%  (  +1.14%),100.00%,36.58%,"21,350",7,4,4,60
JBL,USA,132.44,2025-03-20,23.22,4.89,0.53,9.320,10.307,846,53.31%  (  -2.66%),92.34%,29.86%,"36,732",8,5,5,80
NKE,USA,74.17,2025-03-20,42.47,2.31,2.24,8.882,10.381,"85,289",51.35%  (  unch),100.00%,37.36%,"1,227,933",8,4,4,60
FDX,USA,242.96,2025-03-20,35.25,6.74,0.67,8.815,9.482,"6,267",48.92%  (  +1.29%),68.33%,33.79%,"173,144",8,4,4,60
MU,USA,89.05,2025-03-20,44.18,5.23,3.41,11.304,13.420,"137,750",73.05%  (  -2.77%),93.21%,56.59%,"1,888,457",7,5,5,68
ACN,Ireland,327.79,2025-03-20,21.83,8.33,3.09,6.067,7.687,"8,210",41.18%  (  +1.39%),99.95%,24.23%,"76,151",9,4,4,78
CCL,Panama,19.10,2025-03-26,23.52,1.16,0.99,8.400,12.408,"70,761",64.58%  (  -1.41%),95.88%,51.43%,"1,164,868",6,4,5,75
MNSO,USA,19.92,2025-03-21,41.84,0.99,2.52,13.083,11.797,257,67.67%  (  -0.93%),60.24%,56.96%,"19,042",9,5,4,80
OKLO,USA,25.47,2025-03-24,36.78,4.59,-,10.810,26.844,"35,810",137.52%  (  +0.62%),53.04%,134.63%,"327,997",7,5,4,78
KBH,USA,62.64,2025-03-19,46.30,2.02,0.65,8.274,12.173,"1,373",48.27%  (  -1.82%),83.72%,31.55%,"61,213",4,4,4,80
CNM,USA,46.55,2025-03-18,25.49,1.72,1.29,11.130,8.110,771,56.01%  (  -1.80%),77.62%,23.22%,"10,431",6,4,4,72
CHWY,USA,33.20,2025-03-26,40.99,1.93,1.18,13.550,15.617,"24,490",73.26%  (  -7.30%),39.34%,47.06%,"244,909",9,5,5,75
DLTR,USA,65.69,2025-03-26,34.62,3.06,0.45,11.142,15.733,"11,125",76.91%  (  -2.23%),80.22%,35.32%,"349,636",4,4,4,62
