SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,IV,IvRank,Iv %ile,OI,Scr,Rank,Rank+,Er #
BRZE,USA,33.60,2025-03-27,32.40,1.85,6.17,16.016,18.806,442,71.97%  (  +0.05%),76.08%,48.60%,"11,518",5,5,5,78
RUM,USA,7.79,2025-03-26,29.79,0.83,55.41,15.304,17.007,"2,907",101.46%  (  -4.87%),53.03%,61.00%,"199,349",7,4,4,65
JEF,USA,54.41,2025-03-26,21.43,2.57,1.06,6.434,12.498,845,47.87%  (  -3.43%),89.12%,34.81%,"31,109",7,5,4,0
LULU,USA,319.42,2025-03-20,23.21,13.76,3.98,9.874,7.498,"18,245",66.74%  (  +4.71%),100.00%,32.25%,"168,364",9,4,5,88
SMPL,USA,35.86,2025-04-03,41.53,1.04,2.66,9.306,10.655,14,47.13%  (  +5.89%),78.42%,22.37%,"4,177",7,4,4,75
LW,USA,51.53,2025-04-03,35.49,1.90,1.16,10.078,15.525,"6,600",58.08%  (  -2.05%),74.11%,31.84%,"108,807",4,4,4,50
LEVI,USA,16.23,2025-04-02,34.81,0.65,1.01,7.756,13.247,607,52.65%  (  +0.10%),90.88%,36.01%,"37,712",8,4,4,78
DAL,USA,46.68,2025-04-09,21.46,2.90,0.49,6.093,14.025,"123,692",61.07%  (  -3.00%),91.82%,45.51%,"904,089",5,5,5,85
JPM,USA,229.14,2025-04-11,23.35,7.00,2.27,3.236,0.000,"81,499",36.60%  (  -1.14%),94.73%,26.33%,"728,277",5,4,5,88
MS,USA,112.04,2025-04-15,25.75,4.44,1.71,3.448,0.000,"23,948",43.25%  (  -0.81%),96.85%,35.08%,"579,977",4,4,4,85
WFC,USA,67.28,2025-04-11,26.64,2.50,1.75,4.088,0.000,"64,460",43.83%  (  -1.48%),94.35%,29.06%,"1,127,293",5,4,4,80
BK,USA,81.05,2025-04-11,36.27,2.17,1.46,4.484,0.000,"2,974",31.77%  (  -3.91%),82.07%,22.26%,"75,615",6,4,4,85
MTB,USA,171.17,2025-04-21,22.79,4.77,2.10,4.436,0.000,204,37.24%  (  -0.05%),99.30%,20.62%,"9,837",6,4,4,75
GS,USA,531.43,2025-04-21,25.71,20.54,1.31,3.705,0.000,"28,658",40.32%  (  -1.01%),95.73%,31.49%,"251,555",4,4,4,82
PNC,USA,170.06,2025-04-15,23.00,4.87,1.98,3.861,0.000,"2,155",33.10%  (  +0.62%),100.00%,22.34%,"47,464",8,4,4,80
BAC,USA,39.61,2025-04-15,24.30,1.29,1.51,3.660,0.000,"206,520",36.04%  (  +1.47%),100.00%,27.81%,"2,607,316",6,5,5,80
C,USA,67.50,2025-04-15,25.55,2.62,0.74,3.596,0.000,"102,415",40.62%  (  -2.30%),89.82%,33.42%,"1,755,072",6,5,5,85
CFG,USA,39.91,2025-04-16,24.58,1.47,1.40,4.379,0.000,"1,042",41.99%  (  -1.15%),94.13%,25.70%,"68,031",4,4,4,80
LVS,USA,44.82,2025-04-16,49.95,1.49,2.84,4.343,0.000,"3,500",41.16%  (  +1.09%),85.63%,42.56%,"333,692",5,4,5,80
ASML,USA,690.21,2025-04-16,42.17,25.86,8.89,6.032,0.000,"9,790",45.58%  (  -1.17%),71.17%,41.66%,"156,864",7,4,4,82
STLD,USA,120.76,2025-04-22,36.67,4.68,1.03,5.917,0.000,"1,981",44.41%  (  -0.93%),84.60%,34.73%,"46,142",10,4,5,78
DFS,USA,157.77,2025-04-16,26.36,7.28,1.68,3.771,0.000,612,58.92%  (  +0.97%),100.00%,37.80%,"41,568",7,4,4,80
EFX,USA,239.45,2025-04-16,40.03,7.09,5.23,5.463,0.000,99,39.72%  (  +0.13%),90.63%,34.76%,"5,677",4,5,5,70
AA,USA,31.96,2025-04-16,39.28,1.58,0.67,4.278,0.000,"8,852",56.45%  (  -3.40%),79.70%,46.91%,"254,935",4,4,4,73
KMI,USA,26.41,2025-04-16,43.84,0.75,3.89,2.685,0.000,"5,951",43.41%  (  +7.88%),100.00%,20.80%,"587,392",8,4,4,80
SNV,USA,43.82,2025-04-16,18.74,1.81,1.80,3.398,0.000,58,46.37%  (  +1.23%),83.33%,31.44%,"11,267",9,4,4,75
BKR,USA,41.85,2025-04-22,38.65,1.41,1.49,6.602,0.000,"1,355",36.45%  (  -2.18%),87.05%,32.06%,"135,515",9,5,5,88
LBRT,USA,14.39,2025-04-16,24.30,0.80,0.54,5.345,0.000,250,57.02%  (  +3.86%),94.51%,43.48%,"31,870",6,4,4,72
NDAQ,USA,72.29,2025-04-24,26.91,2.01,5.62,5.387,0.000,"1,014",33.67%  (  +1.74%),100.00%,23.58%,"41,118",8,4,4,77
REXR,USA,39.57,2025-04-16,43.11,1.05,9.67,3.774,0.000,111,35.29%  (  +2.62%),63.82%,22.27%,"7,638",8,4,4,75
RF,USA,20.99,2025-04-18,23.02,0.63,2.03,4.331,0.000,"1,134",36.15%  (  -2.62%),78.68%,21.99%,"103,893",7,4,4,78
AXP,USA,255.39,2025-04-18,19.54,8.60,2.42,4.644,0.000,"18,597",38.88%  (  -0.15%),99.29%,24.56%,"218,027",7,4,4,85
FITB,USA,38.23,2025-04-18,22.58,1.12,1.84,4.115,0.000,"1,465",36.18%  (  +0.27%),94.55%,20.06%,"81,788",4,4,4,80
HBAN,USA,14.40,2025-04-18,23.53,0.46,1.77,3.546,0.000,"1,072",38.19%  (  -0.22%),93.94%,22.91%,"74,747",7,4,4,80
KEY,USA,15.16,2025-04-17,25.85,0.58,1.83,4.626,0.000,"5,037",35.67%  (  -6.26%),51.10%,27.67%,"199,753",7,4,4,70
ALK,USA,53.64,2025-04-17,23.86,3.45,0.56,7.083,0.000,"6,956",62.10%  (  -1.66%),95.19%,50.67%,"153,023",8,5,5,85
HOMB,USA,27.68,2025-04-17,30.93,0.71,3.76,8.284,0.000,10,51.34%  (  +9.53%),72.64%,21.21%,"1,184",7,4,4,80
BX,USA,138.14,2025-04-17,23.74,5.75,13.51,4.033,0.000,"22,305",47.02%  (  -2.50%),90.25%,31.92%,"297,443",7,4,4,88
UNP,USA,237.78,2025-04-24,40.70,5.01,5.98,3.214,0.000,"3,197",25.84%  (  +1.91%),87.64%,19.82%,"102,838",9,4,4,88
KNX,USA,46.36,2025-04-23,27.95,1.70,1.01,7.766,0.000,"1,385",41.09%  (  -2.31%),87.76%,24.25%,"25,803",6,4,4,70
INFY,USA,18.97,2025-04-17,22.06,0.41,4.12,4.935,0.000,"26,897",34.71%  (  +1.05%),82.00%,16.81%,"76,755",8,4,4,88
DHR,USA,205.61,2025-04-22,40.51,5.51,6.16,4.766,0.000,"7,149",29.81%  (  -2.38%),85.26%,35.43%,"113,545",7,4,5,70
FCX,USA,35.88,2025-04-22,44.60,1.69,2.05,3.841,0.000,"38,623",50.67%  (  +0.67%),100.00%,48.57%,"1,057,926",4,4,4,78
WAL,USA,73.65,2025-04-17,28.85,3.41,1.62,6.749,0.000,872,50.71%  (  -2.23%),85.91%,40.70%,"38,140",8,5,5,75
PNR,Ireland,86.06,2025-04-22,26.17,2.47,3.47,6.385,0.000,"1,201",31.34%  (  -3.41%),68.49%,22.79%,"11,204",6,4,4,79
BANC,USA,13.30,2025-04-22,28.26,0.51,1.19,9.683,0.000,187,47.56%  (  +0.54%),67.94%,31.87%,"22,136",8,5,5,70
PPG,USA,113.43,2025-04-17,45.30,3.04,1.48,3.979,0.000,373,30.03%  (  -1.25%),92.46%,30.47%,"44,193",10,4,4,80
TSM,USA,170.97,2025-04-17,33.86,7.57,9.85,3.013,0.000,"96,238",44.65%  (  -3.43%),46.66%,43.42%,"1,684,637",10,5,5,85
ISRG,USA,493.72,2025-04-17,28.97,20.00,21.08,5.903,0.000,"4,854",41.16%  (  -1.24%),94.98%,34.83%,"79,143",8,5,5,78
IRDM,USA,29.33,2025-04-17,43.27,1.10,3.84,11.000,0.000,150,47.81%  (  +2.54%),34.14%,51.34%,"24,193",8,5,4,80
ALLY,USA,33.45,2025-04-17,29.99,1.29,0.63,6.757,0.000,"3,990",42.56%  (  -0.73%),72.27%,27.94%,"116,356",9,4,4,70
SLB,,40.08,2025-04-18,45.79,1.30,1.50,3.361,0.000,"15,091",36.21%  (  +0.81%),70.55%,29.11%,"705,026",5,5,5,85
FNB,USA,13.08,2025-04-16,22.63,0.41,1.82,4.130,0.000,1,81.48%  (  +12.18%),74.71%,25.80%,"4,278",8,5,5,87
SCHW,USA,72.47,2025-04-21,33.18,2.37,5.20,4.958,0.000,"21,058",33.61%  (  -3.41%),61.57%,26.43%,"468,295",10,4,4,80
GE,USA,191.72,2025-04-22,40.11,5.82,4.49,5.726,0.000,"9,379",36.98%  (  -0.59%),69.51%,25.54%,"226,100",9,5,5,85
PHM,USA,105.84,2025-04-22,47.01,3.29,1.19,5.017,0.000,"2,971",40.91%  (  -1.47%),90.30%,34.15%,"44,172",8,4,4,78
DGX,USA,168.15,2025-04-22,48.31,4.00,1.89,5.881,0.000,400,28.30%  (  -0.45%),95.97%,26.16%,"16,659",5,4,4,88
IBKR,USA,170.34,2025-04-15,28.70,10.11,7.66,4.558,0.000,"7,190",54.62%  (  -4.58%),87.93%,56.55%,"57,707",8,5,5,88
NFLX,USA,895.10,2025-04-17,37.52,35.16,9.85,8.223,0.000,"104,000",41.47%  (  -0.81%),68.19%,35.62%,"517,386",8,4,4,85
FHN,USA,18.19,2025-04-16,28.37,0.72,1.90,5.189,0.000,387,42.77%  (  -1.25%),88.47%,33.05%,"34,502",7,4,5,70
PLD,USA,117.18,2025-04-16,42.47,2.80,13.58,4.365,0.000,"4,662",31.27%  (  +0.38%),62.37%,18.28%,"55,889",6,4,4,82
OMC,USA,82.51,2025-04-15,45.60,2.27,1.03,3.757,0.000,287,31.70%  (  +0.15%),95.07%,22.44%,"18,082",9,4,4,88
UNH,USA,486.04,2025-04-15,45.38,15.29,1.11,4.588,0.000,"13,654",34.00%  (  -0.90%),74.44%,32.24%,"304,160",7,5,5,76
CSX,USA,29.52,2025-04-16,24.68,0.70,3.85,3.550,0.000,"4,860",28.51%  (  +0.87%),50.50%,21.09%,"122,435",7,4,4,65
UAL,USA,76.06,2025-04-15,27.25,5.57,0.44,6.531,0.000,"49,266",68.09%  (  +0.13%),100.00%,50.73%,"762,057",10,5,5,85
GEV,USA,284.21,2025-04-24,34.57,22.18,2.24,8.763,0.000,"11,265",66.74%  (  -3.37%),89.75%,64.42%,"136,102",7,5,5,85
IBM,USA,248.95,2025-04-23,47.16,7.21,3.68,6.193,0.000,"33,469",33.76%  (  +1.89%),75.71%,43.59%,"317,917",7,4,4,85
AR,USA,35.86,2025-04-23,45.23,1.62,2.58,5.087,0.000,"3,090",50.02%  (  -1.12%),92.45%,41.02%,"152,862",6,4,4,85
RJF,USA,139.70,2025-04-23,28.15,4.40,1.86,6.159,0.000,272,36.92%  (  -0.48%),97.70%,25.03%,"11,717",8,4,4,80
SLM,USA,28.45,2025-04-23,40.35,1.13,1.98,8.187,0.000,619,43.61%  (  -1.80%),55.87%,32.09%,"47,315",9,5,5,78
MTH,USA,74.47,2025-04-23,47.88,2.59,0.84,5.638,0.000,94,46.58%  (  +1.25%),81.42%,35.42%,"5,520",5,4,4,75
SPOT,Luxembourg,508.44,2025-04-22,35.35,28.84,6.02,10.172,0.000,"10,371",54.62%  (  -3.37%),84.91%,58.33%,"118,817",10,4,4,78
EQT,USA,49.11,2025-04-22,48.18,2.11,5.62,4.425,0.000,"16,652",44.32%  (  -1.19%),91.23%,43.16%,"324,477",10,4,4,90
WAB,USA,175.92,2025-04-23,34.97,5.33,2.89,5.413,0.000,59,30.86%  (  -1.86%),89.63%,38.02%,"5,745",6,5,5,75
NSC,USA,232.98,2025-04-23,34.09,5.77,4.35,4.122,0.000,263,30.99%  (  -0.74%),82.13%,22.64%,"19,042",10,4,4,80
META,USA,605.71,2025-04-23,33.91,24.69,9.33,8.394,0.000,"368,047",43.05%  (  -2.66%),62.72%,29.68%,"2,035,496",10,5,5,85
BA,USA,154.06,2025-04-23,34.13,6.65,1.74,5.109,0.000,"104,703",44.09%  (  -1.75%),74.57%,38.38%,"1,088,821",8,4,4,50
TEL,Ireland,144.56,2025-04-23,40.89,3.85,2.72,5.615,0.000,"2,444",32.35%  (  +0.58%),92.79%,25.15%,"9,524",10,4,4,78
LRCX,USA,73.36,2025-04-23,39.08,3.71,5.81,3.717,0.000,"24,262",53.71%  (  +0.83%),81.02%,46.92%,"535,647",6,4,5,82
ETR,USA,82.38,2025-04-23,47.44,2.25,2.98,2.705,0.000,"1,109",32.61%  (  +0.67%),100.00%,28.61%,"39,690",5,4,4,85
FTI,UK,25.88,2025-04-24,33.03,1.14,1.20,8.373,0.000,166,42.45%  (  -1.58%),63.20%,37.22%,"20,065",9,5,5,88
APH,USA,61.64,2025-04-23,35.35,2.30,4.90,7.267,0.000,"1,246",39.75%  (  +0.35%),84.88%,31.38%,"72,983",5,5,4,85
NLY,USA,20.97,2025-04-23,47.70,0.41,1.91,2.212,0.000,"9,701",47.02%  (  +11.78%),92.30%,20.68%,"115,375",9,4,5,80
TMO,USA,514.20,2025-04-23,37.31,12.94,4.52,4.079,0.000,"1,208",28.92%  (  +0.19%),89.02%,28.81%,"48,910",9,5,5,79
NOW,USA,808.40,2025-04-23,26.37,36.80,15.16,6.608,0.000,"12,616",44.75%  (  -1.43%),94.13%,48.39%,"97,885",10,5,5,88
BSX,USA,95.52,2025-04-23,34.87,2.70,8.42,5.753,0.000,"12,610",37.97%  (  +1.88%),100.00%,25.34%,"222,798",10,5,5,90
VRT,USA,83.12,2025-04-23,36.90,8.04,3.95,10.541,0.000,"39,133",80.25%  (  -4.53%),76.02%,78.75%,"594,861",8,5,5,90
HES,USA,144.61,2025-04-24,48.67,3.80,3.46,2.678,0.000,196,27.39%  (  +0.09%),64.08%,26.16%,"40,412",9,4,4,0
EPRT,USA,31.11,2025-04-23,41.34,0.76,13.01,7.567,0.000,3,33.80%  (  -1.90%),42.46%,18.67%,947,6,4,4,80
VLO,USA,123.03,2025-04-24,37.81,4.89,0.30,3.264,0.000,"5,155",41.28%  (  -2.62%),85.38%,38.52%,"148,711",9,5,5,60
MBLY,USA,14.83,2025-04-24,40.68,1.15,7.28,14.445,0.000,"5,393",89.96%  (  +7.37%),72.55%,63.49%,"335,567",5,4,4,70
HON,USA,208.59,2025-04-24,42.80,4.50,3.52,3.551,0.000,"7,434",27.44%  (  -1.26%),79.65%,24.77%,"200,989",5,4,4,75
EBC,USA,15.44,2025-04-24,24.64,0.53,3.08,8.736,0.000,31,48.78%  (  +6.64%),57.65%,29.12%,"1,620",7,4,4,75
SSNC,USA,81.52,2025-04-24,36.09,1.89,3.42,5.817,0.000,16,27.40%  (  -0.90%),79.96%,25.17%,"5,925",5,5,5,80
VALE,USA,9.40,2025-04-23,46.55,0.28,1.05,8.423,0.000,"70,262",30.14%  (  -2.04%),32.68%,32.30%,"1,608,931",8,4,5,80
NEM,USA,43.42,2025-04-24,48.86,1.43,2.63,4.950,0.000,"28,216",39.04%  (  -0.31%),67.35%,37.29%,"953,859",4,4,4,65
ROKU,USA,69.64,2025-04-24,34.34,5.37,2.47,15.252,0.000,"20,701",60.94%  (  -8.22%),49.39%,67.57%,"246,210",9,4,4,85
AAL,USA,11.46,2025-04-24,18.85,0.71,0.14,7.441,0.000,"220,379",55.99%  (  -3.37%),81.28%,41.71%,"2,992,604",10,4,4,70
STM,USA,24.92,2025-04-24,49.05,1.07,1.67,9.184,0.000,"1,709",47.67%  (  -3.47%),78.15%,58.34%,"178,850",4,4,4,60
RCL,Liberia,207.17,2025-04-24,30.29,11.33,3.38,5.936,0.000,"12,386",54.85%  (  +0.95%),100.00%,55.78%,"182,731",6,5,5,85
XEL,USA,68.73,2025-04-24,49.39,1.41,2.93,4.741,0.000,363,25.24%  (  +0.72%),66.40%,18.43%,"19,454",9,4,4,68
KLAC,USA,664.22,2025-04-24,37.21,28.79,8.15,6.933,0.000,741,48.72%  (  -0.58%),67.20%,35.57%,"24,395",8,4,4,82
PCG,USA,16.19,2025-04-24,49.92,0.43,1.45,3.146,0.000,"9,129",36.42%  (  -4.68%),48.98%,26.69%,"734,512",5,4,4,75
ORI,USA,36.66,2025-04-24,47.75,0.68,1.11,5.017,0.000,38,27.80%  (  +1.86%),41.22%,18.08%,"2,663",8,4,4,80
CMCSA,USA,35.95,2025-04-24,49.55,0.91,1.10,5.072,0.000,"23,732",30.84%  (  -1.83%),68.76%,41.51%,"549,562",8,4,4,80
WDC,USA,41.80,2025-04-24,32.86,2.27,0.93,5.834,0.000,"30,533",45.38%  (  -13.25%),64.16%,47.77%,"362,471",8,5,4,70
CARR,USA,65.65,2025-04-24,49.30,2.10,2.36,7.384,0.000,703,35.62%  (  -1.16%),65.74%,32.92%,"109,730",9,5,5,78
COF,USA,165.40,2025-04-24,26.76,7.01,1.18,4.511,0.000,"6,992",46.46%  (  -2.47%),90.97%,35.53%,"146,848",10,4,4,68
CUZ,USA,28.21,2025-04-24,33.65,0.79,5.52,8.159,0.000,2,49.97%  (  +11.06%),54.57%,25.11%,459,8,4,4,85
DXCM,USA,70.26,2025-04-24,23.17,3.10,6.81,10.100,0.000,"6,467",50.97%  (  +2.91%),46.54%,40.78%,"130,332",8,5,5,80
ASX,USA,9.47,2025-04-24,38.37,0.38,1.11,8.103,0.000,8,68.45%  (  +19.00%),52.04%,42.88%,"6,234",7,4,4,75
TMUS,USA,256.67,2025-04-24,49.58,6.91,3.60,3.845,0.000,"10,631",31.07%  (  +2.05%),100.00%,32.89%,"201,810",5,4,4,0
FTV,USA,74.20,2025-04-23,29.39,1.60,4.05,6.067,0.000,643,29.30%  (  +2.78%),56.59%,18.14%,"3,154",7,4,4,85
FTAI,Cayman Islands,105.58,2025-04-24,42.58,10.26,6.20,10.248,0.000,"20,753",92.61%  (  -0.76%),73.51%,92.02%,"119,270",6,5,5,68
TBBB,Virgin Islands (British),24.50,2025-03-17,31.90,1.13,0.91,8.984,8.776,2,55.52%  (  +4.16%),21.51%,38.57%,512,8,4,4,80
SPGI,USA,480.00,2025-04-24,28.49,10.98,10.40,4.047,0.000,"5,309",27.21%  (  +0.08%),96.05%,23.66%,"24,971",8,5,5,85
FE,USA,39.15,2025-04-24,45.07,0.94,1.68,4.037,0.000,336,23.91%  (  +0.15%),62.69%,36.92%,"61,472",7,4,4,70
AVTR,USA,16.93,2025-04-25,40.60,0.74,1.70,8.377,0.000,768,42.30%  (  -4.43%),49.16%,52.46%,"41,448",9,5,5,72
PSX,USA,123.55,2025-04-25,48.21,4.15,0.35,3.081,0.000,"1,525",38.14%  (  +0.09%),100.00%,34.46%,"74,050",9,4,4,75
WY,USA,29.58,2025-04-24,44.93,0.75,3.01,5.267,0.000,676,30.14%  (  -1.20%),90.56%,22.71%,"26,818",9,5,5,75
CVX,USA,154.08,2025-04-25,48.29,3.64,1.40,2.334,0.000,"35,374",27.71%  (  +0.65%),95.81%,24.57%,"549,143",8,5,5,82
XOM,USA,109.16,2025-04-25,49.55,2.77,1.39,2.212,0.000,"51,978",26.44%  (  -2.35%),77.91%,26.46%,"971,034",5,4,5,80
AZN,USA,74.24,2025-04-24,49.95,1.26,4.26,4.852,0.000,"3,812",26.66%  (  +5.20%),57.32%,19.68%,"181,095",10,5,5,80
SYF,USA,51.99,2025-04-23,22.17,2.40,0.97,6.952,0.000,"1,065",50.23%  (  +0.46%),100.00%,33.69%,"89,672",10,4,5,75
SHW,USA,353.02,2025-04-22,46.65,8.33,3.84,6.201,0.000,"1,426",30.78%  (  +0.21%),99.81%,20.64%,"17,091",7,4,4,78
UPS,USA,116.36,2025-04-22,43.58,2.65,1.09,6.095,0.000,"34,201",26.78%  (  +0.43%),41.37%,47.51%,"409,786",7,4,4,80
V,USA,332.14,2025-04-22,35.95,6.93,17.63,3.366,0.000,"31,016",27.11%  (  +1.19%),87.61%,18.88%,"280,836",8,5,5,92
CMG,USA,49.98,2025-04-23,32.73,1.80,5.99,8.148,0.000,"37,488",40.02%  (  -0.86%),58.98%,29.11%,"1,089,443",4,5,5,85
HAL,USA,24.66,2025-04-22,39.36,0.85,0.93,3.893,0.000,"10,807",42.19%  (  +3.45%),100.00%,31.94%,"406,292",6,4,5,75
MSFT,USA,380.45,2025-04-24,32.85,9.92,10.80,4.911,0.000,"250,053",30.85%  (  -0.23%),78.65%,27.54%,"2,204,391",9,5,5,85
ONB,USA,20.13,2025-04-22,22.32,0.71,2.17,7.597,0.000,48,41.75%  (  +3.66%),54.02%,29.21%,"6,545",10,5,5,80
CNC,USA,58.57,2025-04-25,47.16,2.02,0.18,5.655,0.000,"16,720",48.29%  (  +2.11%),85.68%,37.39%,"108,608",10,4,4,80
GOOGL,USA,164.04,2025-04-24,31.26,5.34,5.75,6.498,0.000,"342,314",36.64%  (  -0.97%),84.69%,34.64%,"2,890,183",8,4,4,85
EDU,USA,49.01,2025-04-23,46.85,2.05,1.66,11.190,0.000,248,56.50%  (  -1.39%),68.93%,51.68%,"31,303",4,4,4,70
FI,USA,213.41,2025-04-22,36.41,5.46,5.86,4.678,0.000,"4,223",32.44%  (  -1.31%),93.24%,31.21%,"52,910",9,5,5,85
TER,USA,87.07,2025-04-23,25.46,5.99,5.00,10.612,0.000,"50,920",53.35%  (  +0.54%),87.27%,64.68%,"48,589",9,4,5,76
WM,USA,224.21,2025-04-23,46.66,4.04,4.09,4.143,0.000,588,20.49%  (  -0.36%),55.35%,22.54%,"36,625",8,4,4,88
MTDR,USA,47.00,2025-04-22,31.54,2.15,1.69,7.482,0.000,756,46.32%  (  -2.52%),89.14%,42.36%,"60,501",10,5,5,85
WFRD,Ireland,52.26,2025-04-22,27.51,3.02,0.69,9.903,0.000,63,58.16%  (  -4.27%),86.08%,53.87%,"4,136",9,4,4,70
GOOG,USA,165.98,2025-04-24,31.55,5.35,5.75,6.490,0.000,"165,450",36.32%  (  -1.10%),84.47%,33.85%,"1,363,443",7,5,5,85
WBS,USA,48.72,2025-04-22,25.87,1.88,2.00,6.526,0.000,918,44.32%  (  -1.45%),83.35%,31.81%,"4,589",5,5,5,80
TRU,USA,82.30,2025-04-24,32.24,3.30,3.84,9.198,0.000,"1,901",43.56%  (  -2.27%),81.80%,39.19%,"11,146",7,4,4,82
IP,USA,49.38,2025-04-24,30.86,1.75,1.40,4.634,0.000,"1,627",41.50%  (  +1.05%),78.06%,34.62%,"88,236",10,4,4,80
BALL,USA,52.31,2025-04-25,49.77,1.36,1.25,6.609,0.000,131,33.19%  (  +0.48%),90.66%,31.16%,"30,970",5,4,4,65
08:32:28 PM,,,,,,,,,,,,,,,,,
