SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,IV,IvRank,Iv %ile,OI,Scr,Rank,Rank+,Er #
DOCU,USA,80.71,2025-03-13,38.50,3.45,5.60,11.115,11.627,"1,022",65.62%  (  -0.94%),97.71%,25.66%,"100,703",7,4,5,85
SMTC,USA,33.08,2025-03-13,35.54,3.35,3.35,18.656,17.358,42,99.73%  (  -1.14%),87.07%,135.42%,"71,467",4,5,5,65
RBRK,USA,57.74,2025-03-13,38.74,4.47,13.31,13.880,22.282,666,111.99%  (  -2.20%),96.84%,62.19%,"44,149",7,5,5,75
TXT,USA,72.95,2025-04-24,45.59,1.85,0.97,5.781,0.000,654,30.49%  (  -1.29%),91.98%,24.18%,"14,612",4,4,4,68
TME,USA,12.10,2025-03-18,44.80,0.66,2.19,10.672,10.955,302,64.39%  (  -1.02%),68.25%,64.03%,"86,305",7,5,4,88
STNE,Cayman Islands,9.11,2025-03-18,45.19,0.40,2.74,10.284,11.900,169,55.92%  (  -17.37%),24.33%,42.78%,"151,390",5,4,4,85
SIG,Bermuda,47.50,2025-03-19,34.20,2.69,0.30,10.865,14.391,69,77.47%  (  -6.62%),86.43%,45.87%,"30,517",6,4,4,65
OLLI,USA,101.26,2025-03-19,45.61,4.05,2.75,9.602,11.368,7,59.39%  (  +0.60%),94.48%,37.51%,"15,508",6,5,5,85
JBL,USA,134.80,2025-03-20,27.91,4.82,0.54,9.320,10.004,71,51.72%  (  -1.59%),87.75%,29.98%,"36,886",8,5,5,80
ASO,USA,45.04,2025-03-20,31.13,2.12,0.52,9.822,10.607,273,58.29%  (  -2.33%),93.33%,37.00%,"22,835",7,5,5,60
FDX,USA,240.61,2025-03-20,33.68,6.53,0.66,8.815,9.424,"2,317",49.23%  (  +0.31%),69.01%,33.76%,"173,646",8,4,4,60
NKE,USA,73.92,2025-03-20,41.83,2.24,2.23,8.882,10.042,"18,580",52.40%  (  +1.04%),100.00%,37.24%,"1,245,901",7,4,4,60
ACN,Ireland,324.68,2025-03-20,20.66,8.14,3.06,6.067,7.650,648,41.06%  (  -0.12%),99.45%,23.63%,"75,488",9,4,4,78
CCL,Panama,19.56,2025-03-21,27.61,1.14,1.01,8.400,10.544,"11,667",64.71%  (  +0.13%),96.25%,46.15%,"1,198,277",6,4,5,75
MNSO,USA,21.02,2025-03-21,49.35,1.02,2.66,13.083,11.758,461,67.46%  (  -0.21%),59.81%,59.77%,"19,055",7,5,4,80
OKLO,USA,26.12,2025-03-24,37.98,4.45,-,10.810,27.471,"9,593",141.38%  (  +3.85%),56.06%,132.18%,"338,034",7,5,4,78
KBH,USA,61.25,2025-03-24,41.98,2.01,0.63,8.274,12.469,135,47.87%  (  -0.40%),82.13%,31.20%,"60,873",4,4,4,80
CNM,USA,47.94,2025-03-18,36.02,1.74,1.33,11.130,14.083,62,51.72%  (  -4.29%),65.90%,24.89%,"11,092",6,4,4,72
CHWY,USA,33.48,2025-03-26,42.15,1.90,1.19,13.550,15.513,"3,133",75.28%  (  +2.02%),41.66%,47.72%,"253,005",9,5,5,75
DLTR,USA,65.65,2025-03-26,34.54,2.93,0.45,11.142,15.841,"5,558",77.53%  (  +0.62%),81.11%,35.41%,"351,634",4,4,4,62
RUM,USA,8.08,2025-03-26,33.53,0.81,57.47,15.304,16.951,641,103.93%  (  +2.47%),54.56%,62.43%,"199,933",7,4,4,65
JEF,USA,55.66,2025-03-26,26.22,2.51,1.08,6.434,12.163,673,48.19%  (  +0.32%),90.12%,35.78%,"31,455",8,5,4,0
LULU,USA,320.89,2025-03-20,24.55,13.24,4.00,9.874,7.105,"2,074",65.18%  (  -1.56%),96.31%,31.62%,"169,551",9,4,5,88
SMPL,USA,35.34,2025-04-03,38.31,1.02,2.62,9.306,10.289,14,47.13%  (  +5.89%),78.42%,20.92%,"4,177",7,5,4,75
LW,USA,50.88,2025-04-03,33.67,1.82,1.15,10.078,15.581,148,60.80%  (  +2.71%),79.70%,30.84%,"106,844",6,4,4,50
LEVI,USA,16.29,2025-04-02,35.76,0.63,1.01,7.756,13.037,45,51.75%  (  -0.90%),88.07%,35.94%,"37,820",7,4,4,78
DAL,USA,44.79,2025-04-09,19.80,2.92,0.47,6.093,13.689,"15,688",60.05%  (  -1.03%),89.03%,45.76%,"940,541",4,5,5,85
MS,USA,113.69,2025-04-15,29.30,4.35,1.74,3.448,0.000,"3,696",41.14%  (  -2.11%),88.61%,35.55%,"580,868",6,4,4,85
JPM,USA,229.60,2025-04-11,24.05,6.88,2.27,3.236,8.223,"20,685",35.53%  (  -1.07%),89.81%,26.42%,"747,933",5,4,5,88
BK,USA,79.82,2025-04-11,33.68,2.19,1.44,4.484,8.493,536,36.11%  (  +4.34%),100.00%,22.31%,"76,699",5,4,4,85
WFC,USA,68.54,2025-04-11,31.81,2.45,1.78,4.088,10.650,"12,156",42.60%  (  -1.23%),89.65%,30.08%,"1,139,274",6,4,4,80
STT,USA,84.93,2025-04-11,21.76,2.64,1.16,5.230,9.112,97,36.55%  (  -1.19%),94.01%,25.31%,"33,058",5,4,4,85
GS,USA,535.07,2025-04-21,27.50,20.05,1.32,3.705,0.000,"5,773",38.44%  (  -1.88%),87.77%,31.73%,"254,840",4,4,4,82
MTB,USA,170.18,2025-04-21,22.10,4.70,2.09,4.436,0.000,50,37.39%  (  +0.16%),100.00%,20.64%,"9,816",6,4,4,75
BAC,USA,39.65,2025-04-15,24.70,1.27,1.52,3.660,0.000,"41,018",34.88%  (  -1.16%),93.45%,28.02%,"2,654,658",6,5,5,80
C,USA,67.88,2025-04-15,27.11,2.56,0.75,3.596,0.000,"23,186",38.42%  (  -2.20%),80.10%,33.76%,"1,777,971",5,5,5,85
PNC,USA,170.64,2025-04-15,24.33,4.74,1.99,3.861,0.000,467,31.27%  (  -1.83%),87.02%,22.65%,"47,875",8,4,4,80
USB,USA,41.33,2025-04-16,23.97,1.22,1.52,3.938,0.000,"1,418",33.22%  (  -2.40%),55.83%,23.51%,"224,216",5,4,5,82
CFG,USA,39.90,2025-04-16,24.54,1.43,1.40,4.379,0.000,96,40.59%  (  -1.40%),86.96%,25.79%,"68,426",4,4,4,80
BKR,USA,42.50,2025-04-22,42.50,1.38,1.51,6.602,0.000,230,36.11%  (  -0.34%),85.01%,32.58%,"136,151",9,5,5,88
EFX,USA,234.96,2025-04-16,36.71,7.16,5.13,5.463,0.000,41,38.20%  (  -1.52%),82.00%,35.47%,"5,720",4,5,5,70
KMI,USA,26.60,2025-04-16,46.81,0.73,3.92,2.685,0.000,"2,052",32.84%  (  -10.57%),66.27%,21.00%,"589,362",8,4,4,80
ABT,USA,131.66,2025-04-16,47.73,2.88,5.44,3.897,0.000,"1,480",27.29%  (  +1.01%),85.42%,21.72%,"177,929",7,5,5,85
AA,USA,32.59,2025-04-16,42.71,1.54,0.69,4.278,0.000,"2,404",56.17%  (  -0.28%),78.44%,47.48%,"258,366",4,4,4,73
STLD,USA,122.89,2025-04-22,41.04,4.57,1.05,5.917,0.000,572,43.92%  (  -0.49%),82.13%,32.86%,"47,476",10,4,5,78
LVS,USA,43.65,2025-04-16,44.16,1.50,2.77,4.343,0.000,"3,326",42.90%  (  +1.73%),93.39%,43.47%,"335,470",5,4,5,80
REXR,USA,39.60,2025-04-16,43.34,1.01,9.68,3.774,0.000,21,35.19%  (  -0.09%),63.52%,22.26%,"7,659",8,4,4,75
DFS,USA,163.54,2025-04-16,33.30,7.34,1.74,3.771,0.000,"3,596",57.18%  (  -1.75%),95.58%,40.63%,"41,071",7,4,4,80
LBRT,USA,14.21,2025-04-16,23.47,0.77,0.53,5.345,0.000,140,55.05%  (  -1.96%),91.01%,43.32%,"31,872",6,4,4,72
SNV,USA,44.76,2025-04-16,24.97,1.76,1.84,3.398,0.000,4,46.69%  (  +0.32%),84.50%,32.59%,"11,307",8,4,4,75
ASML,USA,702.45,2025-04-16,45.31,25.01,9.04,6.032,0.000,"2,496",42.77%  (  -2.81%),59.81%,41.67%,"159,639",7,4,4,82
NDAQ,USA,72.92,2025-04-24,29.96,1.98,5.67,5.387,0.000,127,31.57%  (  -2.10%),88.06%,23.86%,"41,442",8,4,4,77
KEY,USA,15.38,2025-04-17,30.29,0.56,1.85,4.626,0.000,519,37.06%  (  +1.39%),56.72%,28.11%,"202,201",8,4,4,70
AXP,USA,257.18,2025-04-18,21.83,8.46,2.44,4.644,0.000,"2,360",36.49%  (  -2.39%),88.20%,25.12%,"222,222",8,4,4,85
RF,USA,20.82,2025-04-18,22.09,0.63,2.01,4.331,0.000,143,37.29%  (  +1.14%),84.35%,21.96%,"103,985",8,4,4,78
HBAN,USA,14.43,2025-04-18,24.16,0.45,1.78,3.546,0.000,167,37.07%  (  -1.12%),88.13%,22.99%,"74,619",7,4,4,80
FITB,USA,38.11,2025-04-18,22.22,1.10,1.83,4.115,0.000,51,34.33%  (  -1.85%),83.02%,20.24%,"78,997",4,4,4,80
TSM,USA,176.71,2025-04-17,39.81,7.54,10.18,3.013,0.000,"38,532",42.05%  (  -2.61%),37.60%,41.85%,"1,710,789",10,5,5,85
WAL,USA,75.25,2025-04-17,33.32,3.32,1.65,6.749,0.000,36,47.78%  (  -2.93%),73.71%,39.60%,"38,052",8,5,5,75
PNR,Ireland,86.97,2025-04-22,30.11,2.44,3.51,6.385,0.000,1,30.55%  (  -0.79%),64.49%,23.09%,"11,328",5,4,4,79
ALK,USA,52.06,2025-04-17,22.51,3.43,0.55,7.083,0.000,426,61.19%  (  -0.91%),92.55%,50.41%,"152,883",9,5,5,85
HOMB,USA,27.69,2025-04-17,31.09,0.70,3.76,8.284,0.000,10,51.34%  (  +9.53%),72.64%,21.26%,"1,184",7,4,4,80
DHR,USA,205.77,2025-04-22,40.79,5.38,6.16,4.766,0.000,986,31.05%  (  +1.25%),92.99%,35.50%,"115,014",6,4,5,70
BX,USA,141.04,2025-04-17,29.10,5.73,13.80,4.033,0.000,967,44.85%  (  -2.17%),81.81%,32.71%,"310,884",7,4,4,88
KNX,USA,45.92,2025-04-23,26.84,1.65,1.00,7.766,0.000,2,41.42%  (  +0.33%),89.36%,24.24%,"26,623",6,4,4,70
GPC,USA,121.11,2025-04-17,46.44,3.22,0.72,6.353,0.000,24,31.22%  (  +0.30%),66.78%,23.63%,"15,943",8,4,5,62
INFY,USA,18.58,2025-04-17,19.56,0.43,4.03,4.935,0.000,461,34.53%  (  -0.18%),81.13%,17.72%,"85,915",8,4,4,88
