SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,IV,IvRank,Iv %ile,OI,Scr,Rank,Rank+,Er #
BANC,USA,13.81,2025-04-22,37.42,0.52,1.23,9.683,0.000,2,41.38%  (  -6.18%),48.18%,33.97%,"22,230",8,5,5,70
FCX,USA,36.49,2025-04-22,47.09,1.67,2.09,3.841,0.000,"8,557",46.75%  (  -3.92%),81.42%,48.59%,"1,064,826",4,4,4,78
IRDM,USA,28.43,2025-04-17,38.62,1.11,3.73,11.000,0.000,41,51.00%  (  +3.19%),40.97%,51.51%,"24,272",8,5,4,80
ISRG,USA,512.71,2025-04-17,36.65,20.41,21.89,5.903,0.000,"1,971",38.57%  (  -2.59%),84.47%,36.55%,"80,824",8,5,5,78
PPG,USA,112.55,2025-04-17,43.34,2.96,1.47,3.979,0.000,78,30.46%  (  +0.44%),95.10%,30.43%,"44,207",10,4,4,80
UNP,USA,235.81,2025-04-24,38.59,4.92,5.93,3.214,0.000,742,25.66%  (  -0.19%),86.05%,19.23%,"103,070",9,4,4,88
ALLY,USA,33.53,2025-04-17,30.70,1.25,0.63,6.757,0.000,337,40.82%  (  -1.74%),65.61%,28.17%,"117,046",9,4,4,70
SLB,,40.03,2025-04-18,45.53,1.26,1.50,3.361,0.000,"1,347",34.83%  (  -1.38%),63.93%,28.08%,"713,730",4,4,4,85
HCA,USA,315.14,2025-04-25,46.63,11.17,1.10,8.224,0.000,22,37.66%  (  +0.50%),77.23%,36.03%,"50,367",7,4,4,80
SCHW,USA,73.80,2025-04-21,38.25,2.36,5.29,4.958,0.000,"9,733",34.88%  (  +1.27%),68.11%,27.95%,"480,427",10,4,4,80
FNB,USA,13.19,2025-04-16,25.76,0.41,1.84,4.130,0.000,1,81.48%  (  +12.18%),74.71%,26.16%,"4,278",8,5,5,87
PHM,USA,103.69,2025-04-22,42.66,3.26,1.17,5.017,0.000,305,40.51%  (  -0.39%),87.69%,33.72%,"43,080",7,4,4,78
GE,USA,194.23,2025-04-22,44.21,5.72,4.55,5.726,0.000,"1,917",34.97%  (  -2.01%),59.54%,25.71%,"227,607",9,5,5,85
DGX,USA,164.56,2025-04-22,42.91,3.99,1.85,5.881,0.000,552,28.32%  (  +0.02%),96.10%,26.34%,"16,815",5,4,4,88
EWBC,USA,84.81,2025-04-22,22.22,2.76,2.63,7.216,0.000,122,42.17%  (  +0.19%),100.00%,25.01%,"3,119",7,5,5,80
NFLX,USA,916.60,2025-04-17,42.35,34.94,10.09,8.223,0.000,"30,960",39.25%  (  -2.22%),60.66%,36.44%,"531,845",8,4,4,85
UNH,USA,483.19,2025-04-15,44.21,14.65,1.10,4.588,0.000,"1,814",33.80%  (  -0.20%),73.56%,32.25%,"307,051",7,5,5,76
CSX,USA,29.49,2025-04-16,24.52,0.67,3.84,3.550,0.000,644,26.33%  (  -2.18%),41.41%,19.84%,"123,841",7,4,4,65
TRV,USA,249.86,2025-04-16,49.33,5.46,1.22,4.928,0.000,127,28.65%  (  -0.89%),75.40%,20.65%,"13,241",9,4,4,85
PLD,USA,117.26,2025-04-16,42.76,2.68,13.59,4.365,0.000,40,29.41%  (  -1.87%),50.10%,18.18%,"55,844",6,4,4,82
IBKR,USA,173.47,2025-04-15,31.54,9.90,7.81,4.558,0.000,574,52.77%  (  -1.84%),83.07%,56.58%,"59,800",8,5,5,88
UAL,USA,72.27,2025-04-15,24.87,5.74,0.41,6.531,0.000,"14,466",64.49%  (  -3.60%),90.14%,51.83%,"781,728",10,5,5,85
OMC,USA,79.76,2025-04-15,38.16,2.35,1.00,3.757,0.000,250,32.45%  (  +0.75%),99.60%,23.77%,"18,087",9,4,4,88
FHN,USA,18.60,2025-04-16,33.61,0.71,1.94,5.189,0.000,61,39.25%  (  -3.52%),75.34%,34.24%,"34,446",7,4,5,70
T,USA,25.19,2025-04-23,44.14,0.72,1.48,4.502,0.000,"45,443",32.25%  (  +2.63%),100.00%,28.80%,"1,213,336",10,5,5,80
GEV,USA,296.37,2025-04-24,39.46,22.30,2.34,8.763,0.000,"4,880",66.24%  (  -0.49%),88.24%,62.22%,"139,097",7,5,5,85
IBM,USA,248.40,2025-04-23,46.65,7.10,3.67,6.193,0.000,"4,868",31.92%  (  -1.84%),68.02%,43.61%,"323,067",9,4,4,85
TMO,USA,518.18,2025-04-23,40.03,12.48,4.56,4.079,0.000,212,29.07%  (  +0.15%),90.05%,28.84%,"49,372",9,5,5,79
FTI,UK,26.17,2025-04-24,35.40,1.10,1.21,8.373,0.000,135,41.62%  (  -0.83%),61.29%,37.44%,"20,165",7,5,4,88
MTH,USA,72.82,2025-04-23,43.94,2.53,0.82,5.638,0.000,1,45.01%  (  -1.58%),74.76%,35.05%,"5,579",5,4,4,75
VRT,USA,85.17,2025-04-23,38.98,7.92,4.05,10.541,0.000,"7,610",78.75%  (  -1.50%),72.80%,78.04%,"608,132",6,5,5,90
META,USA,623.00,2025-04-23,40.37,24.90,9.60,8.394,0.000,"139,983",40.87%  (  -2.17%),55.07%,30.18%,"2,071,915",10,5,5,85
BG,Switzerland,72.61,2025-04-23,46.02,2.26,0.18,6.216,0.000,104,33.54%  (  +0.90%),76.60%,31.23%,"53,392",5,4,4,65
RJF,USA,140.76,2025-04-23,30.67,4.29,1.88,6.159,0.000,453,35.81%  (  -1.11%),92.41%,24.71%,"11,810",8,4,4,80
LRCX,USA,76.04,2025-04-23,44.74,3.68,6.02,3.717,0.000,"3,713",51.01%  (  -2.70%),72.09%,47.88%,"540,903",6,4,5,82
WAB,USA,175.92,2025-04-23,34.97,5.18,2.89,5.413,0.000,1,29.69%  (  -1.18%),83.07%,37.95%,"5,758",6,5,5,75
BSX,USA,97.55,2025-04-23,41.08,2.73,8.60,5.753,0.000,923,33.51%  (  -4.47%),80.83%,26.14%,"226,494",10,5,5,90
BA,USA,155.17,2025-04-23,35.59,6.55,1.76,5.109,0.000,"24,719",42.57%  (  -1.52%),67.66%,38.15%,"1,107,741",8,4,4,50
EQT,USA,48.74,2025-04-22,46.99,2.06,5.58,4.425,0.000,"1,185",45.60%  (  +1.29%),97.00%,42.33%,"320,471",10,4,4,90
NSC,USA,227.25,2025-04-23,29.56,5.89,4.24,4.122,0.000,96,31.35%  (  +0.36%),84.19%,21.87%,"19,146",10,4,4,80
APH,USA,62.77,2025-04-23,39.56,2.27,4.99,7.267,0.000,748,37.86%  (  -1.89%),77.78%,31.47%,"73,286",5,5,4,85
EPRT,USA,30.67,2025-04-23,37.68,0.75,12.83,7.567,0.000,2,30.21%  (  -3.59%),35.72%,18.60%,948,7,4,4,80
SPOT,Luxembourg,534.37,2025-04-22,42.56,29.94,6.33,10.172,0.000,"2,901",52.76%  (  -1.87%),79.20%,58.75%,"120,899",10,4,4,78
NLY,USA,20.97,2025-04-23,47.63,0.39,1.91,2.212,0.000,"1,881",28.84%  (  -18.18%),40.95%,20.68%,"120,473",9,4,5,80
HAS,USA,61.83,2025-04-23,46.75,1.86,2.08,9.114,0.000,64,31.50%  (  +2.40%),35.50%,43.63%,"37,212",10,5,5,75
SLM,USA,28.31,2025-04-23,39.34,1.11,1.97,8.187,0.000,13,42.08%  (  -1.53%),52.02%,32.12%,"47,440",9,5,5,78
HES,USA,143.06,2025-04-24,45.93,3.71,3.42,2.678,0.000,24,29.55%  (  +2.16%),78.93%,26.13%,"40,512",9,4,4,0
AR,USA,35.64,2025-04-23,44.30,1.57,2.56,5.087,0.000,354,44.54%  (  -5.49%),68.94%,40.43%,"153,539",6,4,4,85
NOW,USA,836.72,2025-04-23,33.24,36.68,15.69,6.608,0.000,"1,625",41.84%  (  -2.91%),82.19%,48.60%,"99,559",9,5,5,88
TEL,Ireland,143.96,2025-04-23,40.07,3.75,2.71,5.615,0.000,56,30.16%  (  -2.20%),80.78%,24.96%,"9,711",10,4,4,78
VLO,USA,123.50,2025-04-24,38.73,4.73,0.30,3.264,0.000,530,40.94%  (  -0.34%),83.48%,38.21%,"149,921",9,5,5,60
PG,USA,169.79,2025-04-24,47.21,3.51,4.72,2.955,0.000,"6,456",19.52%  (  -0.06%),77.36%,20.45%,"346,475",6,4,4,80
TAL,USA,12.94,2025-04-24,48.98,0.70,2.86,10.000,0.000,135,59.78%  (  -7.14%),22.21%,48.38%,"69,282",7,5,4,75
EBC,USA,15.76,2025-04-24,30.52,0.52,3.14,8.736,0.000,31,48.78%  (  +6.64%),57.65%,29.91%,"1,620",7,4,4,75
CARR,USA,65.63,2025-04-24,49.24,2.02,2.36,7.384,0.000,38,35.05%  (  -0.57%),63.02%,32.94%,"110,040",9,5,5,78
TBBB,Virgin Islands (British),25.39,2025-03-17,39.87,1.12,0.94,8.984,8.341,3,54.58%  (  -0.94%),20.55%,38.46%,510,7,4,4,80
FTV,USA,74.05,2025-04-23,28.97,1.57,4.04,6.067,0.000,19,28.20%  (  -1.10%),53.29%,17.91%,"2,849",6,4,4,85
COF,USA,169.10,2025-04-24,31.65,6.97,1.21,4.511,0.000,"2,726",42.94%  (  -3.52%),78.12%,37.06%,"149,977",10,4,4,68
SSNC,USA,81.02,2025-04-24,34.77,1.88,3.40,5.817,0.000,3,25.68%  (  -1.72%),72.58%,25.04%,"5,904",6,5,5,80
SPGI,USA,478.30,2025-04-24,27.94,10.99,10.36,4.047,0.000,"2,012",26.61%  (  -0.60%),91.77%,23.65%,"29,541",7,5,5,85
CDP,USA,26.98,2025-04-24,40.76,0.64,8.07,11.572,0.000,1,65.49%  (  -4.22%),89.62%,19.56%,567,7,4,4,80
MBLY,USA,15.10,2025-04-24,42.98,1.10,7.41,14.445,0.000,728,74.57%  (  -15.39%),49.49%,62.94%,"337,787",5,4,4,70
STM,USA,24.88,2025-04-24,48.80,1.02,1.67,9.184,0.000,541,48.61%  (  +0.93%),81.81%,57.93%,"179,569",4,4,4,60
RCL,Liberia,211.73,2025-04-24,34.29,11.22,3.46,5.936,0.000,"1,171",53.06%  (  -1.79%),93.74%,44.37%,"182,255",8,5,5,85
KLAC,USA,678.14,2025-04-24,41.18,28.25,8.32,6.933,0.000,71,44.49%  (  -4.23%),52.72%,35.90%,"24,542",7,4,4,82
ROKU,USA,71.30,2025-04-24,37.02,5.21,2.53,15.252,0.000,"3,276",63.61%  (  +2.67%),54.78%,67.13%,"251,691",8,4,4,85
ORI,USA,36.28,2025-04-24,44.34,0.70,1.09,5.017,0.000,38,27.80%  (  +1.86%),41.22%,17.96%,"2,663",7,4,4,80
NEM,USA,43.33,2025-04-24,48.45,1.36,2.62,4.950,0.000,"3,573",39.50%  (  +0.46%),69.89%,37.27%,"960,564",4,4,4,65
WDC,USA,42.77,2025-04-24,36.76,2.25,0.95,5.834,0.000,"7,156",54.26%  (  +8.88%),83.21%,48.25%,"379,327",8,5,4,70
FTAI,Cayman Islands,104.25,2025-04-24,41.89,10.30,6.12,10.248,0.000,323,87.05%  (  -5.55%),66.73%,88.75%,"135,849",6,5,5,68
TMUS,USA,251.92,2025-04-24,45.15,7.02,3.53,3.845,0.000,"5,673",32.34%  (  +1.27%),100.00%,34.31%,"203,973",5,5,4,0
FE,USA,38.47,2025-04-24,41.48,0.93,1.65,4.037,0.000,143,23.70%  (  -0.21%),61.45%,36.86%,"61,532",7,4,4,70
AOS,USA,66.59,2025-04-24,46.61,1.65,2.50,6.476,0.000,30,30.07%  (  +0.39%),76.73%,21.64%,"12,543",5,4,4,70
AJG,USA,323.31,2025-04-24,49.59,6.79,7.20,4.817,0.000,8,26.18%  (  -0.68%),89.90%,22.08%,"9,037",6,4,4,88
LHX,USA,207.45,2025-04-24,48.12,5.57,1.83,5.541,0.000,180,29.71%  (  +1.67%),100.00%,21.02%,"16,054",4,4,4,82
KDP,USA,32.85,2025-04-24,49.58,0.88,2.90,5.342,0.000,150,25.04%  (  +2.56%),64.76%,26.18%,"82,178",7,4,4,78
HIG,USA,115.11,2025-04-24,49.89,2.28,1.24,5.416,0.000,37,26.83%  (  +0.17%),77.78%,18.30%,"6,735",5,4,4,80
AAL,USA,11.05,2025-04-24,17.51,0.71,0.13,7.441,0.000,"43,831",58.24%  (  +2.25%),89.43%,41.94%,"3,029,208",10,4,4,70
DXCM,USA,71.74,2025-04-24,27.58,3.03,6.95,10.100,0.000,640,46.71%  (  -4.25%),38.24%,40.94%,"133,947",8,5,5,80
HON,USA,205.87,2025-04-24,39.17,4.46,3.47,3.551,0.000,712,26.21%  (  -1.23%),72.73%,24.44%,"204,748",4,4,4,75
CMCSA,USA,35.03,2025-04-24,43.60,0.91,1.07,5.072,0.000,"2,044",29.59%  (  -1.25%),61.76%,41.71%,"561,675",8,4,4,80
VALE,USA,9.19,2025-04-23,42.35,0.27,1.03,8.423,0.000,"3,961",32.12%  (  +1.99%),36.80%,32.45%,"1,647,663",9,4,5,80
ASX,USA,9.72,2025-04-24,42.70,0.38,1.14,8.103,0.000,10,47.09%  (  -21.36%),30.29%,43.56%,"6,231",8,4,4,75
CUZ,USA,28.95,2025-04-24,42.52,0.81,5.66,8.159,0.000,3,41.59%  (  -8.38%),42.98%,26.60%,458,8,4,4,85
PSX,USA,122.78,2025-04-25,46.92,4.00,0.35,3.081,0.000,97,39.56%  (  +1.42%),100.00%,34.15%,"74,825",9,4,4,75
AVTR,USA,16.34,2025-04-25,36.68,0.76,1.64,8.377,0.000,207,44.66%  (  +2.35%),54.08%,53.10%,"41,650",9,5,5,72
LYB,Netherlands,72.72,2025-04-25,38.63,2.03,0.58,5.177,0.000,163,30.18%  (  +0.04%),100.00%,26.42%,"90,853",8,4,4,60
WY,USA,29.43,2025-04-24,43.70,0.73,3.00,5.267,0.000,96,30.02%  (  -0.12%),89.58%,22.78%,"27,036",9,5,5,75
XOM,USA,108.60,2025-04-25,48.20,2.66,1.39,2.212,0.000,"9,874",28.74%  (  +2.29%),97.30%,25.84%,"977,088",5,4,5,80
CVX,USA,152.86,2025-04-25,46.06,3.57,1.39,2.334,0.000,"3,608",26.33%  (  -1.39%),84.91%,24.55%,"561,998",8,5,5,82
GNTX,USA,24.32,2025-04-25,41.41,0.66,2.39,6.289,0.000,6,32.56%  (  -5.38%),51.45%,34.58%,"7,235",4,4,4,55
GM,USA,47.17,2025-04-22,46.20,2.01,0.25,5.704,0.000,"7,810",43.36%  (  +1.09%),82.39%,36.51%,"723,379",5,4,4,80
WRB,USA,0,2025-04-22,,,,5.075,0.000,75,26.51%  (  -2.02%),59.65%,19.19%,"4,423",8,4,4,80
TRU,USA,0,2025-04-24,,,,9.198,0.000,1,43.68%  (  +0.12%),82.32%,39.09%,"11,573",8,4,4,82
GOOGL,USA,0,2025-04-24,,,,6.498,0.000,"79,652",34.85%  (  -1.79%),75.20%,34.00%,"2,956,359",9,4,4,85
CSGP,USA,0,2025-04-22,,,,8.909,0.000,85,36.17%  (  -0.90%),54.23%,30.33%,"113,280",10,4,4,88
WM,USA,0,2025-04-23,,,,4.143,0.000,198,19.49%  (  -1.00%),48.90%,22.56%,"36,662",6,4,4,88
SHW,USA,0,2025-04-22,,,,6.201,0.000,124,28.93%  (  -1.85%),86.57%,20.64%,"18,339",7,4,4,78
GOOG,USA,0,2025-04-24,,,,6.490,0.000,"62,296",34.80%  (  -1.52%),76.38%,33.26%,"1,388,056",8,5,5,85
V,USA,0,2025-04-22,,,,3.366,0.000,"4,252",25.83%  (  -1.28%),79.05%,18.90%,"287,568",7,5,5,92
UPS,USA,0,2025-04-22,,,,6.095,0.000,"5,358",26.14%  (  -0.64%),38.21%,47.53%,"418,755",7,4,4,80
HAL,USA,0,2025-04-22,,,,3.893,0.000,"2,180",39.94%  (  -2.25%),88.27%,31.54%,"410,286",7,4,5,75
MTDR,USA,0,2025-04-22,,,,7.482,0.000,60,46.38%  (  +0.06%),89.40%,42.37%,"60,580",10,5,5,85
MSFT,USA,0,2025-04-24,,,,4.911,0.000,"90,508",29.61%  (  -1.24%),71.93%,25.81%,"2,236,825",9,5,5,85
CMG,USA,0,2025-04-23,,,,8.148,0.000,"5,001",39.69%  (  -0.33%),58.09%,29.31%,"1,099,125",6,5,5,85
CNC,USA,0,2025-04-25,,,,5.655,0.000,"12,203",41.56%  (  -6.73%),66.84%,37.60%,"121,679",10,4,4,80
SYF,USA,0,2025-04-23,,,,6.952,0.000,241,47.43%  (  -2.81%),88.97%,33.63%,"90,004",10,4,5,75
ONB,USA,0,2025-04-22,,,,7.597,0.000,100,38.52%  (  -3.23%),49.25%,29.72%,"6,563",10,5,5,80
FBP,Puerto Rico,0,2025-04-22,,,,8.708,0.000,30,30.12%  (  -11.50%),38.90%,27.33%,452,7,4,4,80
EDU,USA,0,2025-04-23,,,,11.190,0.000,55,56.06%  (  -0.44%),67.57%,52.12%,"31,410",5,4,4,70
TER,USA,0,2025-04-23,,,,10.612,0.000,594,50.84%  (  -2.51%),78.56%,64.32%,"71,913",9,4,5,76
FI,USA,0,2025-04-22,,,,4.678,0.000,43,31.21%  (  -1.23%),86.85%,31.32%,"52,402",9,5,5,85
PEP,USA,0,2025-04-22,,,,3.154,0.000,"7,470",24.56%  (  +1.24%),95.85%,25.01%,"318,279",4,4,4,70
WFRD,Ireland,0,2025-04-22,,,,9.903,0.000,13,56.21%  (  -1.95%),79.72%,53.98%,"4,146",9,5,4,70
