SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
DE,USA,0,2025-08-14,,,,3.05,4.972,5.300,"23,289",24.14%,33.56%  (  +3.09%),41.80%,"62,314",9,4,4,72,Farm & Heavy Construction Machinery,"AGCO, 0.84(6M)"
JD,USA,0,2025-08-14,,,,0.26,7.748,6.094,"187,681",29.62%,43.86%  (  +2.53%),24.31%,"1,375,695",6,4,5,88,Internet Retail,
TPR,USA,0,2025-08-14,,,,3.43,6.717,7.697,"18,326",30.78%,46.41%  (  -1.09%),45.18%,"133,619",8,5,5,85,Luxury Goods,
VIPS,USA,0,2025-08-14,,,,0.48,11.235,7.843,"1,264",27.93%,48.91%  (  +1.85%),43.24%,"28,154",10,4,5,65,Internet Retail,
AMCR,Jersey,0,2025-08-14,,,,1.70,6.245,5.705,"4,688",19.66%,32.95%  (  +0.22%),43.54%,"110,081",10,5,4,80,Packaging & Containers,
GLNG,Bermuda,0,2025-08-14,,,,16.30,5.015,5.420,"2,716",19.73%,40.60%  (  -1.77%),16.20%,"135,741",5,4,4,80,Oil & Gas Midstream,
BIRK,Jersey,0,2025-08-14,,,,4.50,9.880,9.413,"43,097",30.05%,55.22%  (  +0.29%),61.68%,"27,967",8,5,5,88,Footwear & Accessories,
TMC,Canada,0,2025-08-14,,,,-,18.826,12.154,"13,332",91.68%,117.23%  (  -0.31%),22.00%,"352,205",7,5,5,50,Other Industrial Metals & Mining,
QFIN,USA,0,2025-08-14,,,,1.84,12.214,7.569,772,39.51%,58.01%  (  +1.92%),53.89%,"24,592",8,5,4,92,Credit Services,
NU,Cayman Islands,0,2025-08-14,,,,5.50,5.735,8.138,"115,643",34.72%,48.40%  (  +0.43%),53.16%,"1,836,787",5,5,4,80,Banks - Regional,
GLOB,Luxembourg,0,2025-08-14,,,,1.43,7.602,13.627,"1,697",44.51%,71.87%  (  -2.22%),76.21%,"14,888",7,4,4,68,Information Technology Services,
AMAT,USA,0,2025-08-14,,,,5.43,5.416,5.695,"52,031",27.82%,38.88%  (  +1.13%),23.63%,"370,421",8,4,5,90,Semiconductor Equipment & Materials,
SNDK,USA,0,2025-08-14,,,,-,6.828,10.376,"1,917",51.13%,60.80%  (  +0.92%),17.13%,"39,584",9,4,5,0,Computer Hardware,
BTDR,Cayman Islands,0,2025-08-18,,,,9.16,13.879,15.834,"10,535",73.27%,96.39%  (  -3.68%),31.57%,"224,224",4,5,5,50,Software - Application,
PANW,USA,0,2025-08-18,,,,13.30,8.412,8.206,"94,490",41.22%,43.11%  (  +0.81%),51.05%,"869,157",9,5,5,88,Software - Infrastructure,
HSAI,USA,0,2025-08-18,,,,7.90,24.252,24.787,"1,901",70.34%,94.70%  (  +0.88%),29.98%,"40,220",7,5,5,85,Auto Parts,
XPEV,USA,0,2025-08-19,,,,2.26,10.325,9.635,"11,973",38.67%,61.19%  (  +1.27%),15.11%,"443,396",7,4,4,70,Auto Manufacturers,
MDT,Ireland,0,2025-08-19,,,,3.55,3.905,4.179,"8,652",13.84%,22.98%  (  -1.08%),34.36%,"202,409",6,4,4,70,Medical Devices,
VIK,Bermuda,0,2025-08-19,,,,4.82,11.424,10.381,591,19.99%,39.26%  (  +0.32%),23.39%,"17,185",9,4,4,78,Travel Services,
AS,Cayman Islands,0,2025-08-19,,,,3.97,14.125,15.545,675,35.25%,57.22%  (  +0.33%),53.92%,"13,993",10,5,5,85,Leisure,
HD,USA,0,2025-08-19,,,,2.49,4.248,4.483,"47,261",19.14%,25.15%  (  +0.26%),25.13%,"235,163",9,5,5,71,Home Improvement Retail,"LOW, 0.91(6M)"
TOL,USA,0,2025-08-19,,,,1.23,6.410,10.187,"6,165",39.54%,37.28%  (  +0.58%),23.54%,"49,385",7,4,4,80,Residential Construction,
XP,Cayman Islands,0,2025-08-19,,,,2.92,6.905,7.308,851,29.89%,54.48%  (  +9.92%),26.33%,"86,058",6,5,4,80,Capital Markets,
SOC,USA,0,2025-08-19,,,,-,1.538,0.000,"9,173",91.78%,89.38%  (  +1.41%),50.39%,"343,236",5,5,5,,Oil & Gas Drilling,
ADI,USA,0,2025-08-20,,,,12.01,5.034,5.979,"3,428",22.29%,34.06%  (  +1.08%),21.50%,"89,912",9,4,5,88,Semiconductors,
TJX,USA,0,2025-08-20,,,,2.63,4.388,4.443,"57,362",15.09%,21.73%  (  +0.28%),28.61%,"165,767",7,5,5,79,Apparel Retail,
SQM,USA,0,2025-08-20,,,,1.49,10.306,11.821,"1,021",62.88%,43.70%  (  -2.35%),42.56%,"27,375",7,4,4,75,Specialty Chemicals,
FUTU,USA,0,2025-08-20,,,,9.88,8.017,10.356,"21,834",57.15%,63.01%  (  +3.95%),34.29%,"189,972",8,5,5,85,Capital Markets,
GDS,USA,0,2025-08-20,,,,4.39,17.295,19.681,"7,859",58.60%,82.24%  (  -4.50%),38.61%,"97,904",10,5,5,85,Information Technology Services,
BIDU,USA,0,2025-08-20,,,,1.37,6.357,7.076,"48,032",43.67%,41.34%  (  +0.20%),35.75%,"529,712",9,4,4,70,Internet Content & Information,
EL,USA,0,2025-08-20,,,,2.32,10.324,11.473,"22,242",38.52%,59.66%  (  +5.04%),34.67%,"299,716",8,4,4,60,Household & Personal Products,
TGT,USA,0,2025-08-20,,,,0.45,8.560,9.134,"77,443",27.59%,48.50%  (  +0.39%),63.34%,"675,390",5,4,4,65,Discount Stores,"WMT, 0.84(6M)"
KC,USA,0,2025-08-20,,,,3.40,21.966,26.473,831,80.28%,91.62%  (  +0.90%),33.60%,"44,574",8,5,4,65,Software - Application,
LOW,USA,0,2025-08-20,,,,1.73,4.036,5.289,"24,206",25.01%,28.81%  (  +1.14%),31.19%,"127,791",5,4,4,75,Home Improvement Retail,"HD, 0.91(6M)"
HTHT,USA,0,2025-08-20,,,,3.01,9.450,11.374,507,26.25%,44.27%  (  +6.36%),38.36%,"13,396",9,5,4,65,Lodging,
WSM,USA,0,2025-08-20,,,,3.32,12.742,12.650,946,35.05%,47.32%  (  -1.42%),34.08%,"22,783",9,4,4,86,Specialty Retail,
WMT,USA,0,2025-08-21,,,,1.18,5.207,4.551,"116,171",18.79%,25.76%  (  +0.80%),33.87%,"1,108,609",8,5,5,86,Discount Stores,"TGT, 0.84(6M)"
BILI,USA,0,2025-08-21,,,,2.04,10.445,11.889,"9,024",47.68%,65.24%  (  +5.13%),27.28%,"336,594",9,4,4,88,Internet Content & Information,
ROST,USA,0,2025-08-21,,,,2.31,6.710,6.457,"1,940",21.48%,33.26%  (  -0.57%),60.58%,"54,882",9,5,5,70,Apparel Retail,
INTU,USA,0,2025-08-21,,,,10.92,5.809,6.843,"5,639",25.86%,36.85%  (  +0.46%),55.82%,"104,019",9,5,5,90,Software - Application,
WDAY,USA,0,2025-08-21,,,,6.87,8.934,9.079,"6,173",31.95%,46.02%  (  -0.55%),64.93%,"106,266",8,4,4,85,Software - Application,
DLTR,USA,0,2025-08-21,,,,0.98,12.226,8.949,"7,356",18.92%,43.21%  (  -1.58%),27.82%,"243,929",10,4,4,65,Discount Stores,
ESTC,Netherlands,0,2025-08-21,,,,5.43,17.552,16.887,634,35.09%,63.55%  (  +1.79%),52.59%,"29,423",7,4,4,85,Software - Application,
VNET,USA,0,2025-08-21,,,,1.77,22.955,25.571,"5,114",84.30%,103.84%  (  -0.29%),54.01%,"100,187",10,5,5,84,Information Technology Services,
BJ,USA,0,2025-08-22,,,,0.66,9.161,9.494,"4,132",23.36%,38.39%  (  +1.37%),73.09%,"38,590",8,4,4,91,Discount Stores,
GFI,USA,0,2025-08-22,,,,5.20,2.515,0.000,"5,044",48.41%,48.63%  (  -3.38%),45.34%,"118,936",9,5,4,0,Gold,
MDB,USA,0,2025-08-26,,,,8.05,13.909,17.085,"9,558",50.16%,78.01%  (  -1.37%),89.81%,"220,464",8,5,4,90,Software - Infrastructure,
OKTA,USA,0,2025-08-26,,,,5.94,11.907,13.786,"15,975",35.10%,65.31%  (  +0.37%),84.11%,"219,718",4,4,4,80,Software - Infrastructure,
PVH,USA,0,2025-08-26,,,,0.43,11.696,13.993,807,32.40%,52.44%  (  +1.00%),50.28%,"31,525",9,4,4,60,Apparel Manufacturing,
